variant,decay_ratio_threshold,recovery_ratio_threshold,annual_delta,max_dd_delta,calmar,neighbor_count,neighbor_better_maxdd_ratio,neighbor_better_calmar_ratio,neighbor_defensive_pass_ratio,neighbor_avg_annual_delta,neighbor_avg_maxdd_delta
asset_decay65_rec75_x0p50,0.65,0.75,-6.438434037424724,5.509280766394848,1.301636313382595,3,1.0,1.0,1.0,-6.32799326443756,5.059094477453057
asset_decay60_rec75_x0p50,0.6,0.75,-6.3449421702068705,5.108933907548467,1.2705354882212556,5,1.0,1.0,1.0,-5.969896219811376,5.011356538817194
asset_decay65_rec70_x0p50,0.65,0.7,-6.809694174376226,5.450785735893559,1.2682668122022809,4,1.0,1.0,1.0,-5.981172616502857,4.931689090796967
asset_decay60_rec70_x0p50,0.6,0.7,-5.829343448729585,4.617563788917144,1.2629021003602336,7,1.0,1.0,1.0,-5.7398638278500425,4.802175936859579
asset_decay55_rec75_x0p50,0.55,0.75,-5.67505847224119,5.0990858013011575,1.3183125736825156,3,1.0,1.0,1.0,-5.757078861740536,4.70218809934829
asset_decay55_rec70_x0p50,0.55,0.7,-5.096950966285153,4.380066601579259,1.292771709726063,5,1.0,1.0,1.0,-5.532662213118754,4.5785324486133065
asset_decay60_rec65_x0p50,0.6,0.65,-5.311970809650248,4.49097790032741,1.2877855854816445,4,1.0,1.0,1.0,-5.55949618853921,4.5061292428405775
asset_decay55_rec65_x0p50,0.55,0.65,-4.5019961647658775,3.57610084497235,1.2636926677221565,3,1.0,1.0,1.0,-5.412755074888328,4.496202763607937
