variant,window,annual,max_dd,sharpe,calmar,total_return,start,end
combo_baseline_v68,1Y,51.62116508105608,-7.8982733580564695,3.2614028174973098,6.535753162860713,51.577976855080635,2025-04-17,2026-04-17
combo_v68_plus_subb_asset_overlay_to_bil_25_65_0p5,1Y,48.4855889517813,-8.926186931411527,3.115002626836525,5.431836608883803,48.445417121313696,2025-04-17,2026-04-17
combo_v68_plus_subb_asset_overlay_reallocate_25_65_0p5,1Y,48.74077284293452,-8.926293280957822,3.1175405536934897,5.460359783036892,48.70035720763273,2025-04-17,2026-04-17
combo_baseline_v68,3Y,33.50930346759291,-10.68354011034943,2.230316316099524,3.136535560448877,138.02386252051107,2023-04-17,2026-04-17
combo_v68_plus_subb_asset_overlay_to_bil_25_65_0p5,3Y,31.083123550971425,-8.989161626908961,2.302080932248241,3.4578445511452838,125.27904738674724,2023-04-17,2026-04-17
combo_v68_plus_subb_asset_overlay_reallocate_25_65_0p5,3Y,30.971853345326682,-8.93330836511948,2.281859470746108,3.467008198917406,124.70571772692,2023-04-17,2026-04-17
combo_baseline_v68,5Y,28.284177287710797,-10.728265037248523,2.090783345688313,2.6364167169163113,246.8958486068696,2021-04-19,2026-04-17
combo_v68_plus_subb_asset_overlay_to_bil_25_65_0p5,5Y,24.905206401757816,-9.095303651093529,1.992024325076491,2.7382490301754205,203.60418577471418,2021-04-19,2026-04-17
combo_v68_plus_subb_asset_overlay_reallocate_25_65_0p5,5Y,24.616219145269813,-9.042445740742723,1.956284321427894,2.722296583363065,200.11250930617322,2021-04-19,2026-04-17
combo_baseline_v68,15Y,25.429188125512603,-11.80333228910344,1.9057210590039055,2.154407543790683,2887.0212751184845,2011-04-20,2026-04-17
combo_v68_plus_subb_asset_overlay_to_bil_25_65_0p5,15Y,24.255075153393978,-11.53542125343536,1.8121694276249416,2.1026605461998695,2494.1909858040112,2011-04-20,2026-04-17
combo_v68_plus_subb_asset_overlay_reallocate_25_65_0p5,15Y,24.445779274502733,-11.704532186625007,1.8371259619936497,2.088573800705798,2554.528910069395,2011-04-20,2026-04-17
