window,start,end,observations,years,ulcer_index_pct,max_drawdown_pct,longest_underwater_days,longest_underwater_obs,terminal_drawdown_pct,total_return_pct
5Y,2021-04-27,2026-04-27,1300,4.999315537303217,2.6775139426618253,-10.16741224877321,113,82,-6.219782288730702,217.4760874276335
10Y,2016-04-27,2026-04-27,2596,9.998631074606434,2.6789506199560784,-10.766183846079747,151,107,-6.534710941097943,1051.8943505262412
15Y,2011-04-27,2026-04-27,3896,15.000684462696784,3.1806984059230556,-10.904202747031789,368,262,-9.005803442202831,2979.770402404937
MAX_COMMON_4_STRATS,2010-11-22,2026-04-27,4008,15.427789185489392,3.0443690797971543,-10.698417482660105,368,262,-8.78677455185385,3209.3723420641886
