window,strategy,start,end,observations,years,ulcer_index_pct,max_drawdown_pct,longest_underwater_days,longest_underwater_obs,terminal_drawdown_pct,total_return_pct,common_end_used
5Y,Sub-A,2021-04-27,2026-04-27,1211,4.999315537303217,5.8557058511393505,-14.899393166126828,375,251,-7.857335348607675,257.2920965704919,2026-04-27
5Y,Sub-A-DK,2021-04-27,2026-04-27,1211,4.999315537303217,5.256724395314086,-17.373060283809494,168,115,-14.685324627324924,346.5280211341101,2026-04-27
5Y,Sub-B,2021-04-27,2026-04-27,1256,4.999315537303217,7.064628998898426,-14.18331641618874,608,419,0.0,189.8470420154562,2026-04-27
5Y,Sub-C,2021-04-27,2026-04-27,1255,4.999315537303217,9.075463322532878,-23.400329917504013,753,517,-5.323366813973685,81.55725426172415,2026-04-27
10Y,Sub-A,2016-04-27,2026-04-27,2429,9.998631074606434,8.16558647478601,-24.566498502932554,462,308,-7.857335348607708,758.4468206235501,2026-04-27
10Y,Sub-A-DK,2016-04-27,2026-04-27,2429,9.998631074606434,5.7915417650246805,-20.006137658074152,168,115,-14.685324627324924,1877.9061369563622,2026-04-27
10Y,Sub-B,2016-04-27,2026-04-27,2514,9.998631074606434,7.0982397499237875,-19.942638327060823,608,419,0.0,1039.7359255559682,2026-04-27
10Y,Sub-C,2016-04-27,2026-04-27,2512,9.998631074606434,7.447390317948862,-23.40032991750404,753,517,-5.323366813973729,263.7821148560104,2026-04-27
15Y,Sub-A,2011-04-27,2026-04-27,3645,15.000684462696784,8.332042750298257,-24.566498502932653,552,367,-7.857335348607708,4885.113969912883,2026-04-27
15Y,Sub-A-DK,2011-04-27,2026-04-27,3645,15.000684462696784,8.409208547432725,-31.652495304795647,521,344,-14.68532462732497,6348.528404803605,2026-04-27
15Y,Sub-B,2011-04-27,2026-04-27,3772,15.000684462696784,6.437551200017534,-19.9426383270609,608,419,0.0,1459.1068746102533,2026-04-27
15Y,Sub-C,2011-04-27,2026-04-27,3770,15.000684462696784,6.922091056365439,-23.40032991750396,753,517,-5.323366813973696,381.1422793641716,2026-04-27
MAX,Sub-A,2010-09-29,2026-04-28,3783,15.578370978781656,8.260481558434028,-24.56649850293261,552,367,-9.79007971087209,5345.779971096487,
MAX,Sub-A-DK,2010-11-22,2026-04-28,3750,15.430527036276523,8.473958726385856,-31.652495304795636,521,344,-15.980752842788949,6607.2981165302,
MAX,Sub-B,2008-12-15,2026-04-27,4367,17.363449691991786,6.187277635225836,-19.94263832706088,608,419,0.0,2187.5868177391017,
MAX,Sub-C,2009-11-24,2026-04-27,4127,16.421629021218344,6.705809993776516,-23.40032991750386,753,517,-5.32336681397374,538.9447271918552,
