version,candidate,segment,start,end,name,lbs,abs_threshold,rebalance_threshold,min_turnover,commission,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,vol_lb,max_lev,volreg_enabled,volreg_short_window,volreg_long_window,volreg_enter,volreg_exit,ema_vol_halflife_days,days,cagr,vol,sharpe,maxdd,calmar,final_nav,monthly_win_rate,avg_bil,avg_cash,avg_risky,max_risky,annual_turnover,total_trade_cost
V7.5,vrwin15_90,full_common,2008-12-15,2026-05-06,vrwin15_90,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,15,90,2.0,1.6,126,4374,0.2088828982108905,0.1456676463260376,1.3756375681267394,-0.1579058859848475,1.3228316152251265,26.912554019692124,0.6619047619047619,0.147654665071525,0.0194330132601737,0.9917154267688216,1.743393803684148,14.446858041023342,0.2507561788549052
V7.5,vrwin15_90,1Y,2025-05-06,2026-05-06,vrwin15_90,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,15,90,2.0,1.6,126,252,0.5991803257211366,0.1805023294938629,2.693568597141523,-0.116294411189039,5.152271030008107,1.5991803257211366,0.8461538461538461,0.0056523829621165,0.0,1.2191005874887888,1.4934819917952713,13.192433132322671,0.0131924331323226
V7.5,vrwin15_90,3Y,2023-05-08,2026-05-06,vrwin15_90,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,15,90,2.0,1.6,126,752,0.4082370145677945,0.1794483689148766,1.9986764431548645,-0.1162944111890389,3.510375179630919,2.7775848403867185,0.7837837837837838,0.0263464181810668,0.0199468085106383,1.1482926002621667,1.4934819917952713,13.877343563550784,0.0414117553959928
V7.5,vrwin15_90,5Y,2021-05-06,2026-05-06,vrwin15_90,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,15,90,2.0,1.6,126,1256,0.2973195994296627,0.1669030947363414,1.6437847828991248,-0.116294411189039,2.5566112454567,3.659657984138576,0.7213114754098361,0.132275878500381,0.0119426751592356,0.9932388389914968,1.4934819917952713,13.241682401471436,0.0659982265724132
V7.5,vrwin15_90,10Y,2016-05-06,2026-05-06,vrwin15_90,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,15,90,2.0,1.6,126,2514,0.317234088193205,0.1598873516359983,1.8042014027159836,-0.1579058859848475,2.0090073667275856,15.623577754672295,0.7272727272727273,0.122923892935028,0.0250596658711217,1.01951819657127,1.743393803684148,14.4744489913862,0.1443998601759718
V7.5,vrwin20_120,full_common,2008-12-15,2026-05-06,vrwin20_120,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,20,120,2.0,1.6,126,4374,0.2129636450855243,0.1453672737400103,1.4013740908500347,-0.1434379149436079,1.484709570473401,28.533692198434665,0.6666666666666666,0.1466386749753993,0.0244627343392775,0.9876827322925202,1.743393803684148,14.361412784734778,0.2492730933350393
V7.5,vrwin20_120,1Y,2025-05-06,2026-05-06,vrwin20_120,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,20,120,2.0,1.6,126,252,0.5767372794747105,0.1798460528967623,2.624012483602297,-0.1162944111890391,4.959286293966537,1.5767372794747103,0.8461538461538461,0.0044670634918432,0.0119047619047619,1.2080817343212755,1.4934819917952713,13.70659033770795,0.0137065903377079
V7.5,vrwin20_120,3Y,2023-05-08,2026-05-06,vrwin20_120,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,20,120,2.0,1.6,126,752,0.3958018206422156,0.1791628466089928,1.952003565743444,-0.1162944111890392,3.4034466196215614,2.7050325261424235,0.7837837837837838,0.0256844046471376,0.026595744680851,1.1421384535462682,1.4934819917952713,13.706106448338582,0.040900762099804
V7.5,vrwin20_120,5Y,2021-05-06,2026-05-06,vrwin20_120,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,20,120,2.0,1.6,126,1256,0.2904485364880913,0.1667089262208945,1.6136179707096736,-0.1162944111890387,2.497527899392877,3.5640653483237577,0.7213114754098361,0.1318795137093661,0.0159235668789808,0.9895541906393028,1.4934819917952713,13.139158268796615,0.0654872332762244
V7.5,vrwin20_120,10Y,2016-05-06,2026-05-06,vrwin20_120,"(130, 260, 390)",0.04,1.05,0.0,0.001,0.5,0.5,100,0.16,0.25,40,20,2.0,True,20,120,2.0,1.6,126,2514,0.3270805137296626,0.1596779569463733,1.853040318037994,-0.143437914943608,2.280293281300505,16.82854609944497,0.7355371900826446,0.1208547426266092,0.0326173428798727,1.0140410850898438,1.743393803684148,14.328547466120485,0.1429443187691543
