overheat_enabled,enter_threshold,exit_threshold,derisk_scale,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.28,0.26,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.28,0.26,0.0,last_3y,2023-05-04,2026-04-30,726,2,10,0.6439546838951058,0.19464824168364914,0.4525520501656757,0.19629995337477363,2.0072548695624226,-0.12792186195221633,3.537722506999789,3.0530260818998567
True,0.28,0.26,0.0,last_5y,2021-05-06,2026-04-30,1210,2,10,0.7427777690147495,0.21906167228291676,0.3432585094591576,0.18779642618443196,1.671591036691003,-0.1771841826602938,1.9372976995202198,4.351159372498042
True,0.28,0.26,0.0,last_10y,2016-05-04,2026-04-30,2428,3,11,0.7605668786339043,0.23932730200515773,0.2996877531030635,0.19297131688598274,1.4595519762526339,-0.19846281242803088,1.5100448766024623,13.708430418648044
True,0.28,0.26,0.0,full_common,2010-09-29,2026-04-30,3785,8,48,0.7626453410774079,0.23740890840770704,0.28767045886982734,0.21415391536423609,1.2933697077378343,-0.32525154433746906,0.8844553204376212,51.42568851189347
True,0.28,0.26,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.28,0.26,0.25,last_3y,2023-05-04,2026-04-30,726,2,10,0.6458322535662803,0.1946265828411969,0.45048656385476726,0.19640695132335273,1.9989804142808179,-0.12792186195221633,3.5215760385276527,3.0400650668340816
True,0.28,0.26,0.25,last_5y,2021-05-06,2026-04-30,1210,2,10,0.7439043108174541,0.2190486769774454,0.34211213884885927,0.1878620263583398,1.6665027827703933,-0.1771841826602938,1.9308277618932468,4.3326873907109045
True,0.28,0.26,0.25,last_10y,2016-05-04,2026-04-30,2428,3,11,0.7612040845624353,0.23902337109612637,0.2980511525246179,0.1930120557496562,1.4527255754423056,-0.19846281242803088,1.5017984925145662,13.536995324172123
True,0.28,0.26,0.25,full_common,2010-09-29,2026-04-30,3785,8,48,0.764802652036245,0.2372135352389264,0.29151172261751257,0.2144150201045476,1.3060275720987709,-0.32525154433746895,0.8962654526708437,53.869096476054786
True,0.28,0.26,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.28,0.26,0.5,last_3y,2023-05-04,2026-04-30,726,2,10,0.6473836711424453,0.19456913151241825,0.44810548977146025,0.19670299717288864,1.9878692275095688,-0.12792186195221633,3.502962534573212,3.025169225736677
True,0.28,0.26,0.5,last_5y,2021-05-06,2026-04-30,1210,2,10,0.744835161363153,0.21901420618017825,0.340789802538928,0.18804602652705252,1.6597867401739346,-0.1771841826602938,1.923364701195179,4.311457903355229
True,0.28,0.26,0.5,last_10y,2016-05-04,2026-04-30,2428,3,11,0.7616790304255329,0.2386930626408562,0.2962986023754275,0.19313826831249375,1.4448762259994647,-0.19846281242803088,1.4929678701538862,13.35555575211144
True,0.28,0.26,0.5,full_common,2010-09-29,2026-04-30,3785,8,48,0.7663443775340116,0.2369100121704329,0.2952111889802289,0.2150790336195604,1.3160319283513022,-0.3252515443374694,0.9076396226851681,56.32464871570519
True,0.28,0.24,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.7453512396694215,0.1797520661157025,1.0060285994077138,0.2009478912996212,3.5367165126858144,-0.0718245032646101,14.006760279307239,1.9822738796720243
True,0.28,0.24,0.0,last_3y,2023-05-04,2026-04-30,726,2,11,0.6421334288491004,0.19465506332273858,0.45473403957912173,0.19627364229277555,2.015194548226706,-0.12792186195221633,3.5547797119227527,3.0667580484958807
True,0.28,0.24,0.0,last_5y,2021-05-06,2026-04-30,1210,2,11,0.7416850159871462,0.21906576526637037,0.3444688327222778,0.18778152072717283,1.6765342163325514,-0.1771841826602938,1.94412857598418,4.370730111022474
