scale,pass_cells,ma_min,ma_max,days_min,days_max
0.0,56,17.0,48.0,10.0,17.0
0.25,56,17.0,49.0,10.0,17.0
0.5,60,20.0,57.0,10.0,17.0
0.75,0,,,,
