period,lb,start,end,cagr,vol,sharpe,maxdd,calmar,final_nav,avg_bil,avg_risky,rebalances,volreg_cash_days
last_5y,40,2021-04-23,2026-04-23,0.16715196795349696,0.18965159965914005,0.9125010830849495,-0.1743329195075467,0.9588089755260544,2.165664048490737,0.13705654727188635,0.9712495470076842,261,30
last_10y,40,2016-04-25,2026-04-23,0.20774264843346257,0.1775835919285409,1.1537857029699405,-0.17433291950754592,1.1916432594617938,6.594516235601605,0.11210659558572172,1.0234460401897991,522,90
full_common,40,2007-12-31,2026-04-23,0.13068900932936245,0.16549891191283037,0.8262727081589772,-0.21288735182772223,0.6138880877954728,9.478797668002576,0.1169316647821879,1.0290153181176203,956,164
last_5y,50,2021-04-23,2026-04-23,0.1741359438601391,0.18503383541731788,0.9627861120377421,-0.18942711776403975,0.919276743032388,2.2312292622069987,0.1252947451473147,1.001623988986835,261,30
last_10y,50,2016-04-25,2026-04-23,0.19062750589197486,0.1751535828055066,1.0856512474580982,-0.18942711776404086,1.0063369391991133,5.717951353993072,0.09949740721729639,1.0468069425980957,522,90
full_common,50,2007-12-31,2026-04-23,0.1205355564816517,0.1636479398340825,0.7785177384262881,-0.26997218758163466,0.44647397778781917,8.03563828896192,0.1077608292259768,1.0424881364323115,956,164
last_5y,60,2021-04-23,2026-04-23,0.2266911105671645,0.17949764649252073,1.2318215900108374,-0.18803723198772349,1.2055650265154119,2.7772524241787244,0.11407130614470619,1.0308608145348734,261,30
last_10y,60,2016-04-25,2026-04-23,0.23633755099025033,0.16585775399524302,1.3647086453850448,-0.18803723198772282,1.256865720112712,8.331821515022044,0.08615127773279209,1.0845730018059574,522,90
full_common,60,2007-12-31,2026-04-23,0.1518773585679256,0.15807190367726068,0.9752018575326257,-0.28852501500993466,0.5263923426628921,13.316622873856224,0.0983447723319456,1.0650941429136582,956,164
last_5y,70,2021-04-23,2026-04-23,0.21226894902405147,0.1817521387504982,1.1535599726989776,-0.18864994242578426,1.1252001792025939,2.6178073708103735,0.11608536450647466,1.0255083734824955,261,30
last_10y,70,2016-04-25,2026-04-23,0.22665991507486205,0.16752914789504703,1.305742103437986,-0.18864994242578348,1.2014841465643809,7.702548684170926,0.0852104575245822,1.0878794193829324,522,90
full_common,70,2007-12-31,2026-04-23,0.15817717155923883,0.1582659978315199,1.0087167593820439,-0.2980506264045881,0.5307057175733683,14.715256562294675,0.09738222222227426,1.0674785076568414,956,164
last_5y,80,2021-04-23,2026-04-23,0.21790048266904005,0.17960776710812143,1.1908040659712773,-0.16827828229764885,1.294881785657997,2.6791708840632458,0.10890868343181635,1.048062189358683,261,30
last_10y,80,2016-04-25,2026-04-23,0.20215023963669743,0.16606297513220264,1.1938675545471538,-0.16827828229764885,1.201285376083981,6.295644342483804,0.0806063989452616,1.0963600900152566,522,90
full_common,80,2007-12-31,2026-04-23,0.13753200365284046,0.15740338310468954,0.8988265891910882,-0.30439796919237194,0.4518164297144954,10.586093100765456,0.0872577433900234,1.0792045154222498,956,164
last_5y,90,2021-04-23,2026-04-23,0.2560527496867009,0.18618405506226904,1.3215063308573067,-0.15136391094393375,1.691636719016494,3.1258751340135276,0.11505633159585084,1.035147266781598,261,30
last_10y,90,2016-04-25,2026-04-23,0.22020959759950198,0.17044323638161107,1.2552253344217514,-0.15313006961138653,1.4380558838531836,7.307229621892005,0.07851876110738573,1.0982895297933015,522,90
full_common,90,2007-12-31,2026-04-23,0.14541627994448336,0.16073367963230042,0.9265893615454036,-0.21540869631135018,0.6750715381253676,12.013317535273048,0.08490642571446522,1.085089391262886,956,164
last_5y,100,2021-04-23,2026-04-23,0.2826521966150308,0.18197645081703168,1.4635713085645061,-0.12483759806905126,2.26415920353328,3.471127367484373,0.10474454928900388,1.0526656009242907,261,30
last_10y,100,2016-04-25,2026-04-23,0.2588187358702314,0.16405588167928914,1.4879998243140804,-0.12483759806905181,2.0732434769136634,9.975800862438422,0.07451495833729642,1.1202805591436884,522,90
full_common,100,2007-12-31,2026-04-23,0.16305069535626227,0.15733302796321122,1.0405256709857722,-0.21191658802491475,0.7694097799323412,15.89132596017576,0.08297150427092728,1.095613799732127,956,164
last_5y,110,2021-04-23,2026-04-23,0.25289304220187336,0.18739529405901478,1.3007922468267274,-0.15848171955599077,1.5957237396867565,3.0867607458607953,0.10588370477094378,1.0275767690429867,261,30
last_10y,110,2016-04-25,2026-04-23,0.23958061413851706,0.16619456593023935,1.378112790091797,-0.1787142102858752,1.3405795418018445,8.55281987268617,0.07039216290339187,1.1181422080567165,522,90
full_common,110,2007-12-31,2026-04-23,0.16218029168444104,0.1580223248814347,1.0319467780595322,-0.1840179817272356,0.8813284993247892,15.674965728985994,0.07633378053567083,1.1014358954710146,956,164
last_5y,120,2021-04-23,2026-04-23,0.26008721914273547,0.18825025161386005,1.326269726645067,-0.17406377781923887,1.4942064477816281,3.1763936020350747,0.11378592443104536,1.0178476950757223,261,30
last_10y,120,2016-04-25,2026-04-23,0.2456862680044778,0.16830427441494047,1.3922099073076937,-0.17406377781923887,1.411472685946281,8.983255105216035,0.07454511753858341,1.1094339227893346,522,90
full_common,120,2007-12-31,2026-04-23,0.18365705984397462,0.15940466871703013,1.1394808393963483,-0.17406377781923998,1.0551136034442328,21.918999551770003,0.07864048815765216,1.1001572184938742,956,164
last_5y,130,2021-04-23,2026-04-23,0.2928286069288031,0.18533274761395263,1.4829779443914881,-0.11330519945107043,2.5844233834587427,3.6110077547571358,0.12450959359551589,1.01050254021168,261,30
last_10y,130,2016-04-25,2026-04-23,0.2785441104689965,0.16728380410781604,1.5555870205179279,-0.16852333546767062,1.6528518717957146,11.652704434272078,0.08359454863368321,1.1093769068196606,522,90
full_common,130,2007-12-31,2026-04-23,0.19101757026895583,0.15844280012524958,1.1845999638483267,-0.1685233354676705,1.1334784570864407,24.553776754594068,0.08184355137181044,1.1011406294321158,956,164
last_5y,140,2021-04-23,2026-04-23,0.2399194940616345,0.18567350275376868,1.2546527268466152,-0.19389075101844566,1.2373952486202393,2.930242181900181,0.12237249861625882,1.0062108021845226,261,30
last_10y,140,2016-04-25,2026-04-23,0.25735529904759,0.16743590508681522,1.4541939618829656,-0.19389075101844544,1.3273211728552592,9.8605107605765,0.0804861622151419,1.1029328212334804,522,90
full_common,140,2007-12-31,2026-04-23,0.17843247491795156,0.1582453686527556,1.1185671577140215,-0.20660963111630193,0.863621284031579,20.213536106736047,0.08169869922127164,1.1006357321207987,956,164
last_5y,150,2021-04-23,2026-04-23,0.26310245468135474,0.19186612542289733,1.3172014517269501,-0.12804441413263,2.0547749502670998,3.2145742740118246,0.12213562420358917,0.994011884962088,261,30
last_10y,150,2016-04-25,2026-04-23,0.2632424823689328,0.17302296062991332,1.4398292963549546,-0.1752524920006705,1.5020755446257827,10.33171898789813,0.08336156071604973,1.1004237677518556,522,90
full_common,150,2008-01-03,2026-04-23,0.15003770059565746,0.16124078416152576,0.949182221933162,-0.2699787013918943,0.5557390261606842,12.917687530985436,0.0794410364879615,1.102539026605486,956,164
last_5y,160,2021-04-23,2026-04-23,0.28529358955370143,0.17813065023269462,1.5029776669580528,-0.125461833660652,2.2739472334300554,3.5070107684276084,0.10550611862842314,1.0204940096909372,261,30
last_10y,160,2016-04-25,2026-04-23,0.2948151875966498,0.1621296618621964,1.6781373634809797,-0.17158005822541655,1.7182369014546597,13.222385897114773,0.07009858609442592,1.1178912307387638,522,90
full_common,160,2008-01-17,2026-04-23,0.1810591077748025,0.1547925076887601,1.1546366094592018,-0.19681842427570884,0.9199296683788595,20.892179481366966,0.07311300846138064,1.1084265114114396,954,164
last_5y,170,2021-04-23,2026-04-23,0.26228292737572434,0.1889539076376269,1.3311741195489548,-0.1522006123435954,1.7232711704445467,3.2041608056889754,0.10913106832841893,1.0040362386609443,261,30
last_10y,170,2016-04-25,2026-04-23,0.2581530908070586,0.16896482949630282,1.4463516845548698,-0.21677981446868488,1.1908539152493387,9.923211546380319,0.07478134901462087,1.110214613010551,522,90
full_common,170,2008-02-01,2026-04-23,0.16475520728049475,0.15886719777083716,1.0411844768849894,-0.21677981446868466,0.7600117551733341,16.106573303692702,0.07551602116989029,1.104089722615091,951,164
last_5y,180,2021-04-23,2026-04-23,0.22154121467571652,0.19225612304534767,1.1402879955920917,-0.2034801472058273,1.088760833515713,2.719450372046128,0.1180381406753871,1.001381942043083,261,30
last_10y,180,2016-04-25,2026-04-23,0.24684131410486532,0.16784731002228612,1.4009644539934625,-0.20348014720582808,1.2130977763406852,9.066842050811259,0.0757171050179722,1.1249533381546646,522,90
full_common,180,2008-02-15,2026-04-23,0.15977579415273735,0.15807520094203661,1.0185364866020254,-0.2297954197435611,0.6952958171709351,14.81253416337417,0.07602517649886689,1.1128677400229103,949,164
last_5y,190,2021-04-23,2026-04-23,0.2418183834872396,0.17967967643522795,1.2991099961926849,-0.1438605579363592,1.6809220467100845,2.9527456904659406,0.10966129693704037,1.0367124782450783,261,30
last_10y,190,2016-04-25,2026-04-23,0.2553079808220413,0.16120771481827986,1.49402172829268,-0.14884887401829128,1.7152160707018034,9.701234228594243,0.07386419670282401,1.133580136789115,522,90
full_common,190,2008-03-03,2026-04-23,0.16909306429961535,0.1538259644125375,1.0941395442096464,-0.14884887401829117,1.1360049944270085,17.008437817943637,0.07480484363278189,1.120582579206947,947,164
last_5y,200,2021-04-23,2026-04-23,0.24751143533087183,0.17666425288115772,1.3443004810622752,-0.13595935733015585,1.8204810628063604,3.0210432132296807,0.11481537130914007,1.0529325814060029,261,30
last_10y,200,2016-04-25,2026-04-23,0.2522088881031095,0.15925269202620845,1.494825672743842,-0.16292860313410884,1.54797183092224,9.464534516792206,0.07480810619426623,1.1472328655613164,522,90
full_common,200,2008-03-17,2026-04-23,0.1608069398452594,0.1527555833349238,1.0541679734981189,-0.18704751841200595,0.8597116989868482,14.864540627489085,0.0744475514020441,1.1341567292071222,945,164
last_5y,210,2021-04-23,2026-04-23,0.259556233630589,0.17491873195893573,1.411045197652482,-0.12187332599940226,2.1297214259325457,3.1697076851118684,0.11278330151984581,1.057438410949937,261,30
last_10y,210,2016-04-25,2026-04-23,0.2581204383615361,0.15580668554334515,1.5547467541925835,-0.14922957623791655,1.7296868681715947,9.920638270000667,0.07549696976601848,1.1445362822040577,522,90
full_common,210,2008-04-01,2026-04-23,0.1507194071086173,0.1513120984067272,1.0049441922449796,-0.2085934766932035,0.7225509133744072,12.619401827647101,0.07148062424714896,1.1379735323794817,943,164
last_5y,220,2021-04-23,2026-04-23,0.268667777759253,0.17345489992948732,1.463230922150172,-0.13668979902428624,1.9655291007598723,3.2860094657034327,0.10326025113479248,1.0705832169266103,261,30
last_10y,220,2016-04-25,2026-04-23,0.23829188626957354,0.15497187138839358,1.4595286987680387,-0.1607193784408102,1.482658087539405,8.464375740686618,0.07324207674263009,1.1486860891456145,522,90
full_common,220,2008-04-15,2026-04-23,0.16233438659697552,0.15026018458860801,1.077964651281723,-0.19226340652848628,0.8443332484745276,15.041843031475246,0.07037957279846348,1.1426089939887765,941,164
last_5y,230,2021-04-23,2026-04-23,0.285605731309474,0.1722316292630934,1.5497796282016894,-0.135302950442163,2.1108610741756135,3.511270753543418,0.10412392716874595,1.072477041327533,261,30
last_10y,230,2016-04-25,2026-04-23,0.24468116454474353,0.15474492693437197,1.494827775583194,-0.1734532175021436,1.4106464444323132,8.911084007398463,0.07017145124576488,1.1528992082622416,522,90
full_common,230,2008-04-29,2026-04-23,0.1636691349870556,0.15041429933638914,1.0847548353256633,-0.23003519656223392,0.7114960555298172,15.267213235312227,0.06857945993080475,1.1414073288931244,939,164
last_5y,240,2021-04-23,2026-04-23,0.29121775752737,0.17784726871858386,1.5309336884115903,-0.15411651776384583,1.889594715432162,3.5885704395013067,0.10849400489527186,1.0588037229788263,261,30
last_10y,240,2016-04-25,2026-04-23,0.23742983900317727,0.1581542947069424,1.4289608487912122,-0.17296802206206252,1.3726805462224991,8.405674600829677,0.07329350794961982,1.147798888654623,522,90
full_common,240,2008-05-13,2026-04-23,0.15370918785698673,0.15270385289399344,1.0144667509396346,-0.19263374286042534,0.7979349078440439,13.00915554812037,0.07024034177724331,1.1445575296396142,937,164
last_5y,250,2021-04-23,2026-04-23,0.2784599345909582,0.1724983964881801,1.5152990492806535,-0.14364369330263482,1.9385461915427544,3.414778891555818,0.10551292859931405,1.0609541646432954,261,30
last_10y,250,2016-04-25,2026-04-23,0.2383323071440293,0.15442096746629355,1.4645224392305416,-0.17130538507585313,1.3912715413966525,8.46713723400903,0.0737841926205272,1.1550824721047603,522,90
full_common,250,2008-05-28,2026-04-23,0.16276571751133817,0.15180280283702866,1.0711526500277295,-0.178165255119617,0.9135659890704287,14.876285547092376,0.06514252137958276,1.154866782384915,935,164
