strategy,year,return
single_160,2016,0.06961632257098804
single_160,2017,0.5167652574604042
single_160,2018,0.05842460293768781
single_160,2019,0.21577257257371207
single_160,2020,0.558889854772546
single_160,2021,0.459205964727035
single_160,2022,0.05070264639818256
single_160,2023,0.15300417237311192
single_160,2024,0.29812869281997134
single_160,2025,0.4770257900919128
single_160,2026,0.19787100975524963
single_260,2016,-0.15814937210407887
single_260,2017,0.4511626321947455
single_260,2018,0.012046939381558097
single_260,2019,0.28239835063076346
single_260,2020,0.39190677393785545
single_260,2021,0.4118282406070022
single_260,2022,0.04317073986032671
single_260,2023,0.11165401837374267
single_260,2024,0.3076243438636226
single_260,2025,0.5101407783029954
single_260,2026,0.17518377956856512
single_390,2016,0.005542735362734419
single_390,2017,0.4341110310373615
single_390,2018,0.044832038062039725
single_390,2019,0.3335598706116303
single_390,2020,0.3883481861929834
single_390,2021,0.26552557955278755
single_390,2022,0.1638282009300689
single_390,2023,0.06513386155215795
single_390,2024,0.358734121236834
single_390,2025,0.538037964372569
single_390,2026,0.1898624873636634
mix_target_avg_160_260_390,2016,-0.03350351491141956
mix_target_avg_160_260_390,2017,0.4708757719190275
mix_target_avg_160_260_390,2018,0.05358682227412226
mix_target_avg_160_260_390,2019,0.30695027352521764
mix_target_avg_160_260_390,2020,0.4677164450430651
mix_target_avg_160_260_390,2021,0.3912862923622227
mix_target_avg_160_260_390,2022,0.08958695626533908
mix_target_avg_160_260_390,2023,0.16249714676336513
mix_target_avg_160_260_390,2024,0.35095302652621996
mix_target_avg_160_260_390,2025,0.5437320156050502
mix_target_avg_160_260_390,2026,0.18964447691083142
mix_rank_vote_160_260_390,2016,-0.05907358322742984
mix_rank_vote_160_260_390,2017,0.510017002265599
mix_rank_vote_160_260_390,2018,-0.013252756492007522
mix_rank_vote_160_260_390,2019,0.34861194346206803
mix_rank_vote_160_260_390,2020,0.40371353790289866
mix_rank_vote_160_260_390,2021,0.4980619583238062
mix_rank_vote_160_260_390,2022,0.0711178277269584
mix_rank_vote_160_260_390,2023,0.10244152625685188
mix_rank_vote_160_260_390,2024,0.3111275457167746
mix_rank_vote_160_260_390,2025,0.46842345964431353
mix_rank_vote_160_260_390,2026,0.19454101859861073
mix_sleeve_avg_160_260_390,2016,-0.03149728216966996
mix_sleeve_avg_160_260_390,2017,0.46734239108605746
mix_sleeve_avg_160_260_390,2018,0.04029519532246484
mix_sleeve_avg_160_260_390,2019,0.27986249418236353
mix_sleeve_avg_160_260_390,2020,0.44713703171737484
mix_sleeve_avg_160_260_390,2021,0.3793011007450511
mix_sleeve_avg_160_260_390,2022,0.08675735642199167
mix_sleeve_avg_160_260_390,2023,0.11543725873398869
mix_sleeve_avg_160_260_390,2024,0.32781365913174687
mix_sleeve_avg_160_260_390,2025,0.511287312812384
mix_sleeve_avg_160_260_390,2026,0.18783617240044426
