ticker,source
SPY,Yahoo
QQQ,Yahoo
EMXC,Yahoo
EFA,Yahoo
GLD,Yahoo
TLT,Yahoo
VNQ,Yahoo
DBC,Yahoo
BTC-USD,Yahoo
EEM,Yahoo
VTI,Yahoo
VGIT,Yahoo
DBMF,Yahoo
VEA,Yahoo
BIL,Yahoo
