version_v75,candidate_v75,abs_threshold,rebalance_threshold,recent_weighted_sharpe_v75,mean_recent_cagr_v75,worst_recent_maxdd_v75,10y_cagr_v75,10y_maxdd_v75,10y_sharpe_v75,10y_calmar_v75,10y_annual_turnover_v75,10y_total_trade_cost_v75,version_v76,candidate_v76,recent_weighted_sharpe_v76,mean_recent_cagr_v76,worst_recent_maxdd_v76,10y_cagr_v76,10y_maxdd_v76,10y_sharpe_v76,10y_calmar_v76,10y_annual_turnover_v76,10y_total_trade_cost_v76,delta_recent_weighted_sharpe,delta_mean_recent_cagr,delta_worst_recent_maxdd,delta_10y_cagr,delta_10y_maxdd,delta_10y_sharpe,delta_10y_annual_turnover
V7.5,abs0.04_rb1.08,0.04,1.08,1.9067148593905894,0.39080491419551056,-0.13900510600107785,0.3043864982966169,-0.13900510600107785,1.7928208984507967,2.189750485095538,14.611149692665997,0.14576361241016794,V7.6,abs0.04_rb1.08,1.9627326423825278,0.4108681641545487,-0.12110352054926254,0.3182664485761799,-0.12110352054926232,1.8060489896111085,2.628052819048443,14.154746687292755,0.14121044909465869,0.05601778299193838,0.020063249959038132,0.017901585451815305,0.013879950279563014,0.017901585451815527,0.013228091160311761,-0.4564030053732413
V7.5,abs0_rb1.08,0.0,1.08,1.928595410908984,0.39620013573684365,-0.13756215429564755,0.3104496253261424,-0.13756215429564755,1.817687176834041,2.2567953149303435,14.720956131858944,0.146859062363069,V7.6,abs0_rb1.08,1.962547721494122,0.41114099170499285,-0.12110237296520676,0.31995339459301975,-0.12110237296520665,1.8112818961756523,2.6420076399736945,14.147561815932749,0.14113877144942433,0.033952310585138035,0.014940855968149203,0.016459781330440793,0.009503769266877349,0.016459781330440904,-0.006405280658388746,-0.5733943159261958
V7.5,abs0.04_rb1.05,0.04,1.05,1.8992038280903092,0.3905020031244936,-0.13865580360739604,0.3091930800654372,-0.13865580360739604,1.81039998775879,2.229932480438522,14.829100394774454,0.14793793012882137,V7.6,abs0.04_rb1.05,1.9622927294007968,0.41122292254339354,-0.12110352876598895,0.32254013972910855,-0.12110352876598895,1.8239978459397606,2.663342208238705,14.353840674495194,0.14319664863365444,0.06308890131048761,0.02072091941889992,0.01755227484140709,0.013347059663671335,0.01755227484140709,0.01359785818097059,-0.47525972027925967
V7.5,abs0_rb1.05,0.0,1.05,1.9214897484626914,0.3959985181736037,-0.1375510661914865,0.3153268910685991,-0.1375510661914865,1.8352577152590386,2.292435091921634,14.931965594963106,0.1489641329592748,V7.6,abs0_rb1.05,1.9621024670057226,0.41149856303221244,-0.12110238107432802,0.3242430862839232,-0.12110238107432802,1.829230793906078,2.6774294890611205,14.340694260868421,0.14306549750723496,0.04061271854303117,0.01550004485860873,0.016448685117158468,0.008916195215324052,0.016448685117158468,-0.006026921352960679,-0.5912713340946851
V7.5,abs0.08_rb1.08,0.08,1.08,1.9140706370289378,0.3911891015374094,-0.14144909621254353,0.30120415225553754,-0.14144909621254353,1.780361248456855,2.1294172979581547,15.027034401123542,0.14991255747787535,V7.6,abs0.08_rb1.08,1.956056872664683,0.40977465596982443,-0.12110194731587831,0.3174417018694038,-0.12110194731587831,1.8010614411987163,2.6212766095445135,14.184648076842445,0.14150875105230915,0.04198623563574522,0.018585554432415052,0.020347148896665224,0.016237549613866253,0.020347148896665224,0.0207001927418613,-0.8423863242810974
V7.5,abs0.08_rb1.05,0.08,1.05,1.9058977023214934,0.39071271033213056,-0.1422746043647335,0.30550011499874485,-0.1422746043647335,1.7955076121650786,2.147256823259676,15.202981729396377,0.15166784153850196,V7.6,abs0.08_rb1.05,1.9555212432852307,0.41009923228066375,-0.12110195518795197,0.3216815207139072,-0.12110195518795153,1.8189477203040032,2.6562867644428536,14.379106464039173,0.14344870496267648,0.049623540963737334,0.019386521948533186,0.02117264917678152,0.016181405715162356,0.021172649176781966,0.02344010813892461,-0.8238752653572039
V7.5,abs0.04_rb1.1,0.04,1.1,1.8833466563216719,0.3858722684396978,-0.13900716098243715,0.30174132818064314,-0.13900716098243715,1.7781594589919854,2.1706890929077147,14.242155026385262,0.14208245133465297,V7.6,abs0.04_rb1.1,1.927286217879424,0.4039101314870597,-0.12200843368552483,0.3136865483144702,-0.12200843368552472,1.7770312811327897,2.5710234845157798,13.878652372503556,0.13845607962092832,0.04393956155775203,0.01803786304736188,0.01699872729691232,0.01194522013382704,0.01699872729691243,-0.0011281778591956115,-0.36350265388170655
V7.5,abs0_rb1.1,0.0,1.1,1.9112984239214574,0.3920111531968862,-0.13756570365321652,0.30825359787210793,-0.13756570365321652,1.8063190607006145,2.2407736062556056,14.310569930251976,0.14276497144703756,V7.6,abs0_rb1.1,1.927165607811078,0.40418794632437977,-0.12200742978062917,0.315370196892349,-0.12200742978062917,1.7823211526464948,2.584844197270514,13.870379065266247,0.13837354353206088,0.015867183889620495,0.01217679312749359,0.015558273872587347,0.007116599020241088,0.015558273872587347,-0.02399790805411972,-0.4401908649857287
V7.5,abs0.08_rb1.1,0.08,1.1,1.8852234832205061,0.3859363650579959,-0.14116756020630028,0.29838696510754437,-0.14116756020630028,1.7626828982419658,2.1137077432767546,14.692370197442514,0.1465738836363908,V7.6,abs0.08_rb1.1,1.9206419558721406,0.40279304997951515,-0.12200705821392321,0.31287491605429985,-0.12200705821392266,1.7721691388945167,2.5644001308983007,13.916874576392312,0.13883739160734232,0.03541847265163445,0.01685668492151926,0.019160501992377066,0.014487950946755479,0.01916050199237762,0.009486240652550881,-0.7754956210502026
V7.5,abs0_rb1.03,0.0,1.03,1.9393416577972744,0.40256499927130146,-0.13751621555322402,0.31829881814030747,-0.13751621555322402,1.846579121594503,2.31462752854127,15.314796825605445,0.15278333023639717,V7.6,abs0_rb1.03,1.9017973439822558,0.40463372344482523,-0.11780477295126135,0.3242401157692707,-0.11780477295126102,1.815716540843495,2.752351264268533,14.690348389033604,0.14655371369059714,-0.03754431381501866,0.0020687241735237727,0.01971144260196267,0.005941297628963227,0.019711442601963003,-0.030862580751008117,-0.624448436571841
V7.5,abs0.04_rb1.03,0.04,1.03,1.9165293368159673,0.3968890921703261,-0.1386770052610753,0.31209037155139985,-0.1386770052610753,1.8216651770008028,2.2504839282031948,15.202457510123818,0.15166261182718765,V7.6,abs0.04_rb1.03,1.9013987628807527,0.4042356247568816,-0.11911777602180018,0.3224843906841648,-0.11911777602180018,1.8102553497396896,2.7072734352020285,14.703214632375456,0.14668206978488849,-0.015130573935214553,0.007346532586555488,0.01955922923927511,0.010394019132764942,0.01955922923927511,-0.01140982726111317,-0.49924287774836174
