version,candidate,name,lbs,abs_threshold,rebalance_threshold,min_turnover,official_weight,ema_weight,ema_half_life,ema_abs_threshold,target_vol,vol_window,max_lev,volreg_enabled,volreg_enter,volreg_exit,year,return
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.026611110794533488
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.16121092640587498
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.19132658122356938
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2011,0.006747202927929408
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2012,0.0947363199200899
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2013,0.15202797521807
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2014,0.01942136326097521
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2015,-0.016276293505492423
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2016,0.06311222842358988
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2017,0.8027834787015768
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2018,0.003215249799805031
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2019,0.2070757356781956
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2020,0.5213350528090379
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2021,0.4063435708695122
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2022,0.07788325771075866
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2023,0.24559719072801367
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2024,0.38231699611087877
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2025,0.3327718200429215
V7.5,abs0_rb1,abs0_rb1,"(130, 260, 390)",0.0,1.0,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2026,0.24237490672292328
V7.5,abs0_rb1.03,abs0_rb1.03,"(130, 260, 390)",0.0,1.03,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2008,0.026625731211389336
V7.5,abs0_rb1.03,abs0_rb1.03,"(130, 260, 390)",0.0,1.03,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2009,0.15437661721450113
V7.5,abs0_rb1.03,abs0_rb1.03,"(130, 260, 390)",0.0,1.03,0.0,0.5,0.5,100,0.16,0.25,40,2.0,True,2.0,1.6,2010,0.20043796088170573
