rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,family,source,ma,days,scale,trigger_days,threshold,score_3_5_10,robust_pass
baseline,17.528628224419652,12.779241500872368,1.0841714605717423,-16.541510237607483,3245.3109758037685,0.0,0.0,0.0,25.738971076544615,12.71412439736892,1.3066434112448568,-12.723957424227239,887.5585538534501,0.0,0.0,0.0,24.10891568084694,13.35108335615013,1.1827725276373924,-12.213228977239975,194.4087421211193,0.0,0.0,0.0,36.41658787511255,14.610547013821758,1.5388725458839834,-12.213228977239954,153.91821659045468,0.0,0.0,0.0,54.053898595192365,15.466896863841997,2.0008715172597626,-12.213228977239975,54.00833950665154,0.0,0.0,0.0,,,,,,,,,False
broad_consec_below:SPY:ma10:days2:scale0.00,2.3974273719584493,11.016923089210543,0.22877450956847645,-30.729519511614424,67.34488420518994,-15.131200852461202,-0.8553969510032658,-14.18800927400694,6.96101649671701,11.001777591404881,0.47709075583499766,-18.2660918166073,95.98155898733869,-18.777954579827608,-0.8295526554098591,-5.542134392380062,9.02126259356184,11.558939866710046,0.5732582376365186,-17.768897048657774,54.003418694251714,-15.087653087285101,-0.6095142900008738,-5.555668071417799,19.349684063918062,12.581655543916664,1.0323237870438027,-10.355257883440594,70.02641678967679,-17.066903811194486,-0.5065487588401807,1.8579710937993603,26.84869120420428,13.57749895921897,1.2735316030026487,-8.257504496406954,26.828044176742537,-27.205207390988086,-0.727339914257114,3.9557244808330214,broad_consec_below,SPY,10.0,2.0,0.0,1980.0,,-2.203244794935637,False
broad_consec_below:SPY:ma10:days2:scale0.25,6.041225250173388,11.119288311213413,0.4814788195677061,-21.186483799628242,257.8030012284464,-11.487402974246265,-0.6026926410040362,-4.644973562020759,11.43974700944128,11.098356522155726,0.7288962938653298,-15.602681463526281,195.3498675295137,-14.299224067103335,-0.577747117379527,-2.8787240392990423,12.683413652195586,11.665084618250464,0.7644598329102207,-15.602681463526269,81.66216233721177,-11.425502028651355,-0.4183126947271717,-3.3894524862862934,23.501893009569706,12.701013281934983,1.2095125263004536,-10.120176786339197,88.40116779501469,-12.914694865542842,-0.3293600195835298,2.0930521909007567,33.27061567877263,13.665482159329612,1.5150502930454415,-8.739403462517025,33.24441916821825,-20.783282916419736,-0.48582122421432117,3.47382551472295,broad_consec_below,SPY,10.0,2.0,0.25,1980.0,,-1.606834133234576,False
broad_consec_below:SPY:ma10:days2:scale0.50,9.777272466600252,11.462121864602015,0.7142849939034176,-17.526195905325782,659.3800537422125,-7.7513557578194,-0.3698864666683247,-0.9846856677182991,16.06084506031966,11.430207307402155,0.9562774241669041,-13.92281576051827,343.3724811830354,-9.678126016224954,-0.35036598707795275,-1.198858336291032,16.41931056832413,12.013820091656733,0.9329870475442003,-13.922815760518148,113.83555773764802,-7.689605112522813,-0.24978548009319212,-1.7095867832781728,27.73177254291921,13.096207500715519,1.3542727295751353,-9.939370687135018,108.43448544869875,-8.684815332193338,-0.18459981630884803,2.2738582901049362,39.94211031620294,14.024451649066897,1.7196666813799824,-9.689066562449122,39.909924588079384,-14.111788278989422,-0.2812048358797803,2.524162414790853,broad_consec_below,SPY,10.0,2.0,0.5,1980.0,,-1.035077806402454,False
broad_consec_below:SPY:ma10:days2:scale0.75,13.606217280587574,12.025064868405464,0.9164982313424677,-15.06563180886733,1499.7684483471483,-3.9224109438320784,-0.16767322922927463,1.4758784287401525,20.82653918171118,11.978019768105314,1.1497343840711234,-12.550686005795397,562.9959693414148,-4.912431894833436,-0.15690902717373345,0.1732714184318418,20.22813004319415,12.585258794969857,1.0726841150858484,-12.220837183286504,151.1745893098217,-3.8807856376527923,-0.110088412551544,-0.007608206046528565,32.03738528529496,13.743790288620533,1.463187951043575,-10.674740239208958,130.23606760668542,-4.379202589817588,-0.07568459484040835,1.5384887380309955,46.86824433159602,14.63474654089526,1.8812654092533898,-10.674740239208958,46.829610730798365,-7.185654263596348,-0.11960610800637284,1.5384887380310168,broad_consec_below,SPY,10.0,2.0,0.75,1980.0,,-0.49400152593044666,False
broad_consec_below:SPY:ma10:days3:scale0.00,6.073004434840912,11.714217086992186,0.4648989555002991,-22.17797715849008,260.14066827850945,-11.455623789578741,-0.6192725050714432,-5.636466920882597,10.496632566601694,11.720889714606827,0.6462227947267345,-18.97643495518251,171.2883145946132,-15.242338509942922,-0.6604206165181223,-6.25247753095527,11.881018894751637,12.349446728318583,0.6888548167875634,-18.976434955182388,75.28658988720909,-12.227896786095304,-0.49391771084982894,-6.7632059779424125,24.356131960787962,13.615469358487397,1.1720580996054437,-11.27530549318575,92.33858262566895,-12.060455914324585,-0.36681444627853965,0.9379234840542043,32.29629685153701,14.300649497882997,1.4186890219058934,-11.095250739276851,32.270956171470225,-21.757601743655357,-0.5821824953538692,1.1179782379631238,broad_consec_below,SPY,10.0,3.0,0.0,1335.0,,-1.7066168953446104,False
broad_consec_below:SPY:ma10:days3:scale0.25,8.862643997559738,11.769911318332715,0.6412748563898516,-17.804321173098437,533.1270254959509,-8.665984226859914,-0.4428966041818907,-1.262810935490954,14.165271253502244,11.76767960340171,0.835629052871512,-16.076502470293306,276.063660408678,-11.573699823042372,-0.4710143583733448,-3.3525450460660675,14.863056802006568,12.401620001128062,0.8327888726748895,-16.07650247029343,99.92203221213055,-9.245858878840373,-0.34998365496250283,-3.8632734930534554,27.319313467365134,13.66641986476123,1.2870478935673957,-10.915105332369945,106.42137217333074,-9.097274407747413,-0.2518246523165877,1.2981236448700084,37.50077695716749,14.347183712227984,1.5997499810182734,-10.915105332369901,37.470808688583254,-16.553121638024876,-0.4011215362414893,1.2981236448700741,broad_consec_below,SPY,10.0,3.0,0.25,1335.0,,-1.2470900914480794,False
broad_consec_below:SPY:ma10:days3:scale0.50,11.701753796889669,11.971325662339833,0.8060802149852142,-16.728387602945094,1007.8747539876131,-5.826874427529983,-0.2780912455865281,-0.18687736533761168,17.927681775294047,11.953554375429382,1.0116548596126962,-14.175034981964119,420.06733374694215,-7.811289301250568,-0.29498855163216064,-1.4510775577368804,17.89519953298646,12.590412185109322,0.9649381749964511,-14.17503498196413,127.73599176578054,-6.213716147860481,-0.2178343526409413,-1.9618060047241546,30.31768482815704,13.853246864453576,1.3874497266483794,-11.309854304765787,121.35471802683355,-6.098903046955506,-0.15142281923560397,0.9033746724741665,42.860297680301976,14.562542356742705,1.7590564574758492,-11.309854304765798,42.82542319470415,-11.19360091489039,-0.2418150597839135,0.9033746724741771,broad_consec_below,SPY,10.0,3.0,0.5,1335.0,,-0.8119476173515716,False
broad_consec_below:SPY:ma10:days3:scale0.75,14.590402932577184,12.311422262640294,0.9545793131817597,-16.2528306128782,1829.622542487238,-2.9382252918424676,-0.1295921473899826,0.28867962472928355,21.78515918629158,12.27232509689515,1.1695155751597102,-12.82357804652684,617.5076056703028,-3.9538118902530357,-0.13712783608514667,-0.09962062229960189,20.97723784498733,12.909980811109268,1.0821155133130855,-12.35076357938284,159.09660045154195,-3.1316778358596125,-0.10065701432430685,-0.13753460214286406,33.35040708166759,14.17074143528047,1.471494012078994,-11.746234442878956,137.17482641092408,-3.066180793444957,-0.06737853380498926,0.4669945343609978,48.37723502912199,14.939650163951823,1.893046760411154,-11.746234442878956,48.337166630231025,-5.676663566070374,-0.1078247568486086,0.4669945343610191,broad_consec_below,SPY,10.0,3.0,0.75,1335.0,,-0.3911120159491995,False
broad_consec_below:SPY:ma10:days5:scale0.00,12.280007870162745,12.352162555613711,0.8187196354982494,-16.217892731485794,1139.4408403430482,-5.248620354256907,-0.26545182507349285,0.32361750612168905,18.986825600828162,12.319337285127988,1.035295881522032,-13.317800358575592,468.70288429265605,-6.752145475716453,-0.27134752972282494,-0.5938429343483538,19.553626630499753,12.97927129639762,1.014100113751303,-12.213228977239988,144.20844909553892,-4.555289050347188,-0.16867241388608933,-1.2434497875801753e-14,34.10749146658518,14.23819519207952,1.4926148157202304,-12.213228977239988,141.23835239086077,-2.309096408527367,-0.04625773016375301,-3.375077994860476e-14,48.797856561910315,15.216543823579837,1.8741410475900284,-12.213228977239975,48.75738634735099,-5.25604203328205,-0.12673046966973422,0.0,broad_consec_below,SPY,10.0,5.0,0.0,616.0,,-0.6832776460324436,False
