family,source,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann
broad_consec_below,DIA,0.5,30,0,0.002203351766577347,-0.287797833743331,0.10329960395856119,0.0,0.320016633786139
broad_consec_above,DIA,0.5,30,0,0.001884923357711931,-0.12858615475813442,0.0,0.07899961158628344,0.8187651408386998
broad_consec_below,DIA,0.75,30,0,0.0016609256863565481,-0.13899901307989404,0.0541076389030124,0.0,0.160363221899118
broad_consec_above,DIA,0.75,30,0,0.0016243595001413469,-0.0629929688600036,0.0,0.03966331339447038,0.41286632854276206
broad_consec_below,DIA,0.25,30,0,0.0016078043919480357,-0.44831645109231333,0.1476185467337956,0.0,0.4789600534991223
held_proxy_consec_below,held_proxy,0.0,30,0,0.000715998668181006,-0.22550136468540727,0.0,0.0,0.0
broad_consec_above,DIA,0.25,30,0,0.0006344086799073279,-0.19639725895146054,0.0,0.11801020156661224,1.2176868313067644
held_proxy_consec_below,held_proxy,0.25,30,0,0.0005706342165380796,-0.1684857718169878,0.0,0.0,0.0
held_proxy_consec_below,held_proxy,0.5,30,0,0.0004027525768074747,-0.11188699951446082,0.0,0.0,0.0
held_proxy_consec_below,held_proxy,0.75,30,0,0.00021248391059881523,-0.05572099752065483,0.0,0.0,0.0
broad_consec_above,DIA,0.0,30,0,1.4321877017664522e-15,-0.2685741448283313,0.0,0.1566963780396584,1.6096223384709276
broad_consec_above,IWM,0.0,30,0,1.4321877017664522e-15,-0.3970430777510895,0.0,0.05321300663414519,1.5994558911227799
broad_consec_above,IWM,0.25,30,0,1.4321877017664522e-15,-0.2801141914871439,0.0,0.03999482463537163,1.2203031396008015
broad_consec_above,IWM,0.5,30,0,1.4321877017664522e-15,-0.18004315406122062,0.0,0.026720017070935853,0.8273828767277038
broad_consec_above,IWM,0.75,30,0,1.4321877017664522e-15,-0.08835461485131055,0.0,0.013388452761578407,0.42063517351909496
broad_consec_above,QQQ,0.0,30,0,1.4321877017664522e-15,-0.4188073629081177,0.0,0.0,0.0
broad_consec_above,QQQ,0.25,30,0,1.4321877017664522e-15,-0.30559018642380165,0.0,0.0,0.0
broad_consec_above,QQQ,0.5,30,0,1.4321877017664522e-15,-0.1976746654401754,0.0,0.0,0.0
broad_consec_above,QQQ,0.75,30,0,1.4321877017664522e-15,-0.09575785321609862,0.0,0.0,0.0
broad_consec_above,SPY,0.0,30,0,1.4321877017664522e-15,-0.38532658261279273,0.003641449280664233,0.0,0.0
broad_consec_above,SPY,0.25,30,0,1.4321877017664522e-15,-0.2842104020572628,0.0029318929723345377,0.0,0.0
broad_consec_above,SPY,0.5,30,0,1.4321877017664522e-15,-0.1863235251805533,0.002088794379815795,0.0,0.0
broad_consec_above,SPY,0.75,30,0,1.4321877017664522e-15,-0.09106563094975736,0.0011116616495989717,0.0,0.0
broad_consec_below,IWM,0.0,30,0,1.4321877017664522e-15,-0.770122603923576,0.5506804910300644,0.06762491494687595,0.6826358134642376
broad_consec_below,IWM,0.25,30,0,1.4321877017664522e-15,-0.55991521985378,0.4199677789960674,0.05182266490058396,0.5322392018863411
broad_consec_below,IWM,0.5,30,0,1.4321877017664522e-15,-0.357515546773277,0.28465933745908956,0.0352859156308476,0.36832871432704195
broad_consec_below,IWM,0.75,30,0,1.4321877017664522e-15,-0.16927044254854332,0.14469182345981935,0.01801244364980903,0.1909124114712455
broad_consec_below,SPY,0.0,30,0,1.4321877017664522e-15,-0.5922195733169997,0.2380981205731807,1.5253655151073389,2.997626049148643
broad_consec_below,SPY,0.25,30,0,1.4321877017664522e-15,-0.438420172371624,0.17977351159754562,1.1485562333724673,2.2505651432797933
broad_consec_below,SPY,0.5,30,0,1.4321877017664522e-15,-0.28761362473265073,0.12065024012215275,0.7687194363798184,1.5019224081157319
broad_consec_below,SPY,0.75,30,0,1.4321877017664522e-15,-0.14092201192049977,0.06072638268896924,0.38586429114728915,0.7517250003036722
broad_consec_below,DIA,0.0,30,0,-0.0015738330653968617,-0.615370311913166,0.18710569523148024,0.0,0.6371932942690606
broad_consec_below,QQQ,0.75,30,0,-0.004038573801593215,-0.15249874232181496,-0.050382572688480565,0.09897372307881369,0.4402845109005469
broad_consec_below,QQQ,0.5,30,0,-0.008108210789874492,-0.3176422986045302,-0.10082035102050213,0.19535862099775514,0.8796827231504878
broad_consec_below,QQQ,0.25,30,0,-0.012208691465241815,-0.491507519197947,-0.15131346420513836,0.2891629481781379,1.3181997200196776
broad_consec_below,QQQ,0.0,30,0,-0.016339786160810846,-0.6727131061889184,-0.20186204219045933,0.38039490311110313,1.7558404871808477
held_proxy_low,held_proxy,0.75,20,0,-0.2622967077591701,-0.5625618595055597,-1.887450091288656,-0.7128332004539217,-1.050050377125885
held_proxy_low,held_proxy,0.5,20,0,-0.5460204119940237,-1.1579342587896035,-3.761325403816908,-1.4379844886144504,-2.111730516932653
held_proxy_low,held_proxy,0.25,20,0,-0.8376457972361443,-1.782347265502385,-5.621365414675484,-2.175155394508984,-3.184610107712693
held_proxy_low,held_proxy,0.0,20,0,-1.1320560619750477,-2.428116021269977,-7.467320912907429,-2.9240468572604854,-4.268260436980604
