date,return,gross_return,cost,turnover,weight,pre_volume_weight,volume_mult,volume_on,volume_indicator,spread_return,zz1000,cyb,spread_close,signal_score,signal_r2,abs_bias,execution_signal,target_vol_raw_weight,target_vol_raw_scale,target_vol_applied_scale,target_vol_realized_vol,gross_exposure,nav,strategy_id,candidate
2015-01-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8593976707379484,0.005385715252428591,6625.005,1711.372,3.8711659417122637,2.501334303776357,0.26215896173245523,-0.03913237231828204,0.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-01-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.884847901580044,0.006157420511713418,6546.597,1680.58,3.895439074605196,4.05458970521177,0.5400475466498788,-0.03272767205100113,1.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-02,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8051648550192851,-0.01130220624902667,6535.903,1696.829,3.8518336261343955,4.933321245171742,0.8063465342367416,-0.043008358308417205,1.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-03,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1101518020678396,-0.013716483705536797,6654.549,1750.906,3.800631787200455,4.2831961414495145,0.6626139232606607,-0.054989123599956,1.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-04,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.083390095635153,-0.004084531799516622,6653.338,1757.739,3.7851683327274412,2.8612000048514363,0.37415304285270007,-0.05802821935390179,1.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-05,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3565307150241552,-0.009316766227462248,6654.082,1774.312,3.7502322026791233,0.8432749348838675,0.04365682279794933,-0.06572810589691935,1.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1140999501417417,0.005323734371973199,6526.949,1730.966,3.7706974024908635,-0.40318599842169656,0.013242282085568163,-0.05958589550894822,0.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8533686752748406,0.004792376536188692,6474.817,1708.845,3.7890019282029677,-1.1095199318935096,0.13521732019494687,-0.05400358195478705,0.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-10,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.726114919238359,-0.010212789778015319,6555.818,1747.675,3.751165405467264,-1.6301130292534847,0.28254543542991634,-0.0622741654727309,0.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
2015-02-11,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8570962622069249,-0.0007207084235119066,6645.51,1772.845,3.7485002919036914,-2.063461569099029,0.4586229639963292,-0.06175512337326938,0.0,0.0,0.0,0.0,,0.0,1.0,substrategy_zz1000_cyb_tv14_db5_cybvol_w60_thr1p05_d6_scale0p25,l8ridge_primary_tv14_vw60_max1p25_db0p05_cyb_vol_low_w60_thr1p05_d6_scale0p25
