date,zz_combo_return,cyb_combo_return,return,nav,cost,turnover,gross_exposure
2014-10-17,0.0,-0.0045389684558338,-0.0022694842279169,0.997730515772083,0.0,0.0,
2014-10-20,0.0,-0.00025,-0.000125,0.9976057994576115,0.0,0.0,
2014-10-21,0.0,0.0002048664541953,0.00010243322709765,0.9977079874390212,0.0,0.0,
2014-10-22,0.0,-0.0005570535519326,-0.0002785267759663,0.997430099049924,0.0,0.0,
2014-10-23,0.0,-0.0010289989677598,-0.0005144994838799,0.9969169217787565,0.0,0.0,
2014-10-24,0.0,-0.0010055173565933,-0.00050275867829665,0.9964157131447914,0.0,0.0,
2014-10-27,0.0,-0.0070227420381542,-0.0035113710190771,0.9929169278867017,0.0,0.0,
2014-10-28,0.0,-4.967481939910754e-05,-2.483740969955377e-05,0.9928922664021661,0.0,0.0,
2014-10-29,0.0,-0.0012777833255826,-0.0006388916627913,0.9922579158111118,0.0,0.0,
2014-10-30,0.0,-0.0012010929073301,-0.00060054645366505,0.9916620188386503,0.0,0.0,
2014-10-31,0.0,0.0088814213204566,0.0044407106602283,0.9960657029370505,0.0,0.0,
2014-11-03,0.0,-0.0034505556552683,-0.00172527782763415,0.9943472128649065,0.0,0.0,
2014-11-04,0.0,0.0034314801290838,0.0017157400645419,0.9960532542160845,0.0,0.0,
2014-11-05,0.0,-0.00048552329533,-0.000242761647665,0.9958114506869289,0.0,0.0,
2014-11-06,0.0,-0.0045147944869438,-0.0022573972434719,0.9935635086631305,0.0,0.0,
2014-11-07,0.0,0.0018475072437414,0.0009237536218707,0.9944813165528166,0.0,0.0,
2014-11-10,0.0,0.0115101088528613,0.00575505442643065,1.0002046106556464,0.0,0.0,
2014-11-11,0.0,0.0126002138529916,0.0063001069264958,1.006506006651151,0.0,0.0,
2014-11-12,0.0,0.0015629316358321,0.00078146581791605,1.0072925566908764,0.0,0.0,
2014-11-13,0.0,0.0063954098499848,0.0031977049249924,1.010513581060315,0.0,0.0,
2014-11-14,0.0,0.000769140573552,0.000384570286776,1.0109021945579744,0.0,0.0,
2014-11-17,0.0,-0.0130071166582485,-0.00650355832912425,1.0043277331706268,0.0,0.0,
2014-11-18,0.0,-0.0063636697161905,-0.00318183485809525,1.0011321281802728,0.0,0.0,
2014-11-19,0.0,-0.0065101220807412,-0.0032550610403706,0.9978733819935698,0.0,0.0,
2014-11-20,0.0,0.0027317055717089,0.00136585278585445,0.9992363301322957,0.0,0.0,
2014-11-21,0.0,-0.0001875,-9.375e-05,0.9991426517263459,0.0,0.0,
2014-11-24,0.0,0.0,0.0,0.9991426517263459,0.0,0.0,
2014-11-25,0.0,0.0,0.0,0.9991426517263459,0.0,0.0,
2014-11-26,0.0,0.0,0.0,0.9991426517263459,0.0,0.0,
2014-11-27,0.0,0.0019171096142711,0.00095855480713555,1.0001003847181724,0.0,0.0,
2014-11-28,0.0,0.0055847978667304,0.0027923989333652,1.0028930639657174,0.0,0.0,
2014-12-01,0.0,0.0059652163081168,0.0029826081540584,1.0058843009959502,0.0,0.0,
2014-12-02,0.0,0.0105909747965225,0.00529548739826125,1.011210948635983,0.0,0.0,
2014-12-03,0.0,-0.0049497425724156,-0.0024748712862078,1.0087083316949048,0.0,0.0,
2014-12-04,0.0,0.0174387566506142,0.0087193783253071,1.0175036412588419,0.0,0.0,
2014-12-05,0.0,0.0160141635931196,0.0080070817965598,1.0256508761426988,0.0,0.0,
2014-12-08,0.0,0.0253768339173998,0.0126884169586999,1.0386647621132532,0.0,0.0,
2014-12-09,0.0,-0.0025866991061592,-0.0012933495530796,1.0373214055073745,0.0,0.0,
2014-12-10,0.0,-0.003989122465028,-0.001994561232514,1.0352524044462925,0.0,0.0,
2014-12-11,0.0,-0.00025,-0.000125,1.0351229978957366,0.0,0.0,
2014-12-12,0.0,0.0,0.0,1.0351229978957366,0.0,0.0,
2014-12-15,0.0,-0.0068038228412472,-0.0034019114206236,1.031601601147445,0.0,0.0,
2014-12-16,0.0,0.0158562491185224,0.0079281245592612,1.0397802671368752,0.0,0.0,
2014-12-17,0.0,0.010318411207957,0.0051592056039785,1.045144707317994,0.0,0.0,
2014-12-18,0.0,0.000912468244968,0.000456234122484,1.0456215379964062,0.0,0.0,
2014-12-19,0.0,0.0173558163593123,0.00867790817965615,1.05469534569381,0.0,0.0,
2014-12-22,0.0,0.0277427722011885,0.01387138610059425,1.0693254320524286,0.0,0.0,
2014-12-23,0.0,-0.00025,-0.000125,1.069191766373422,0.0,0.0,
2014-12-24,0.0,0.0,0.0,1.069191766373422,0.0,0.0,
2014-12-25,0.0,0.0,0.0,1.069191766373422,0.0,0.0,
2014-12-26,0.0,0.0140784914484759,0.00703924572423795,1.0767180699432566,0.0,0.0,
2014-12-29,0.0,0.013661667671136,0.006830833835568,1.0840729521667924,0.0,0.0,
2014-12-30,0.0,0.0137670650138886,0.0068835325069443,1.0915352035729315,0.0,0.0,
2014-12-31,0.0,0.006965176376535,0.0034825881882675,1.0953365711799727,0.0,0.0,
2015-01-05,0.0,0.0177170531299269,0.00885852656496345,1.1050396392933466,0.0,0.0,
2015-01-06,0.0,-0.00025,-0.000125,1.104901509338435,0.0,0.0,
2015-01-07,0.0,0.005525275098527,0.0027626375492635,1.1079539517363712,0.0,0.0,
2015-01-08,0.0,-0.00025,-0.000125,1.1078154574924042,0.0,0.0,
2015-01-09,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-12,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-13,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-14,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-15,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-16,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-19,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-20,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-21,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-22,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-23,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-26,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-27,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-28,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-29,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-01-30,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-02,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-03,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-04,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-05,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-06,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-09,0.0,0.0,0.0,1.1078154574924042,0.0,0.0,
2015-02-10,0.0,0.0004881107887681,0.00024405539438405,1.1080858258307873,0.0,0.0,
2015-02-11,0.0,0.0007966283090858,0.0003983141545429,1.1085271920996642,0.0,0.0,
2015-02-12,0.0,0.0008050460784564,0.0004025230392282,1.1089733998340952,0.0,0.0,
2015-02-13,0.0,0.0015721641711502,0.0007860820855751,1.1098451439570842,0.0,0.0,
2015-02-16,0.0,0.0037707566281289,0.00188537831406445,1.1119376219234707,0.0,0.0,
2015-02-17,0.0,-0.0009625518397016,-0.0004812759198508,1.1114024731216627,0.0,0.0,
2015-02-25,0.00490591300547455,0.0003930896321181,0.002649501318796325,1.1143471354399122,0.0,0.0,
2015-02-26,-0.0094497677891955,-0.0028325385988229,-0.0061411531940092,1.1075037589698704,0.0,0.0,
2015-02-27,0.00592816062131525,0.0029330679650418,0.004430614293178525,1.1124106809541112,0.0,0.0,
2015-03-02,0.00826365757663505,0.0028046725023279,0.005534165039481474,1.1185669452541933,0.0,0.0,
2015-03-03,0.01081278646127445,0.001696667935247,0.006254727198260725,1.12556327634975,0.0,0.0,
2015-03-04,0.0055487895580214,0.0022324699261581,0.00389062974208975,1.1299424263093203,0.0,0.0,
2015-03-05,0.00764714883354855,0.0015441081951813,0.004595628514364925,1.135135221943258,0.0,0.0,
2015-03-06,-0.00502622660251305,-0.0033123245480056,-0.004169275575259325,1.1304025303877934,0.0,0.0,
2015-03-09,-0.00084021303862295,0.0006150311721396,-0.000112590933241675,1.1302752573119583,0.0,0.0,
2015-03-10,0.01023378245578895,0.0038162680199763,0.007025025237882625,1.1382154695203293,0.0,0.0,
2015-03-11,-0.00058454464570625,-0.0007228474951211,-0.0006536960704136749,1.1374714225406197,0.0,0.0,
2015-03-12,-0.0128522786244247,-0.0034384323927715,-0.0081453555085981,1.1282063134231557,0.0,0.0,
2015-03-13,0.00548505043727175,0.0022761473528219,0.0038805988950468247,1.1325844295964105,0.0,0.0,
2015-03-16,0.0043339611751871,0.0013719342371858,0.0028529477061864502,1.13581563374689,0.0,0.0,
