??,????,start,end,rows
0.09572983971428295,-0.047744019933049775,2014-10-17,2026-06-05,2828
0.0928779414972869,-0.047744019933049886,2016-06-06,2026-06-05,2427
0.08239879345769463,-0.030650029123289402,2021-06-07,2026-06-05,1211
0.07288104773481918,-0.027776003184596942,2023-06-05,2026-06-05,727
0.08002991195994347,-0.02718588136292832,2025-06-05,2026-06-05,244
0.1086225315068805,-0.06631294914284558,2010-06-01,2026-06-05,3887
0.09943142210355682,-0.05024335206301955,2016-06-06,2026-06-05,2427
0.10044147903191925,-0.050243352063019886,2021-06-07,2026-06-05,1211
0.10995897618424655,-0.047483617913331444,2023-06-05,2026-06-05,727
0.17322624399910835,-0.04748361791333111,2025-06-05,2026-06-05,244
0.10914799931504882,-0.050553335597738114,2014-10-17,2026-06-05,2828
0.10395639040155102,-0.05055333559773789,2016-06-06,2026-06-05,2427
0.087434950301426,-0.0414159556407695,2021-06-07,2026-06-05,1211
0.08302117088880512,-0.04141595564076983,2023-06-05,2026-06-05,727
0.09465118590382193,-0.030806040439492643,2025-06-05,2026-06-05,244
