window,series,date,nav_raw,nav_rebased,daily_return,drawdown
10y,50/50 Combo,2016-06-06,1.1985473007164993,1.0,0.0034933265313509,0.0
10y,50/50 Combo,2016-06-07,1.199742689062263,1.000997364346863,0.000997364346863,0.0
10y,50/50 Combo,2016-06-08,1.2020219824042913,1.0028990776465099,0.001899818488421,0.0
10y,50/50 Combo,2016-06-13,1.1894560602045698,0.9924147837081652,-0.0104539870182631,-0.010453987018263167
10y,50/50 Combo,2016-06-14,1.1903905927905958,0.9931945047800556,0.0007856806294006,-0.009676519883962675
10y,50/50 Combo,2016-06-15,1.1974188949464768,0.9990585221214483,0.0059041983349388,-0.0038294536416108027
10y,50/50 Combo,2016-06-16,1.202730688760722,1.003490382099832,0.0044360364085307,0.0
10y,50/50 Combo,2016-06-17,1.2037415358220542,1.0043337756486121,0.0008404600221633,0.0
10y,50/50 Combo,2016-06-20,1.2063972263087956,1.0065495334123264,0.0022061966026019,0.0
10y,50/50 Combo,2016-06-21,1.1999727265714606,1.001189294618668,-0.0053253601692968,-0.0053253601692969665
10y,50/50 Combo,2016-06-22,1.2062729119310658,1.0064458125348479,0.0052502737938102,-0.00010304597442600816
10y,50/50 Combo,2016-06-23,1.20822805500813,1.008077073208411,0.0016208132154225,0.0
10y,50/50 Combo,2016-06-24,1.2112894611054157,1.0106313371039248,0.0025337982217813,0.0
10y,50/50 Combo,2016-06-27,1.218267859883524,1.0164537178926818,0.0057611322497098,0.0
10y,50/50 Combo,2016-06-28,1.2210787228527022,1.0187989427891027,0.0023072618606609,0.0
10y,50/50 Combo,2016-06-29,1.2192618433818552,1.017283041439393,-0.0014879298417406,-0.0014879298417406206
10y,50/50 Combo,2016-06-30,1.21844415167104,1.0166008057776663,-0.0006706448785004,-0.0021575768477131163
10y,50/50 Combo,2016-07-01,1.2162590007777727,1.0147776396064514,-0.001793394379439,-0.003947101840960254
10y,50/50 Combo,2016-07-04,1.2179154693246852,1.0161597031644956,0.0013619373388835,-0.002590540207454306
10y,50/50 Combo,2016-07-05,1.2202006243953167,1.0180663071585685,0.0018762838047361,-0.0007191169913549622
10y,50/50 Combo,2016-07-06,1.2206176537301117,1.0184142528212434,0.0003417711206314,-0.0003775916441433047
10y,50/50 Combo,2016-07-07,1.2224080548299692,1.0199080621175367,0.0014667992834497,0.0
10y,50/50 Combo,2016-07-08,1.2247612641788608,1.0218714467478176,0.0019250604080968,0.0
10y,50/50 Combo,2016-07-11,1.2182617084383287,1.0164485854751364,-0.0053067940100878,-0.005306794010087934
10y,50/50 Combo,2016-07-12,1.2098346088122691,1.0094174907315066,-0.0069173147015037,-0.012187399947367838
10y,50/50 Combo,2016-07-13,1.213456728255901,1.0124395820928291,0.0029938963700069,-0.009229991389823167
10y,50/50 Combo,2016-07-14,1.215902336792969,1.0144800593736225,0.0020154064666015,-0.007233187107555161
10y,50/50 Combo,2016-07-15,1.211966350706114,1.011196095457887,-0.0032370906509124,-0.010446863276105667
10y,50/50 Combo,2016-07-18,1.2116134898513444,1.0109016883414064,-0.0002911474023715,-0.010734969101371172
10y,50/50 Combo,2016-07-19,1.2080530014184376,1.0079310184055779,-0.0029386338652796,-0.013642056822906867
10y,50/50 Combo,2016-07-20,1.2070293796907032,1.007076966398517,-0.0008473318029362,-0.014477829277239396
10y,50/50 Combo,2016-07-21,1.2080945548153614,1.007965688207011,0.0008824765515906,-0.013608129070503683
10y,50/50 Combo,2016-07-22,1.20808827577149,1.0079604493283552,-5.197477172980136e-06,-0.013613255819736603
10y,50/50 Combo,2016-07-25,1.2088487885458383,1.0085949781232504,0.0006295175523186,-0.01299230805090068
10y,50/50 Combo,2016-07-26,1.208738456664588,1.0085029234490757,-9.127020872753966e-05,-0.013082392448960478
10y,50/50 Combo,2016-07-27,1.2189510883824617,1.017023765064395,0.0084490004115981,-0.004743925176548092
10y,50/50 Combo,2016-07-28,1.2203408641978926,1.0181833153087616,0.0011401407559963,-0.0036091931629891327
10y,50/50 Combo,2016-07-29,1.2212268090411844,1.0189224975193947,0.0007259814608224,-0.002885831909491321
10y,50/50 Combo,2016-08-01,1.2236185256048602,1.0209180103892213,0.0019584540283336,-0.0009330296502859659
10y,50/50 Combo,2016-08-02,1.2218098843634542,1.0194089825516677,-0.0014781087435007,-0.0024097592745025986
10y,50/50 Combo,2016-08-03,1.220923215027712,1.0186691958655585,-0.0007257015572468,-0.003133712065691352
10y,50/50 Combo,2016-08-04,1.2191339273005195,1.0171763155043723,-0.0014655202761066,-0.004594639823226276
10y,50/50 Combo,2016-08-05,1.2212069651253856,1.0189059408797134,0.0017004184515284,-0.0029020341820314988
10y,50/50 Combo,2016-08-08,1.2203243618212187,1.0181695466601117,-0.000722730322846,-0.003622667116776279
10y,50/50 Combo,2016-08-09,1.2192261398505857,1.0172532524346136,-0.0008999426750723,-0.004519349599112266
10y,50/50 Combo,2016-08-10,1.218916038873156,1.016994521738508,-0.0002543424614136,-0.004772542598025287
10y,50/50 Combo,2016-08-11,1.222966367370374,1.0203738864868135,0.0033228937580989,-0.001465507491935747
10y,50/50 Combo,2016-08-12,1.225708404649885,1.0226616871250294,0.002242119941047,0.0
10y,50/50 Combo,2016-08-15,1.2280261987512298,1.024595523278145,0.0018909832816286,0.0
