combo_id,forward_weight,reverse_weight,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,calmar,avg_turnover,cost_total,avg_exposure,final_nav,avg_gross_sleeve_exposure,avg_abs_net_pair_exposure
cache_w_fwd_0p00_w_rev_1p00,0.0,1.0,full,2014-10-17,2026-06-05,2828,0.0971672143601432,0.06341226975343023,1.5323093580779297,-0.057212294624804705,1.698362476061497,0.032825021748016305,0.046414580751695064,0.17451286937341126,2.955467548500149,0.17451286937341126,0.17451286937341126
cache_w_fwd_0p00_w_rev_1p00,0.0,1.0,last_10y,2016-06-06,2026-06-05,2427,0.11410694269482491,0.06839855775646284,1.668265332452031,-0.057212294624804705,1.9944479319197455,0.03824852142702518,0.046414580751695064,0.20334668091800867,2.955467548500149,0.20334668091800867,0.20334668091800867
cache_w_fwd_0p00_w_rev_1p00,0.0,1.0,last_5y,2021-06-07,2026-06-05,1211,0.07063112617433287,0.0629646709094756,1.1217580454899754,-0.05244523702211079,1.3467595950525488,0.036872660535640804,0.02232639595433051,0.18548277540791022,1.4070897699661196,0.18548277540791022,0.18548277540791022
cache_w_fwd_0p00_w_rev_1p00,0.0,1.0,last_3y,2023-06-05,2026-06-05,727,0.0863877134838571,0.06836689068290197,1.2635899134939304,-0.041753760791631844,2.068980418673344,0.037963387669059316,0.013799691417703062,0.20152848618613048,1.282635434253934,0.20152848618613048,0.20152848618613048
cache_w_fwd_0p00_w_rev_1p00,0.0,1.0,last_1y,2025-06-05,2026-06-05,244,0.06315926782271886,0.04697218899126524,1.3446098463595917,-0.029543370126714263,2.1378491198472918,0.03330919707108036,0.004063722042671804,0.18937380140211002,1.0636975288338049,0.18937380140211002,0.18937380140211002
cache_w_fwd_0p25_w_rev_0p75,0.25,0.75,full,2014-10-17,2026-06-05,2828,0.096828449402373,0.05187817923495604,1.8664581299940655,-0.044655793796018806,2.1683289260218133,0.038055824302525666,0.0538109355637713,0.21782772133698913,2.9448212275590637,0.21782772133698913,0.21765091794236396
cache_w_fwd_0p25_w_rev_0p75,0.25,0.75,last_10y,2016-06-06,2026-06-05,2427,0.10379351778757884,0.05447319736293304,1.9054052784169122,-0.044655793796018806,2.3243012600266963,0.042386432273400325,0.051435935563771296,0.23996365716563878,2.692272096267148,0.23996365716563878,0.23975764150844883
cache_w_fwd_0p25_w_rev_0p75,0.25,0.75,last_5y,2021-06-07,2026-06-05,1211,0.07685269136305473,0.051294951945892155,1.49825057725216,-0.03672847589643824,2.092455226831439,0.0429311262852979,0.025994796965747885,0.23841018229912012,1.448486214645033,0.23841018229912012,0.23841018229912012
cache_w_fwd_0p25_w_rev_0p75,0.25,0.75,last_3y,2023-06-05,2026-06-05,727,0.07995348490949139,0.05444741317810217,1.4684533248247564,-0.027167930863562617,2.942936115047476,0.04205575945880962,0.015287268563277296,0.24330592447453595,1.2599496437602782,0.24330592447453595,0.24330592447453595
cache_w_fwd_0p25_w_rev_0p75,0.25,0.75,last_1y,2025-06-05,2026-06-05,244,0.07189443988558741,0.041363644925140323,1.7381069781374814,-0.022207479885732462,3.237397501000422,0.03932616009839224,0.004797791532003853,0.2772762526909268,1.0725096497970823,0.2772762526909268,0.2772762526909268
cache_w_fwd_0p50_w_rev_0p50,0.5,0.5,full,2014-10-17,2026-06-05,2828,0.09572983971428495,0.05253981457012332,1.8220437300272003,-0.04774401993305011,2.0050645054296603,0.043286626857035035,0.06120729037584753,0.261142573300567,2.9105361767152966,0.261142573300567,0.26078896651131667
