date,return,gross_return,cost,turnover,weight,pre_volume_weight,volume_mult,volume_on,volume_indicator,spread_return,nav_on,decay_on,overheat_on,cyb,sz50,spread_close,gross_exposure,nav,candidate,line,volume_feature
2010-08-27,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6491649237051111,-0.017659711221457375,0.0,0.0,0.0,999.456,1917.581,1.9186247318541285,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-08-30,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1294439354238006,-0.01246007817650896,0.0,0.0,0.0,1024.928,1942.559,1.8953126463517436,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-08-31,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0660183705856554,-0.010228153028534859,0.0,0.0,0.0,1025.57,1923.907,1.87593923379194,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2825277738695204,0.025817860211547305,0.0,0.0,0.0,995.586,1917.33,1.925830616340527,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-02,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1027665166084988,-0.009724909534383874,0.0,0.0,0.0,1014.922,1935.922,1.9074588983192797,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-03,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1764435935443374,-0.024940241530543084,0.0,0.0,0.0,1036.703,1929.186,1.8608859046419273,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6749873548424874,0.04911943144958908,0.0,0.0,0.0,1010.764,1975.677,1.9546372842720952,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-07,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.132193315151305,-0.013015836554709281,0.0,0.0,0.0,1022.622,1973.14,1.929491053390207,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-08,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2623971932362077,-0.012142455351779824,0.0,0.0,0.0,1026.327,1956.33,1.9061468713187901,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-09,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2495270908317884,-0.015066921129575306,0.0,0.0,0.0,1021.832,1918.286,1.8773007695981336,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
2010-09-10,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9381310914156848,-0.01420371164003853,0.0,0.0,0.0,1034.939,1915.645,1.8509738255104888,0.0,1.0,l7vol_neighbor_downonly_tv16_w30_min0_sz50_vol_high_w60_thr1p25_d3_scale0,neighbor_downonly_tv16_w30_min0,sz50_vol_high
