strategy,segment,start,end,rows,ann_return,max_dd,final_nav
??1000/??300 ??50/50,full,2014-10-17,2026-06-05,2828,0.09572983971428295,-0.047744019933049775,2.910536176715238
??1000/??300 ??50/50,last_10y,2016-06-06,2026-06-05,2427,0.0928779414972869,-0.047744019933049886,2.4368697240532806
??1000/??300 ??50/50,last_5y,2021-06-07,2026-06-05,1211,0.08239879345769463,-0.030650029123289402,1.486204574445636
??1000/??300 ??50/50,last_3y,2023-06-05,2026-06-05,727,0.07288104773481918,-0.027776003184596942,1.235324250340646
??1000/??300 ??50/50,last_1y,2025-06-05,2026-06-05,244,0.08002991195994347,-0.02718588136292832,1.0807173218563115
???/??300 ??50/50,full,2010-06-01,2026-06-05,3887,0.10862253150688161,-0.06631294914284513,5.23980425873939
???/??300 ??50/50,last_10y,2016-06-06,2026-06-05,2427,0.0994314221035586,-0.05024335206301889,2.5874517797470147
???/??300 ??50/50,last_5y,2021-06-07,2026-06-05,1211,0.10044147903192102,-0.05024335206301933,1.6143828075790554
???/??300 ??50/50,last_3y,2023-06-05,2026-06-05,727,0.10995897618424855,-0.047483617913330556,1.3680689989472883
???/??300 ??50/50,last_1y,2025-06-05,2026-06-05,244,0.17322624399910969,-0.047483617913330334,1.1747762885849695
????: ??50/50???,full,2014-10-17,2026-06-05,2828,0.10311551865584634,-0.03389448988476629,3.14823270281288
????: ??50/50???,last_10y,2016-06-06,2026-06-05,2427,0.09676038254309005,-0.03389448988476629,2.5250954599703785
????: ??50/50???,last_5y,2021-06-07,2026-06-05,1211,0.09205144141649235,-0.03389448988476629,1.5537227021113345
????: ??50/50???,last_3y,2023-06-05,2026-06-05,727,0.0919498727188468,-0.025792823674893217,1.302464720274481
????: ??50/50???,last_1y,2025-06-05,2026-06-05,244,0.1264355540029105,-0.02579282367489344,1.1275444587125472
