strategy,segment,start,end,rows,ann_return,max_dd,final_nav
?????/????300,full,2010-06-01,2026-06-05,3887,0.10475209290355791,-0.08904510708916435,4.953578301604427
?????/????300,last_10y,2016-06-06,2026-06-05,2427,0.10661716418917666,-0.08538271409054943,2.7621462680147246
?????/????300,last_5y,2021-06-07,2026-06-05,1211,0.12286519299343102,-0.08351203599799484,1.785854462951564
?????/????300,last_3y,2023-06-05,2026-06-05,727,0.14945846840308374,-0.08351203599799462,1.5196018893577379
?????/????300,last_1y,2025-06-05,2026-06-05,244,0.38497929550832977,-0.08351203599799462,1.3887121454247366
????300/?????,full,2010-06-01,2026-06-05,3887,0.10823932182271023,-0.1114096939034116,5.210788306701299
????300/?????,last_10y,2016-06-06,2026-06-05,2427,0.0883072493983974,-0.07638126436239301,2.336567229879005
????300/?????,last_5y,2021-06-07,2026-06-05,1211,0.07404274037390568,-0.07638126436239268,1.4296706719757692
????300/?????,last_3y,2023-06-05,2026-06-05,727,0.06700108512085756,-0.06208298947956403,1.2150970514428006
????300/?????,last_1y,2025-06-05,2026-06-05,244,-0.011300201528902654,-0.023366357974940022,0.9886069423988119
50/50??,full,2010-06-01,2026-06-05,3887,0.1086225315068805,-0.06631294914284558,5.239804258739306
50/50??,last_10y,2016-06-06,2026-06-05,2427,0.09943142210355682,-0.05024335206301955,2.5874517797469734
50/50??,last_5y,2021-06-07,2026-06-05,1211,0.10044147903191925,-0.050243352063019886,1.6143828075790425
50/50??,last_3y,2023-06-05,2026-06-05,727,0.10995897618424655,-0.047483617913331444,1.3680689989472803
50/50??,last_1y,2025-06-05,2026-06-05,244,0.17322624399910835,-0.04748361791333111,1.1747762885849682
