window,new_ann_return,new_max_dd,old_latest_levered_combo_ann_return,old_latest_levered_combo_max_dd,delta_ann_return,delta_max_dd,start,end,rows
full,0.08704416863175779,-0.047744019933049664,0.0957652744389148,-0.047744019933049775,-0.008721105807157015,1.1102230246251565e-16,2014-10-17,2026-06-05,2828
10Y,0.08241180604544418,-0.047744019933049664,0.09253783400012283,-0.047744019933049775,-0.010126027954678651,1.1102230246251565e-16,2016-06-06,2026-06-05,2427
5Y,0.07790904085594486,-0.030862990697789416,0.08318513301158936,-0.030650029123289957,-0.005276092155644507,-0.00021296157449945952,2021-06-07,2026-06-05,1211
3Y,0.06727923650799772,-0.02777600318459683,0.07248594609160519,-0.02777600318459683,-0.005206709583607472,0.0,2023-06-05,2026-06-05,727
1Y,0.08048275877189037,-0.0271858813629281,0.08037214781309165,-0.027185881362927877,0.00011061095879871807,-2.220446049250313e-16,2025-06-05,2026-06-05,244
