window,new_ann_return,new_max_dd,old_levered_combo_ann_return,old_levered_combo_max_dd,delta_ann_return,delta_max_dd
full,0.08936828368086913,-0.04774495613975449,0.09815803263612177,-0.047744956139754935,-0.008789748955252641,4.440892098500626e-16
10Y,0.08518217443277631,-0.0477449561397546,0.09533838438297604,-0.047744956139754935,-0.010156209950199724,3.3306690738754696e-16
5Y,0.08148599296821968,-0.030862617539559434,0.08573568342239124,-0.03064958346111446,-0.004249690454171562,-0.00021303407844497357
3Y,0.07435613604283509,-0.0277761239822355,0.07819788034671848,-0.02777612398223528,-0.0038417443038833987,-2.220446049250313e-16
1Y,0.09838090808740141,-0.02269328451160435,0.09826801143517394,-0.022693284511603684,0.0001128966522274677,-6.661338147750939e-16
