series,window,start,end,rows,ann_return,max_dd,end_nav_rebased
new_combo_50_50,full,2014-10-17,2026-05-14,2812,0.08936828368086913,-0.04774495613975449,2.7027791956217193
new_combo_50_50,10Y,2016-05-16,2026-05-14,2426,0.08518217443277631,-0.0477449561397546,2.26861102670467
new_combo_50_50,5Y,2021-05-14,2026-05-14,1211,0.08148599296821968,-0.030862617539559434,1.4794643168860409
new_combo_50_50,3Y,2023-05-15,2026-05-14,726,0.07435613604283509,-0.0277761239822355,1.2396985519308688
new_combo_50_50,1Y,2025-05-14,2026-05-14,243,0.09838090808740141,-0.02269328451160435,1.0983809080874014
forward_long_csi1000_short_csi300,full,2014-10-17,2026-05-14,2812,0.09550005462413957,-0.06418707765067555,2.884867653095949
forward_long_csi1000_short_csi300,10Y,2016-05-16,2026-05-14,2426,0.0740720452052055,-0.06418707765067555,2.0463283452082943
forward_long_csi1000_short_csi300,5Y,2021-05-14,2026-05-14,1211,0.1000331187094734,-0.06418707765067544,1.6107524601121983
forward_long_csi1000_short_csi300,3Y,2023-05-15,2026-05-14,726,0.07373687149512609,-0.06418707765067566,1.2375590294841372
forward_long_csi1000_short_csi300,1Y,2025-05-14,2026-05-14,243,0.13981190287399325,-0.0405738650584343,1.1398119028739933
reverse_mainnav_no_lev_long_csi300_short_csi1000,full,2014-10-17,2026-05-14,2812,0.08053845802089032,-0.05721068149211761,2.4589793856084614
reverse_mainnav_no_lev_long_csi300_short_csi1000,10Y,2016-05-16,2026-05-14,2426,0.09394357214588456,-0.05721068149211761,2.4589793856084614
reverse_mainnav_no_lev_long_csi300_short_csi1000,5Y,2021-05-14,2026-05-14,1211,0.06076712164777032,-0.03775220558173886,1.3430749585420865
reverse_mainnav_no_lev_long_csi300_short_csi1000,3Y,2023-05-15,2026-05-14,726,0.07258801194628961,-0.034966893310574565,1.2335963054114971
reverse_mainnav_no_lev_long_csi300_short_csi1000,1Y,2025-05-14,2026-05-14,243,0.05610479146354619,-0.029543376695211232,1.0561047914635462
