date,return,gross_return,cost,turnover,weight,base_weight,overlay_mult,overlay_on,overlay_aux,score,spread_return,cyb,zz1000,spread_close,signal_score,raw_signal,target_vol_realized_vol,target_vol_raw_scale,target_vol_applied_scale,target_vol_base_weight,volhot_realized_vol,volhot_gate,volhot_scale,gross_exposure,nav,candidate,strategy_id
2015-01-23,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,9.14995597762514,-0.016670678696104724,1697.288,6502.067,0.2610382206150752,9.14995597762514,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-01-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.8812162965207735,0.003425690444788465,1739.79,6642.612,0.2619135364221183,7.8812162965207735,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-01-27,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,6.3059390682749346,-0.005473879941598536,1743.675,6693.806,0.26049081792929163,6.3059390682749346,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-01-28,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.5385115767235416,-0.002917723711466591,1731.413,6666.264,0.259727637549308,4.5385115767235416,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-01-29,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.4593788323235026,-0.005385715252428591,1711.372,6625.005,0.2583201069282212,2.4593788323235026,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-01-30,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.2397782285250804,-0.006157420511713418,1680.58,6546.597,0.25671047110430045,0.2397782285250804,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-1.4573795392609024,0.01130220624902667,1696.829,6535.903,0.25961661303724975,-1.4573795392609024,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.0379723342032587,0.013716483705536797,1750.906,6654.549,0.2631141494337182,-2.0379723342032587,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.613331921653569,0.004084531799516622,1757.739,6653.338,0.2641890431539778,-2.613331921653569,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.6186336077491643,0.009316766227462248,1774.312,6654.082,0.26665015549853455,-2.6186336077491643,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-06,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.73615033832222,-0.005323734371973199,1730.966,6526.949,0.2652029301898942,-2.73615033832222,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-09,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.60823796551112,-0.004792376536188692,1708.845,6474.817,0.2639217448153361,-2.60823796551112,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-2.2153866441644823,0.010212789778015319,1747.675,6555.818,0.26658381913591866,-2.2153866441644823,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-1.9467397499390446,0.0007207084235119066,1772.845,6645.51,0.2667733552428632,-1.9467397499390446,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-1.8400579076792953,0.00023114232917431643,1788.809,6703.815,0.26683448156012657,-1.8400579076792953,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,-1.3240166852236928,0.003792877007759987,1825.488,6815.848,0.2678299163948492,-1.3240166852236928,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.056925772010691406,0.017043122444541092,1896.628,6965.301,0.2722966315454278,0.056925772010691406,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-17,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.8747906766790055,-0.009084957709353247,1894.306,7020.053,0.26984212227457544,0.8747906766790055,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-25,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0696360398539055,-0.007078407301903233,1876.745,7004.665,0.2679278737812586,1.0696360398539055,1.0,,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-26,-0.005053777686588571,-0.004012928875128935,0.0010408488114596365,1.0408488114596364,1.0408488114596364,1.0408488114596364,1.0,0.0,,0.9304883275330756,-0.0038554387831806203,1880.388,7045.268,0.26690084749082643,0.9304883275330756,0.0,0.13450560586572677,1.0408488114596364,1.0408488114596364,1.0408488114596364,,0.0,1.0,1.0408488114596364,0.9949462223134115,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
2015-02-27,-0.0010408488114596365,0.0,0.0010408488114596365,1.0408488114596364,0.0,0.0,1.0,0.0,0.13450560586572677,0.9394712637433599,0.011629536093314963,1928.044,7141.888,0.26996278855115063,0.9394712637433599,0.0,0.12453298286051719,1.1242001659657235,0.0,0.0,0.13450560586572677,0.0,1.0,0.0,0.9939106337204503,stage2_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0p0,final_cyb_zz1000_tv14_max1p5_db0p375_volhot_w20_thr0p26_scale0
