date,zz1000,hs300,spread_close,score,zz1000_amount,hs300_amount,amount_ratio_zz1000_hs300,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,amount_gate,amount_ma_ratio
2014-10-17,6058.668,2441.732,1.0,,1169.91,1126.86,1.0382035035408126,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-20,6154.52,2454.711,1.0104496051915977,,983.67,848.44,1.1593866390080618,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-21,6103.008,2433.391,1.010771252892866,,972.86,866.22,1.1231096026413614,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-22,6027.51,2418.641,1.0043552843714798,,923.57,822.52,1.1228541555220544,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-23,5930.483,2395.936,0.9975523412633797,,910.56,860.45,1.0582369690278342,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-24,5941.926,2390.706,1.0016636353554684,,741.7,656.01,1.1306230087955975,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-27,6006.838,2368.832,1.02195670709368,,771.35,659.56,1.1694917824003883,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-28,6163.672,2416.653,1.0278886339666589,,1081.22,905.3,1.1943223240914616,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-29,6246.699,2451.384,1.0269754753997566,,1396.61,1345.42,1.0380475985194213,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-30,6241.588,2468.925,1.0188448174328522,,1296.45,1391.57,0.9316455514275244,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-10-31,6208.61,2508.325,0.9975425128537795,,1134.7,1816.05,0.6248175986343989,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-03,6275.993,2512.548,1.006674165079037,,1105.81,1514.07,0.7303559280614502,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-04,6231.816,2513.172,0.999339950334363,,1101.73,1552.92,0.7094570228987971,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-05,6227.245,2503.448,1.0024857722904625,,933.63,1461.31,0.6388993437395214,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-06,6289.192,2506.067,1.0114001543318274,,976.45,1188.39,0.8216578732570957,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-07,6228.167,2502.153,1.0031531170083807,,1196.35,1768.69,0.6764045706144095,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-10,6246.612,2565.73,0.9811929495746953,,994.95,1876.13,0.5303203935761381,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-11,6023.004,2558.612,0.9487014386344876,,1266.42,2658.41,0.4763824993134994,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-12,6120.058,2594.318,0.9507211797988833,,847.16,1578.47,0.5366969280379101,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
2014-11-13,6023.782,2579.75,0.9410494934431058,,1043.08,1929.85,0.5404979661631732,0.0,0.0,0.0,0.0,0.0,1.0,0,0,
