series,window,start,end,rows,ann_return,max_dd,end_nav_rebased
combo_50_50,full,2014-10-17,2026-06-05,2828,0.0957652744389148,-0.047744019933049775,2.9105361767152966
combo_50_50,10Y,2016-06-06,2026-06-05,2427,0.09253783400012283,-0.047744019933049775,2.428386576796226
combo_50_50,5Y,2021-06-07,2026-06-05,1211,0.08318513301158936,-0.030650029123289957,1.4911229444448475
combo_50_50,3Y,2023-06-05,2026-06-05,727,0.07248594609160519,-0.02777600318459683,1.2336013319725891
combo_50_50,1Y,2025-06-05,2026-06-05,244,0.08037214781309165,-0.027185881362927877,1.0807173218563149
long_csi1000_short_csi300,full,2014-10-17,2026-06-05,2828,0.09128790184252078,-0.06418571160863984,2.77460061790806
long_csi1000_short_csi300,10Y,2016-06-06,2026-06-05,2427,0.06859785597342061,-0.06418571160863984,1.9447213805416619
long_csi1000_short_csi300,5Y,2021-06-07,2026-06-05,1211,0.09149313473291976,-0.06418571160863995,1.5491912741698965
long_csi1000_short_csi300,3Y,2023-06-05,2026-06-05,727,0.05596043622408531,-0.06418571160864006,1.1774512639863293
long_csi1000_short_csi300,1Y,2025-06-05,2026-06-05,244,0.09485013721255697,-0.05398381028856336,1.095260183295449
long_csi300_short_csi1000,full,2014-10-17,2026-06-05,2828,0.09720320436306018,-0.057212294624804594,2.955467548500149
long_csi300_short_csi1000,10Y,2016-06-06,2026-06-05,2427,0.11415656570786425,-0.057212294624804594,2.955467548500149
long_csi300_short_csi1000,5Y,2021-06-07,2026-06-05,1211,0.07210977582947531,-0.05244523702211057,1.4164337955703508
long_csi300_short_csi1000,3Y,2023-06-05,2026-06-05,727,0.0865117096726078,-0.041753760791631844,1.2826354342539332
long_csi300_short_csi1000,1Y,2025-06-05,2026-06-05,244,0.06342725674037752,-0.029543370126714263,1.0636975288338042
