combo_id,forward_weight,reverse_weight,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,calmar,avg_turnover,cost_total,avg_exposure,final_nav,avg_gross_sleeve_exposure,avg_abs_net_pair_exposure,avg_net_pair_exposure
w_fwd_0p00_w_rev_1p00,0.0,1.0,full,2014-10-17,2026-05-14,2812,0.09774746662965117,0.06359076021462529,1.5371331668271226,-0.0572106814921175,1.708552740157777,0.033011595981843014,0.04641430395047012,0.17550583538540587,2.95550500438693,0.17550583538540587,0.17550583538540587,-0.17550583538540587
w_fwd_0p00_w_rev_1p00,0.0,1.0,last_10y,2016-05-16,2026-05-14,2426,0.11415797422522544,0.06841251144825032,1.6686710048874414,-0.0572106814921175,1.9953961611338986,0.03826405931613461,0.04641430395047012,0.20343050663798898,2.95550500438693,0.20343050663798898,0.20343050663798898,-0.20343050663798898
w_fwd_0p00_w_rev_1p00,0.0,1.0,last_5y,2021-05-14,2026-05-14,1211,0.06984705004488845,0.06344350985799947,1.1009329433573507,-0.05244555384210092,1.331801171462096,0.03774107559298348,0.022852221271550868,0.1913227334823186,1.4019406598191657,0.1913227334823186,0.1913227334823186,-0.1913227334823186
w_fwd_0p00_w_rev_1p00,0.0,1.0,last_3y,2023-05-15,2026-05-14,726,0.0837962746521197,0.06994709423219306,1.1979950785940237,-0.04175286838984715,2.006958512878987,0.04029142684496922,0.01462578794472347,0.21507534845891033,1.273042672885473,0.21507534845891033,0.21507534845891033,-0.21507534845891033
w_fwd_0p00_w_rev_1p00,0.0,1.0,last_1y,2025-05-14,2026-05-14,243,0.05564167362097061,0.05173175088704644,1.075580715264428,-0.029543376695210566,1.883389099188211,0.04167668125038001,0.005063716771921071,0.22307476311751034,1.055877905559516,0.22307476311751034,0.22307476311751034,-0.22307476311751034
w_fwd_0p25_w_rev_0p75,0.25,0.75,full,2014-10-17,2026-05-14,2812,0.09831255076635848,0.051934963952919855,1.892993530437046,-0.044654923846534134,2.201606055901693,0.03818330580572792,0.05368572796285259,0.21808919161729054,2.97323177994587,0.21808919161729054,0.21791138222895484,-0.04516956146081827
w_fwd_0p25_w_rev_0p75,0.25,0.75,last_10y,2016-05-16,2026-05-14,2426,0.1050348807946635,0.05439092141944004,1.9311105245796154,-0.04465492384653402,2.35214555858695,0.042403732863028405,0.05143572796285259,0.23913512235277043,2.7216689992928664,0.23913512235277043,0.2389290217756888,-0.0660106376042131
w_fwd_0p25_w_rev_0p75,0.25,0.75,last_5y,2021-05-14,2026-05-14,1211,0.07833197293038263,0.05142210230213973,1.5233133112708843,-0.03672843891297484,2.132733523360035,0.043375996620418876,0.02626416595366315,0.2405193003181799,1.4584708477789166,0.2405193003181799,0.2405193003181799,-0.046464799905297983
w_fwd_0p25_w_rev_0p75,0.25,0.75,last_3y,2023-05-15,2026-05-14,726,0.08224197797705668,0.05525873039885639,1.4883074110359713,-0.029351555546424324,2.8019631820527344,0.04364832219984261,0.015844340958542605,0.2510103680934941,1.2675734263539495,0.2510103680934941,0.2510103680934941,-0.07160265459487146
w_fwd_0p25_w_rev_0p75,0.25,0.75,last_1y,2025-05-14,2026-05-14,243,0.07544142524717978,0.043339162577735145,1.740721803561952,-0.022207484333539695,3.397117121151877,0.04514639982667389,0.005485287578940803,0.2948780887990381,1.075764689322939,0.2948780887990381,0.2948780887990381,-0.039734055877227406
