date,zz1000,sz50,spread_close,score,zz1000_amount,sz50_amount,amount_ratio_zz1000_sz50,base_gross_exposure,base_nav,base_target_vol_raw_scale,base_target_vol_scale,base_target_vol_deadband_suppressed,base_realized_vol,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,amount_gate,amount_raw,amount_ma,amount_ma_ratio,amount_condition_streak
2014-10-17,6058.668,1608.516,1.0,,1169.91,325.62,3.5928689883913765,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1169.91,,,0
2014-10-20,6154.52,1612.402,1.0133724413397815,,983.67,236.5,4.159281183932347,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,983.67,,,0
2014-10-21,6103.008,1600.844,1.0121459856818371,,972.86,246.73,3.9430146313784302,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,972.86,,,0
2014-10-22,6027.51,1597.125,1.0019527972972644,,923.57,245.35,3.7642959038108823,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,923.57,,,0
2014-10-23,5930.483,1586.557,0.9923905409179259,,910.56,277.63,3.2797608327630297,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,910.56,,,0
2014-10-24,5941.926,1583.419,0.9962758827174514,,741.7,213.9,3.4675081813931743,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,741.7,,,0
2014-10-27,6006.838,1559.906,1.022340866250592,,771.35,207.59,3.7157377523002073,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,771.35,,,0
2014-10-28,6163.672,1585.744,1.0319405376861739,,1081.22,239.44,4.515619779485466,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1081.22,,,0
2014-10-29,6246.699,1608.402,1.0311081168832374,,1396.61,351.15,3.9772461910864303,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1396.61,,,0
2014-10-30,6241.588,1619.096,1.0234596576268162,,1296.45,372.92,3.4764828917730344,0.0,1.0,1.0,1.0,0,,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1296.45,,,0
