window,series,start,end,rows,rebased_end_nav,ann_return,ann_vol,max_dd
10y,50/50 Combo,2016-06-06,2026-06-05,2427,2.428386576796226,0.09253783400012283,0.05046202832913371,-0.047744019933049775
10y,Long CSI1000 / Short CSI300,2016-06-06,2026-06-05,2427,1.9447213805416619,0.06859785597342061,0.07466560172198493,-0.06418571160863984
10y,Long CSI300 / Short CSI1000,2016-06-06,2026-06-05,2427,2.955467548500149,0.11415656570786425,0.06839855775646259,-0.057212294624804594
2y,50/50 Combo,2024-06-05,2026-06-05,485,1.1359020177728612,0.06578704147351178,0.051917677470908155,-0.02777600318459672
2y,Long CSI1000 / Short CSI300,2024-06-05,2026-06-05,485,1.156970539557476,0.07562565028799684,0.08316009320245939,-0.05499611522233261
2y,Long CSI300 / Short CSI1000,2024-06-05,2026-06-05,485,1.1092120804827064,0.053191378849402726,0.06252916724409487,-0.041753760791631955
