window,date,combo_nav_raw,combo_nav_rebased,combo_return,drawdown
10y,2016-06-06,1.1985473007164993,1.0,0.0034933265313509,0.0
10y,2016-06-07,1.199742689062263,1.000997364346863,0.000997364346863,0.0
10y,2016-06-08,1.2020219824042913,1.0028990776465099,0.001899818488421,0.0
10y,2016-06-13,1.1894560602045698,0.9924147837081652,-0.0104539870182631,-0.010453987018263167
10y,2016-06-14,1.1903905927905958,0.9931945047800556,0.0007856806294006,-0.009676519883962675
10y,2016-06-15,1.1974188949464768,0.9990585221214483,0.0059041983349388,-0.0038294536416108027
10y,2016-06-16,1.202730688760722,1.003490382099832,0.0044360364085307,0.0
10y,2016-06-17,1.2037415358220542,1.0043337756486121,0.0008404600221633,0.0
10y,2016-06-20,1.2063972263087956,1.0065495334123264,0.0022061966026019,0.0
10y,2016-06-21,1.1999727265714606,1.001189294618668,-0.0053253601692968,-0.0053253601692969665
10y,2016-06-22,1.2062729119310658,1.0064458125348479,0.0052502737938102,-0.00010304597442600816
10y,2016-06-23,1.20822805500813,1.008077073208411,0.0016208132154225,0.0
10y,2016-06-24,1.2112894611054157,1.0106313371039248,0.0025337982217813,0.0
10y,2016-06-27,1.218267859883524,1.0164537178926818,0.0057611322497098,0.0
10y,2016-06-28,1.2210787228527022,1.0187989427891027,0.0023072618606609,0.0
10y,2016-06-29,1.2192618433818552,1.017283041439393,-0.0014879298417406,-0.0014879298417406206
10y,2016-06-30,1.21844415167104,1.0166008057776663,-0.0006706448785004,-0.0021575768477131163
10y,2016-07-01,1.2162590007777727,1.0147776396064514,-0.001793394379439,-0.003947101840960254
10y,2016-07-04,1.2179154693246852,1.0161597031644956,0.0013619373388835,-0.002590540207454306
10y,2016-07-05,1.2202006243953167,1.0180663071585685,0.0018762838047361,-0.0007191169913549622
10y,2016-07-06,1.2206176537301117,1.0184142528212434,0.0003417711206314,-0.0003775916441433047
10y,2016-07-07,1.2224080548299692,1.0199080621175367,0.0014667992834497,0.0
