date,zz1000_hs300_return,hs300_zz1000_return,return,nav,cost,turnover,gross_exposure
2014-10-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-10-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-11-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-24,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-27,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-03,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-25,0.0098118260109491,0.0,0.00490591300547455,1.0049059130054745,0.0,0.0,0.5
2015-02-26,-0.018899535578391,0.0,-0.0094497677891955,0.9954097854775833,0.0,0.0,0.5
2015-02-27,0.0118563212426305,0.0,0.00592816062131525,1.0013107345699235,0.0,0.0,0.5
2015-03-02,0.0165273151532701,0.0,0.00826365757663505,1.0095852236082183,0.0,0.0,0.5
2015-03-03,0.0216255729225489,0.0,0.01081278646127445,1.020501653045552,0.0,0.0,0.5
2015-03-04,0.0110975791160428,0.0,0.0055487895580214,1.0261642019619146,0.0,0.0,0.5
2015-03-05,0.0152942976670971,0.0,0.00764714883354855,1.034011432341977,0.0,0.0,0.5
2015-03-06,-0.0100524532050261,0.0,-0.00502622660251305,1.028814256573437,0.0,0.0,0.5
2015-03-09,-0.0016804260772459,0.0,-0.00084021303862295,1.0279498334207429,0.0,0.0,0.5
2015-03-10,0.0204675649115779,0.0,0.01023378245578895,1.0384696483914353,0.0,0.0,0.5
2015-03-11,-0.0011690892914125,0.0,-0.00058454464570625,1.0378626165187397,0.0,0.0,0.5
2015-03-12,-0.0257045572488494,0.0,-0.0128522786244247,1.0245237169973664,0.0,0.0,0.5
2015-03-13,0.0109701008745435,0.0,0.00548505043727175,1.0301432812592781,0.0,0.0,0.5
2015-03-16,0.0086679223503742,0.0,0.0043339611751871,1.0346078822451357,0.0,0.0,0.5
2015-03-17,-0.0024776207472724,0.0,-0.0012388103736362,1.0333261992679648,0.0,0.0,0.5
2015-03-18,-0.0038492337094209,0.0,-0.00192461685471045,1.0313374422484398,0.0,0.0,0.5
2015-03-19,0.009715253265367,0.0,0.0048576266326835,1.0363472944751895,0.0,0.0,0.5
2015-03-20,-0.0013033092519861,0.0,-0.00065165462599305,1.0356719539666093,0.0,0.0,0.5
2015-03-23,0.008451251566016,0.0,0.004225625783008,1.040048316078029,0.0,0.0,0.5
2015-03-24,0.0108397631482082,0.0,0.0054198815741041,1.0456852547825182,0.0,0.0,0.5
2015-03-25,0.0233709576059852,0.0,0.0116854788029926,1.0579045876618811,0.0,0.0,0.5
2015-03-26,-0.0220772648067433,0.0,-0.01103863240337165,1.0462267678008412,0.0,0.0,0.5
2015-03-27,0.0059036373670287,0.0,0.00295181868351435,1.0493150395212285,0.0,0.0,0.5
2015-03-30,-0.027496253003118,0.0,-0.013748126501559,1.0348889236179022,0.0,0.0,0.5
2015-03-31,0.0162466255985171,0.0,0.00812331279925855,1.0432956500569384,0.0,0.0,0.5
