日期,开盘,最高,最低,收盘,成交量
2026-01-19,0.1033,0.1033,0.0923,0.0989,387552
2026-01-20,0.0933,0.1083,0.0933,0.1001,232141
2026-01-21,0.1001,0.1011,0.093,0.0992,236929
2026-01-22,0.0896,0.1018,0.0895,0.0997,74261
2026-01-23,0.0937,0.1044,0.0937,0.1026,256836
2026-01-26,0.1,0.1066,0.0943,0.1059,710404
2026-01-27,0.1061,0.11,0.0961,0.1016,768173
2026-01-28,0.097,0.0993,0.0945,0.0964,166946
2026-01-29,0.0932,0.0965,0.0811,0.0831,8690725
2026-01-30,0.0882,0.123,0.0849,0.0975,25291663
2026-02-02,0.1087,0.1668,0.0976,0.1595,11886734
2026-02-03,0.1382,0.1496,0.1145,0.1149,8954659
2026-02-04,0.1166,0.1207,0.094,0.0953,2958421
2026-02-05,0.0978,0.112,0.0975,0.1003,2873557
2026-02-06,0.158,0.158,0.0976,0.1069,3112659
2026-02-09,0.101,0.101,0.0826,0.083,8755671
2026-02-10,0.0821,0.0821,0.0765,0.0785,2486121
2026-02-11,0.0789,0.0793,0.076,0.0784,2642615
2026-02-12,0.077,0.0775,0.0746,0.0759,3695921
2026-02-13,0.0881,0.1051,0.0803,0.1026,8188717
2026-02-24,0.0907,0.0907,0.0646,0.0681,5067437
2026-02-25,0.0625,0.0625,0.0492,0.0538,8262059
2026-02-26,0.0539,0.0582,0.053,0.0559,3956889
2026-02-27,0.06,0.061,0.0542,0.0543,2571434
2026-03-02,0.0611,0.0758,0.0558,0.0594,5391374
2026-03-03,0.0562,0.0867,0.0561,0.0794,16418834
2026-03-04,0.09,0.1128,0.0818,0.1015,26916660
2026-03-05,0.09,0.0911,0.0753,0.085,13718564
2026-03-06,0.0897,0.0912,0.074,0.0783,2478005
2026-03-09,0.0851,0.1333,0.0851,0.0973,8600537
2026-03-10,0.083,0.083,0.0696,0.0722,3486397
2026-03-11,0.0702,0.0705,0.0646,0.0691,3307978
2026-03-12,0.0666,0.0888,0.0666,0.0773,6130194
2026-03-13,0.0808,0.0881,0.0687,0.084,15455921
2026-03-16,0.084,0.0952,0.0771,0.0787,6711197
2026-03-17,0.0758,0.0847,0.0624,0.084,9667418
2026-03-18,0.0789,0.095,0.0765,0.0795,11309972
2026-03-19,0.084,0.1115,0.084,0.1051,14074074
2026-03-20,0.0986,0.114,0.0874,0.114,21297014
2026-03-23,0.1235,0.2117,0.1235,0.1919,73298717
2026-03-24,0.1739,0.1928,0.1429,0.1463,64104909
2026-03-25,0.1424,0.1424,0.1049,0.1103,30467353
2026-03-26,0.1103,0.1413,0.1042,0.1349,12252718
2026-03-27,0.1463,0.1523,0.113,0.1187,15467213
