日期,开盘,最高,最低,收盘,成交量
2026-01-30,0.8484,0.8488,0.8281,0.8285,43540
2026-02-02,0.8358,0.9707,0.8358,0.9707,40726
2026-02-03,0.9425,0.9425,0.9056,0.9056,2101
2026-02-04,0.8724,0.8724,0.8724,0.8724,516
2026-02-05,0.885,0.9005,0.885,0.9005,4827
2026-02-06,0.9151,0.9151,0.867,0.867,3691
2026-02-09,0.84,0.84,0.8311,0.8311,2338
2026-02-12,0.831,0.831,0.8273,0.831,5302
2026-02-13,0.8693,0.8724,0.8693,0.8724,6890
2026-02-24,0.8421,0.8449,0.8421,0.8449,11756
2026-02-25,0.8025,0.8025,0.7934,0.7934,1551
2026-02-26,0.815,0.821,0.809,0.816,3634
2026-02-27,0.8262,0.84,0.8262,0.84,6872
2026-03-02,0.833,0.877,0.824,0.824,26826
2026-03-03,0.8736,0.8984,0.8326,0.8984,99016
2026-03-04,0.92,0.9622,0.92,0.944,12060
2026-03-05,0.9112,0.9112,0.8933,0.902,13216
2026-03-06,0.9361,0.9361,0.905,0.905,108959
2026-03-09,1.0043,1.0238,0.95,0.95,179408
2026-03-10,0.9072,0.9072,0.9072,0.9072,442
2026-03-11,0.878,0.878,0.878,0.878,120
2026-03-13,0.8934,0.918,0.8934,0.918,1244
2026-03-16,0.9084,0.9084,0.9084,0.9084,219
2026-03-17,0.928,0.9336,0.928,0.9336,31
2026-03-18,0.9325,0.9578,0.9268,0.9268,142281
2026-03-19,0.96,1.0021,0.9498,1.0021,103887
2026-03-20,0.9799,0.9998,0.9799,0.9998,2057
2026-03-23,1.1,1.1832,1.096,1.1778,15996
2026-03-24,1.15,1.16,1.107,1.107,22854
2026-03-25,1.05,1.05,1.0364,1.0418,5704
2026-03-26,1.0383,1.0963,1.0348,1.0963,6675
2026-03-27,1.0763,1.0763,1.05,1.05,10287
