日期,开盘,最高,最低,收盘,成交量
2026-01-19,0.175,0.1767,0.1642,0.1698,117492
2026-01-20,0.1665,0.1851,0.1648,0.1744,784090
2026-01-21,0.17,0.17,0.1611,0.1677,337033
2026-01-22,0.1572,0.1737,0.1572,0.169,1032919
2026-01-23,0.164,0.1799,0.1621,0.1768,318364
2026-01-26,0.1711,0.1808,0.1598,0.1774,918468
2026-01-27,0.1812,0.1884,0.1671,0.1728,510250
2026-01-28,0.1656,0.1723,0.1585,0.1585,80897
2026-01-29,0.1628,0.1691,0.1441,0.1494,2485551
2026-01-30,0.1527,0.205,0.1518,0.1591,6989144
2026-02-02,0.1767,0.262,0.1674,0.2489,9744978
2026-02-03,0.2211,0.238,0.1901,0.1929,13205921
2026-02-04,0.1989,0.1998,0.1626,0.1626,2269601
2026-02-05,0.1741,0.1917,0.1681,0.1727,6060422
2026-02-06,0.202,0.2104,0.1684,0.1729,6017644
2026-02-09,0.1636,0.1636,0.1445,0.1459,5323876
2026-02-10,0.1402,0.1432,0.1359,0.1402,2081739
2026-02-11,0.1396,0.1435,0.1381,0.1419,726184
2026-02-12,0.1391,0.1415,0.1365,0.1391,1197346
2026-02-13,0.1371,0.1821,0.137,0.1797,4383586
2026-02-24,0.1594,0.1662,0.125,0.1328,7127143
2026-02-25,0.1241,0.1241,0.0983,0.1099,8430290
2026-02-26,0.1079,0.1204,0.1069,0.113,2716213
2026-02-27,0.1205,0.1257,0.112,0.113,3286375
2026-03-02,0.13,0.145,0.1136,0.1184,4202387
2026-03-03,0.1138,0.1605,0.1138,0.1514,6414909
2026-03-04,0.1559,0.2005,0.1541,0.1796,35409127
2026-03-05,0.1512,0.1707,0.1436,0.159,12598531
2026-03-06,0.1681,0.1714,0.1394,0.1455,5565711
2026-03-09,0.1572,0.2373,0.1572,0.1772,31259152
2026-03-10,0.1439,0.1469,0.131,0.1353,6204619
2026-03-11,0.1305,0.1335,0.1227,0.1312,5577357
2026-03-12,0.1319,0.1625,0.1312,0.1433,14389286
2026-03-13,0.1495,0.1608,0.1298,0.1531,12157091
2026-03-16,0.1528,0.1752,0.1425,0.1456,14000311
2026-03-17,0.1422,0.1581,0.1193,0.1576,17874528
2026-03-18,0.153,0.1757,0.1447,0.1492,25863668
2026-03-19,0.17,0.2018,0.1609,0.19,29032604
2026-03-20,0.1781,0.2012,0.1602,0.1917,37017154
2026-03-23,0.2185,0.3335,0.2185,0.31,49096136
2026-03-24,0.2978,0.318,0.2573,0.2579,9388186
2026-03-25,0.251,0.251,0.1979,0.2069,10589276
2026-03-26,0.2069,0.2508,0.199,0.2443,4688243
2026-03-27,0.2655,0.2662,0.209,0.2293,4927512
