日期,开盘,最高,最低,收盘,成交量
2026-01-29,0.1792,0.1875,0.1697,0.1871,425964
2026-01-30,0.1823,0.1823,0.1555,0.1689,298194
2026-02-02,0.1521,0.1634,0.1296,0.1317,424165
2026-02-03,0.1396,0.1416,0.1245,0.134,518665
2026-02-04,0.1276,0.1299,0.1222,0.1289,118780
2026-02-05,0.1261,0.1261,0.1163,0.1189,205699
2026-02-06,0.1105,0.1241,0.105,0.114,284143
2026-02-09,0.1287,0.129,0.1186,0.128,133074
2026-02-10,0.1278,0.1292,0.1229,0.1242,36499
2026-02-11,0.1204,0.1211,0.1151,0.1151,27482
2026-02-12,0.117,0.1213,0.115,0.1178,47338
2026-02-13,0.1104,0.1182,0.1005,0.1021,281674
2026-02-24,0.104,0.1075,0.0855,0.0855,447441
2026-02-25,0.0888,0.1045,0.0888,0.0952,676932
2026-02-26,0.0926,0.0951,0.0893,0.0932,185713
2026-02-27,0.0891,0.0962,0.089,0.0944,391807
2026-03-02,0.0906,0.0933,0.0821,0.0901,790464
2026-03-03,0.0919,0.0919,0.0798,0.082,1771831
2026-03-04,0.0772,0.0784,0.0709,0.071,806202
2026-03-05,0.0752,0.0752,0.0672,0.0691,1321462
2026-03-06,0.071,0.071,0.0654,0.0676,376461
2026-03-09,0.0639,0.0647,0.053,0.0617,3138405
2026-03-10,0.0673,0.0674,0.063,0.0671,307149
2026-03-11,0.068,0.0703,0.0659,0.0682,181221
2026-03-12,0.0681,0.0697,0.0652,0.0676,628520
2026-03-13,0.0645,0.0723,0.0645,0.0686,1332630
2026-03-16,0.0683,0.0697,0.0618,0.068,1519806
2026-03-17,0.0661,0.075,0.0625,0.0632,1018714
2026-03-18,0.0593,0.0648,0.0574,0.0603,676058
2026-03-19,0.0574,0.0596,0.0525,0.053,855781
2026-03-20,0.0556,0.0605,0.0535,0.0545,581916
2026-03-23,0.0487,0.0538,0.042,0.0458,1942204
2026-03-24,0.0471,0.0485,0.0427,0.0445,518676
2026-03-25,0.0468,0.0479,0.0433,0.045,927138
2026-03-26,0.0459,0.0459,0.0353,0.0396,138600
2026-03-27,0.0395,0.0425,0.0384,0.0419,262350
