日期,开盘,最高,最低,收盘,成交量
2026-02-26,0.0828,0.099,0.0715,0.0906,31406604
2026-02-27,0.0931,0.1049,0.0865,0.088,19723957
2026-03-02,0.1013,0.1246,0.0856,0.0895,82212605
2026-03-03,0.0872,0.1405,0.0846,0.13,131384106
2026-03-04,0.1477,0.1918,0.1314,0.167,100863445
2026-03-05,0.1482,0.1502,0.1179,0.1338,32683699
2026-03-06,0.1361,0.1508,0.1088,0.1204,39945526
2026-03-09,0.14,0.2391,0.1398,0.1573,79682768
2026-03-10,0.1457,0.1457,0.102,0.1089,43542398
2026-03-11,0.1076,0.108,0.092,0.0986,57408050
2026-03-12,0.0988,0.1334,0.0979,0.1149,74586663
2026-03-13,0.1257,0.1309,0.0968,0.1205,96121441
2026-03-16,0.1239,0.1499,0.1082,0.1114,103757379
2026-03-17,0.1108,0.1281,0.0795,0.1277,316510704
2026-03-18,0.1276,0.151,0.11,0.1161,202981506
2026-03-19,0.1399,0.1778,0.1306,0.1658,245040757
2026-03-20,0.1608,0.1818,0.1295,0.1818,246801441
2026-03-23,0.2034,0.3383,0.2034,0.3099,228770650
2026-03-24,0.289,0.3256,0.2518,0.255,96061544
2026-03-25,0.24,0.24,0.1846,0.1934,152207877
2026-03-26,0.1931,0.2538,0.1867,0.246,92972222
2026-03-27,0.2617,0.28,0.1958,0.2181,82199780
