日期,开盘,最高,最低,收盘,成交量
2026-02-03,0.5126,0.5558,0.5108,0.5558,3731
2026-02-04,0.5341,0.5506,0.5341,0.5506,1312
2026-02-05,0.5294,0.5294,0.5294,0.5294,1267
2026-02-06,0.495,0.54,0.495,0.54,6753
2026-02-09,0.5793,0.5901,0.5793,0.5901,1810
2026-02-10,0.5933,0.5933,0.5933,0.5933,44
2026-02-12,0.575,0.5831,0.575,0.5831,2968
2026-02-13,0.5352,0.5352,0.5232,0.5232,2243
2026-02-24,0.5336,0.5515,0.5311,0.533,14751
2026-02-25,0.5688,0.6007,0.5688,0.5692,4482
2026-02-26,0.5378,0.5378,0.5378,0.5378,472
2026-02-27,0.5378,0.5378,0.5315,0.533,2187
2026-03-02,0.521,0.5475,0.521,0.5475,10770
2026-03-03,0.5328,0.5395,0.484,0.4874,165881
2026-03-04,0.4693,0.483,0.432,0.4461,492428
2026-03-05,0.4783,0.488,0.448,0.4615,113893
2026-03-06,0.4522,0.48,0.451,0.4796,42739
2026-03-09,0.3824,0.4432,0.3762,0.4418,406613
2026-03-10,0.4849,0.4993,0.48,0.4993,46360
2026-03-11,0.5138,0.5138,0.504,0.511,3759
2026-03-12,0.506,0.506,0.4709,0.4915,310491
2026-03-13,0.5,0.5007,0.4733,0.4733,142940
2026-03-16,0.471,0.48,0.445,0.4748,1366070
2026-03-17,0.5088,0.5247,0.4616,0.4616,23559
2026-03-18,0.4515,0.475,0.4359,0.475,119629
2026-03-19,0.4349,0.4468,0.3999,0.4059,358607
2026-03-20,0.4307,0.4444,0.4189,0.419,254592
2026-03-23,0.3724,0.3724,0.2859,0.3054,3053672
2026-03-24,0.3054,0.32,0.286,0.3135,4707020
2026-03-25,0.324,0.3699,0.324,0.361,363315
2026-03-26,0.3608,0.365,0.3157,0.3234,204397
2026-03-27,0.305,0.3552,0.3,0.3458,785002
