日期,开盘,最高,最低,收盘,成交量
2025-10-23,0.73,0.73,0.696,0.696,16482
2025-10-24,0.6535,0.6769,0.6525,0.655,25801
2025-10-27,0.64,0.64,0.6122,0.6122,3417
2025-10-28,0.6048,0.6072,0.5931,0.5931,17676
2025-10-29,0.5925,0.5925,0.587,0.587,1178
2025-10-30,0.5745,0.595,0.573,0.5782,4133
2025-10-31,0.6224,0.6359,0.6224,0.6359,9129
2025-11-04,0.638,0.6522,0.638,0.6522,82260
2025-11-05,0.7007,0.7007,0.6945,0.6945,17800
2025-11-06,0.6389,0.6404,0.6093,0.6132,6713
2025-11-07,0.6265,0.6265,0.3413,0.6135,51695
2025-11-10,0.6054,0.6333,0.6021,0.6031,56750
2025-11-11,0.6079,0.6227,0.6079,0.6227,11476
2025-11-12,0.657,0.6574,0.6389,0.6405,16502
2025-11-13,0.6143,0.6143,0.6013,0.6041,7839
2025-11-14,0.6034,0.6234,0.6034,0.6234,3685
2025-11-18,0.6832,0.7019,0.6685,0.6986,72781
2025-11-19,0.6742,0.6867,0.6595,0.675,126430
2025-11-20,0.6536,0.6751,0.6536,0.6724,140924
2025-11-21,0.7277,0.7793,0.7263,0.7793,416150
2025-11-24,0.7721,0.7882,0.7721,0.7771,122190
2025-11-25,0.7503,0.7503,0.7229,0.7234,50212
2025-11-26,0.7232,0.7232,0.6982,0.7155,112656
2025-11-27,0.7004,0.7004,0.6766,0.6975,177056
2025-11-28,0.7189,0.7251,0.7024,0.7104,119987
2025-12-01,0.6808,0.6875,0.6695,0.6695,110791
2025-12-02,0.6755,0.6925,0.6738,0.6895,198540
2025-12-03,0.676,0.7004,0.676,0.7003,103080
2025-12-04,0.7025,0.7025,0.6924,0.6962,37934
2025-12-05,0.6886,0.6886,0.6827,0.6835,58046
2025-12-08,0.6349,0.6349,0.6073,0.622,82474
2025-12-09,0.6269,0.6351,0.6247,0.6351,111671
2025-12-10,0.6521,0.6806,0.6521,0.6806,7805
2025-12-15,0.6665,0.6665,0.6665,0.6665,990
2025-12-17,0.662,0.662,0.6533,0.6533,1580
2025-12-18,0.6627,0.6788,0.6617,0.6699,169217
2025-12-19,0.6626,0.6626,0.6404,0.6404,22305
2025-12-22,0.6257,0.6257,0.6257,0.6257,212
2025-12-23,0.6203,0.6224,0.6042,0.6224,34013
2025-12-24,0.6285,0.6324,0.6095,0.6095,10020
2025-12-25,0.6041,0.6123,0.59,0.59,1142
2025-12-26,0.5656,0.5682,0.5656,0.5682,9228
2025-12-29,0.585,0.5885,0.58,0.5885,710
2026-01-05,0.575,0.575,0.53,0.53,3571
2026-01-06,0.49,0.49,0.4705,0.4762,4460
2026-01-07,0.4788,0.4833,0.4759,0.48,60279
2026-01-08,0.4983,0.525,0.4983,0.5176,114327
2026-01-09,0.5225,0.5236,0.5015,0.5037,84894
2026-01-12,0.4559,0.5253,0.4559,0.5112,736899
2026-01-13,0.5377,0.5377,0.4921,0.5197,498500
2026-01-14,0.4826,0.5399,0.4826,0.5255,19628
2026-01-15,0.5077,0.5159,0.5,0.5159,102350
2026-01-16,0.4814,0.5228,0.48,0.5228,30123
2026-01-19,0.4975,0.4975,0.4723,0.4946,16543
2026-01-20,0.5181,0.5181,0.51,0.51,26110
2026-01-21,0.48,0.48,0.4696,0.4696,4326
2026-01-22,0.4671,0.4862,0.4644,0.4862,9046
2026-01-23,0.4985,0.502,0.4918,0.502,7843
2026-01-26,0.4825,0.499,0.4677,0.4922,245668
2026-01-27,0.4987,0.5014,0.476,0.4824,84123
2026-01-28,0.4821,0.4832,0.4775,0.4832,3001
2026-01-29,0.4798,0.4855,0.4459,0.4525,1404617
2026-01-30,0.4626,0.5281,0.4626,0.4826,2817877
2026-02-02,0.4968,0.6199,0.4922,0.6191,3174940
2026-02-03,0.5557,0.595,0.5251,0.5275,1594290
2026-02-04,0.5413,0.5413,0.4876,0.4883,513252
2026-02-05,0.5207,0.5395,0.5014,0.5093,388229
2026-02-06,0.5409,0.5409,0.4943,0.5166,430290
2026-02-09,0.4807,0.4807,0.46,0.46,149822
2026-02-10,0.4574,0.4574,0.4493,0.4558,116755
2026-02-11,0.4633,0.4633,0.4633,0.4633,18070
2026-02-12,0.4642,0.4642,0.4571,0.4602,56080
2026-02-13,0.4837,0.5232,0.4837,0.5232,94420
2026-02-25,0.4394,0.4412,0.4149,0.4194,155184
2026-02-26,0.4438,0.4438,0.4438,0.4438,28610
2026-02-27,0.4655,0.4655,0.4655,0.4655,12070
2026-03-02,0.4991,0.4991,0.4666,0.4666,222979
2026-03-03,0.4849,0.5121,0.4849,0.5107,66380
2026-03-04,0.5249,0.5656,0.5249,0.564,871986
2026-03-05,0.5294,0.5393,0.5118,0.5393,223250
2026-03-09,0.5427,0.6306,0.5427,0.5568,907109
2026-03-11,0.479,0.4836,0.4788,0.4834,9052
2026-03-12,0.5301,0.5301,0.5301,0.5301,19335
2026-03-13,0.51,0.51,0.5093,0.5093,12216
2026-03-16,0.5427,0.5427,0.5427,0.5427,18297
2026-03-17,0.4649,0.528,0.4649,0.5219,338796
2026-03-18,0.5342,0.5518,0.5149,0.5149,271675
2026-03-19,0.5708,0.6015,0.5556,0.5869,742277
2026-03-20,0.5659,0.5771,0.5407,0.5765,620941
2026-03-23,0.6585,0.6883,0.6585,0.6883,304330
2026-03-24,0.7179,0.7272,0.6975,0.7004,104704
2026-03-25,0.6373,0.6373,0.6373,0.6373,322058
2026-03-27,0.6655,0.6655,0.6655,0.6655,6704
