日期,开盘,最高,最低,收盘,成交量
2026-01-29,0.525,0.5671,0.5231,0.5636,120618
2026-01-30,0.55,0.5575,0.49,0.5213,96409
2026-02-02,0.51,0.523,0.4228,0.4298,365498
2026-02-03,0.45,0.454,0.4264,0.454,73483
2026-02-04,0.445,0.465,0.4443,0.465,19222
2026-02-05,0.461,0.461,0.435,0.4563,178874
2026-02-06,0.44,0.455,0.415,0.435,71331
2026-02-09,0.4572,0.4832,0.4572,0.4832,79011
2026-02-10,0.476,0.4814,0.476,0.4777,13655
2026-02-11,0.47,0.47,0.4621,0.4621,470
2026-02-12,0.468,0.473,0.463,0.468,10164
2026-02-13,0.46,0.46,0.415,0.415,49384
2026-02-24,0.418,0.4395,0.418,0.424,67413
2026-02-25,0.423,0.4649,0.423,0.4525,39351
2026-02-26,0.447,0.4472,0.4281,0.4341,13146
2026-02-27,0.43,0.435,0.42,0.435,12864
2026-03-02,0.4137,0.4337,0.3946,0.4236,219827
2026-03-03,0.415,0.425,0.3858,0.3858,154245
2026-03-04,0.37,0.3745,0.3447,0.3524,700336
2026-03-05,0.3621,0.3745,0.3479,0.3481,116959
2026-03-06,0.353,0.375,0.343,0.37,6872
2026-03-09,0.345,0.345,0.2931,0.3242,149444
2026-03-10,0.335,0.362,0.335,0.362,15534
2026-03-11,0.37,0.3879,0.37,0.38,18964
2026-03-12,0.384,0.384,0.36,0.3702,118705
2026-03-13,0.358,0.39,0.358,0.365,49789
2026-03-16,0.3576,0.367,0.3398,0.3643,278362
2026-03-17,0.3728,0.3991,0.3468,0.3468,145085
2026-03-18,0.3519,0.3519,0.335,0.35,31202
2026-03-19,0.3355,0.3355,0.303,0.303,104807
2026-03-20,0.3149,0.3238,0.3046,0.3046,388349
2026-03-23,0.2813,0.2813,0.2195,0.2264,406673
2026-03-24,0.236,0.2466,0.218,0.2432,224042
2026-03-25,0.2513,0.269,0.2513,0.2655,198024
2026-03-26,0.2701,0.2701,0.2351,0.2421,78472
2026-03-27,0.2321,0.265,0.2001,0.2548,104271
