日期,开盘,最高,最低,收盘,成交量
2025-10-23,0.2398,0.2596,0.2398,0.2571,187005
2025-10-24,0.2852,0.2869,0.2728,0.2834,168464
2025-10-27,0.3054,0.3119,0.2929,0.302,1676655
2025-10-28,0.3037,0.3185,0.2902,0.2972,476059
2025-10-29,0.3058,0.324,0.2999,0.3214,458756
2025-10-30,0.3251,0.3272,0.3016,0.3016,561374
2025-10-31,0.3028,0.3028,0.28,0.28,744617
2025-11-03,0.28,0.3025,0.2569,0.2801,204620
2025-11-04,0.2766,0.2802,0.246,0.2586,399708
2025-11-05,0.2383,0.2624,0.2378,0.2624,284815
2025-11-06,0.2727,0.291,0.2694,0.2842,257183
2025-11-07,0.2768,0.2835,0.2745,0.2803,128783
2025-11-10,0.2848,0.2848,0.264,0.2843,262390
2025-11-11,0.2928,0.2928,0.2619,0.2656,1171627
2025-11-12,0.2573,0.2681,0.2504,0.2674,443820
2025-11-13,0.2644,0.2824,0.2644,0.2824,215361
2025-11-14,0.2677,0.2715,0.2464,0.2464,355783
2025-11-17,0.244,0.2452,0.2234,0.2306,1230268
2025-11-18,0.2279,0.2304,0.2109,0.2165,1436323
2025-11-19,0.2211,0.2265,0.2128,0.2154,261555
2025-11-20,0.2244,0.2423,0.1996,0.1999,433578
2025-11-21,0.1877,0.1892,0.1633,0.1633,908735
2025-11-24,0.1652,0.1665,0.1541,0.1569,1394016
2025-11-25,0.1625,0.1727,0.1577,0.1577,1048712
2025-11-26,0.1598,0.168,0.1575,0.1607,641624
2025-11-27,0.161,0.178,0.1575,0.1575,626425
2025-11-28,0.1617,0.1658,0.155,0.1642,511235
2025-12-01,0.165,0.1769,0.165,0.1769,256970
2025-12-02,0.177,0.177,0.165,0.167,422092
2025-12-03,0.17,0.175,0.1586,0.1629,610110
2025-12-04,0.165,0.1725,0.1564,0.1654,217902
2025-12-05,0.1632,0.1889,0.1609,0.1826,552528
2025-12-08,0.1973,0.2046,0.192,0.1994,594474
2025-12-09,0.1957,0.1978,0.181,0.1848,274530
2025-12-10,0.18,0.1825,0.165,0.1807,2028047
2025-12-11,0.1842,0.1882,0.1653,0.1653,1004624
2025-12-12,0.1724,0.18,0.1637,0.175,757146
2025-12-15,0.1725,0.1825,0.165,0.1667,3329803
2025-12-16,0.1625,0.165,0.145,0.1502,1517096
