日期,开盘,最高,最低,收盘,成交量
2026-01-19,0.2182,0.2364,0.2151,0.2151,705362
2026-01-20,0.2223,0.2223,0.1919,0.2059,323219
2026-01-21,0.2118,0.2258,0.1223,0.211,601428
2026-01-22,0.2288,0.2288,0.2045,0.2078,143399
2026-01-23,0.2179,0.2266,0.2112,0.2227,362619
2026-01-26,0.2285,0.257,0.2285,0.2362,805784
2026-01-27,0.2352,0.2395,0.2144,0.2274,334661
2026-01-28,0.2309,0.2426,0.2284,0.235,429013
2026-01-29,0.2299,0.2676,0.2291,0.257,10355564
2026-01-30,0.2492,0.2492,0.2129,0.2327,6333779
2026-02-02,0.2305,0.2364,0.1726,0.1787,14869925
2026-02-03,0.1941,0.2147,0.1693,0.193,6224376
2026-02-04,0.1869,0.1965,0.1771,0.195,2706213
2026-02-05,0.191,0.1921,0.168,0.1813,4042045
2026-02-06,0.1652,0.1859,0.155,0.1691,7282323
2026-02-09,0.1863,0.1956,0.1829,0.1935,7533339
2026-02-10,0.1931,0.1951,0.186,0.1886,2816642
2026-02-11,0.1849,0.1865,0.179,0.182,1943284
2026-02-12,0.1865,0.1865,0.1778,0.1829,675413
2026-02-13,0.176,0.1764,0.1481,0.1481,18639768
2026-02-24,0.1667,0.1667,0.1375,0.1378,6052647
2026-02-25,0.1411,0.17,0.1408,0.1528,7263141
2026-02-26,0.158,0.158,0.1379,0.1454,3863176
2026-02-27,0.1373,0.1466,0.1336,0.144,2264232
2026-03-02,0.13,0.1486,0.1223,0.14,7288683
2026-03-03,0.145,0.1463,0.118,0.1195,12863402
2026-03-04,0.1151,0.1188,0.1001,0.1022,24907279
2026-03-05,0.1099,0.1129,0.0952,0.1011,9888975
2026-03-06,0.0945,0.1101,0.0945,0.1039,9644729
2026-03-09,0.0945,0.0945,0.0735,0.0868,26688615
2026-03-10,0.1,0.1048,0.0905,0.1035,15152799
2026-03-11,0.1066,0.1163,0.1031,0.1121,9892882
2026-03-12,0.1099,0.1126,0.1002,0.1076,14131806
2026-03-13,0.1056,0.1182,0.1032,0.1072,10740333
2026-03-16,0.0999,0.1072,0.0932,0.1063,31407834
2026-03-17,0.1063,0.1224,0.0943,0.0947,28470600
2026-03-18,0.0975,0.0982,0.0888,0.0951,37968866
2026-03-19,0.0872,0.0887,0.0751,0.0791,55039281
2026-03-20,0.081,0.0887,0.072,0.072,31425931
2026-03-23,0.0681,0.0721,0.0536,0.0578,57810757
2026-03-24,0.0622,0.0635,0.0456,0.051,22531580
2026-03-25,0.0544,0.0568,0.0525,0.0549,45054721
2026-03-26,0.0562,0.0562,0.0453,0.0462,29223759
2026-03-27,0.0419,0.054,0.0419,0.049,20142917
