日期,开盘,最高,最低,收盘,成交量
2026-01-19,0.1805,0.1949,0.1764,0.1789,1787347
2026-01-20,0.1811,0.1811,0.1575,0.1673,638005
2026-01-21,0.1693,0.187,0.1683,0.1727,757210
2026-01-22,0.18,0.187,0.1683,0.1735,458961
2026-01-23,0.18,0.189,0.1742,0.1844,359580
2026-01-26,0.1951,0.2156,0.1911,0.1985,702695
2026-01-27,0.1958,0.1999,0.1776,0.1905,283460
2026-01-28,0.191,0.2024,0.1886,0.1886,210236
2026-01-29,0.1958,0.2252,0.1925,0.2155,3179443
2026-01-30,0.2081,0.2081,0.1779,0.188,4895255
2026-02-02,0.177,0.1959,0.1418,0.1484,6125747
2026-02-03,0.1607,0.17,0.1398,0.1568,5992354
2026-02-04,0.1552,0.1597,0.1455,0.1587,1544630
2026-02-05,0.1541,0.1541,0.1358,0.1451,4383302
2026-02-06,0.1361,0.1504,0.1231,0.1231,4519900
2026-02-09,0.147,0.1569,0.1469,0.1558,3599142
2026-02-10,0.1551,0.1561,0.1474,0.1505,1271770
2026-02-11,0.1493,0.1493,0.1418,0.1435,694197
2026-02-12,0.1489,0.1489,0.1414,0.1451,629708
2026-02-13,0.1345,0.1403,0.1171,0.1195,4732325
2026-02-24,0.1251,0.1251,0.1022,0.1023,4655896
2026-02-25,0.1069,0.1295,0.1055,0.1164,5124511
2026-02-26,0.1162,0.1162,0.1044,0.1103,1949820
2026-02-27,0.1035,0.1113,0.1014,0.1095,2609766
2026-03-02,0.0979,0.1132,0.0921,0.1067,7931244
2026-03-03,0.1106,0.1106,0.0893,0.0925,11856427
2026-03-04,0.0822,0.0875,0.0742,0.0753,14411725
2026-03-05,0.0849,0.0849,0.0693,0.0737,7721948
2026-03-06,0.0684,0.0802,0.0684,0.0748,4796303
2026-03-09,0.0684,0.0851,0.0581,0.0636,11538290
2026-03-10,0.0702,0.0755,0.0697,0.0751,8061391
2026-03-11,0.0774,0.0844,0.0745,0.0813,4807548
2026-03-12,0.0803,0.0813,0.0736,0.0774,7933261
2026-03-13,0.0702,0.0865,0.0702,0.0758,17071405
2026-03-16,0.0758,0.0777,0.0676,0.0772,16987894
2026-03-17,0.0768,0.0887,0.0681,0.0685,12313819
2026-03-18,0.0685,0.0707,0.0645,0.0684,10578613
2026-03-19,0.0626,0.0646,0.0548,0.0572,17847398
2026-03-20,0.0596,0.0637,0.055,0.055,18737306
2026-03-23,0.0475,0.054,0.0402,0.0425,37789900
2026-03-24,0.0497,0.0497,0.0328,0.0358,13019323
2026-03-25,0.0393,0.0405,0.0368,0.0382,26223788
2026-03-26,0.039,0.039,0.0312,0.033,12813148
2026-03-27,0.0285,0.0374,0.027,0.0332,17776376
