window,strategy,start,end,days,years,total_return,annual,vol,sharpe,max_dd,calmar,monthly_win_rate
full,baseline,2009-11-24,2026-04-17,5439,16.39425051334702,5.829146462202862,0.12433011656023996,0.12320392171012984,0.7843480591960152,-0.26989286148833125,0.4606647092280184,0.6262626262626263
full,cc_delta_0.10,2009-11-24,2026-04-17,5439,16.39425051334702,4.516332143326162,0.10978396485459774,0.125652638142107,0.6927930623559161,-0.26038636015690786,0.4216194918521935,0.6363636363636364
full,cc_delta_0.15,2009-11-24,2026-04-17,5439,16.39425051334702,4.189431485925418,0.1056563310930283,0.1277355789587695,0.6614393440922777,-0.2544512276304982,0.4152321530413574,0.6363636363636364
full,cc_delta_0.20,2009-11-24,2026-04-17,5439,16.39425051334702,3.723252269257273,0.09932646411722068,0.13069060444263816,0.6160861190492768,-0.25286626362162623,0.39280235605429276,0.6464646464646465
10Y,baseline,2016-04-17,2026-04-17,3651,9.998631074606434,2.986872155592144,0.14834254229814636,0.12022743133699246,0.8543813616894519,-0.26989286148833147,0.5496349235771091,0.6611570247933884
10Y,cc_delta_0.10,2016-04-17,2026-04-17,3651,9.998631074606434,2.0854565111034957,0.11927973893216182,0.1232463832409961,0.6929201592617015,-0.2603863601569073,0.4580875083483042,0.6776859504132231
10Y,cc_delta_0.15,2016-04-17,2026-04-17,3651,9.998631074606434,1.871046365217143,0.11124620721773981,0.1255398115995129,0.6429814346298579,-0.25445122763049743,0.4372005128593308,0.6859504132231405
10Y,cc_delta_0.20,2016-04-17,2026-04-17,3651,9.998631074606434,1.6300932090188471,0.10154657345104057,0.12864724851510495,0.5835529324168115,-0.252866263621627,0.40158213277113314,0.6859504132231405
5Y,baseline,2021-04-17,2026-04-17,1826,4.999315537303217,0.8732234809777555,0.13377110043346008,0.13041694587467806,0.7295713323228712,-0.2698928614883319,0.49564519674872287,0.6229508196721312
5Y,cc_delta_0.10,2021-04-17,2026-04-17,1826,4.999315537303217,0.5560970927699884,0.09247773996396025,0.1324712670962363,0.5270485143026377,-0.26038636015690697,0.3551558534334664,0.6229508196721312
5Y,cc_delta_0.15,2021-04-17,2026-04-17,1826,4.999315537303217,0.47520511050195213,0.08087408715820943,0.134647968673737,0.4659933806883149,-0.25445122763049866,0.3178372842266288,0.6065573770491803
5Y,cc_delta_0.20,2021-04-17,2026-04-17,1826,4.999315537303217,0.3920712166668925,0.0684057693732889,0.1379011139700574,0.4002149905737227,-0.25286626362162723,0.2705215333732573,0.6229508196721312
3Y,baseline,2023-04-17,2026-04-17,1097,3.0006844626967832,0.9064850603368488,0.23990904510094135,0.12261940974215821,1.2705668100736838,-0.15445529819063586,1.553258761022458,0.6756756756756757
3Y,cc_delta_0.10,2023-04-17,2026-04-17,1097,3.0006844626967832,0.6318996274548374,0.17728508633635132,0.1264453611302894,0.9532655346467946,-0.16039062959562633,1.1053331904944756,0.6756756756756757
3Y,cc_delta_0.15,2023-04-17,2026-04-17,1097,3.0006844626967832,0.5748715914918829,0.16341158916376752,0.12900592065713162,0.8735574383508512,-0.1592000641931185,1.026454291912472,0.6756756756756757
3Y,cc_delta_0.20,2023-04-17,2026-04-17,1097,3.0006844626967832,0.5178287672442379,0.14919522853516187,0.13235570781313932,0.7907629043870003,-0.1574888036441714,0.9473386366706554,0.6756756756756757
1Y,baseline,2025-04-17,2026-04-17,366,0.999315537303217,0.3931982347521197,0.39351470035408265,0.11973607136976361,1.9675214394932334,-0.12068453439913229,3.2606887229861323,0.8461538461538461
1Y,cc_delta_0.10,2025-04-17,2026-04-17,366,0.999315537303217,0.3246222110285111,0.3248772954898642,0.12238156862150412,1.6434329865742856,-0.14197994300587824,2.288191476992026,0.9230769230769231
1Y,cc_delta_0.15,2025-04-17,2026-04-17,366,0.999315537303217,0.3163754616555312,0.31662332611688426,0.12472065338202887,1.5804540924324806,-0.1447944192679793,2.1867094582622784,0.9230769230769231
1Y,cc_delta_0.20,2025-04-17,2026-04-17,366,0.999315537303217,0.30604741953439296,0.3062862918106619,0.12781358964055495,1.5028369867313836,-0.1483833782082592,2.064154998417563,0.9230769230769231
