date,baseline,raw_subc,actual_scale,cc_delta_0.10_overlay,cc_delta_0.10,cc_delta_0.15_overlay,cc_delta_0.15,cc_delta_0.20_overlay,cc_delta_0.20
2009-11-24,-0.000412268022537097,-0.000412268022537097,1.0,0.0,-0.000412268022537097,0.0,-0.000412268022537097,0.0,-0.000412268022537097
2009-11-25,0.008095294305164986,0.008095294305164986,1.0,0.0,0.008095294305164986,0.0,0.008095294305164986,0.0,0.008095294305164986
2009-11-27,-0.014129805884886215,-0.014129805884886215,1.0,0.0,-0.014129805884886215,0.0,-0.014129805884886215,0.0,-0.014129805884886215
2009-11-30,0.002766504227767375,0.002766504227767375,1.0,0.0,0.002766504227767375,0.0,0.002766504227767375,0.0,0.002766504227767375
2009-12-01,0.012787444778314049,0.012787444778314049,1.0,0.0,0.012787444778314049,0.0,0.012787444778314049,0.0,0.012787444778314049
2009-12-02,0.003288631567774457,0.003288631567774457,1.0,0.0,0.003288631567774457,0.0,0.003288631567774457,0.0,0.003288631567774457
2009-12-03,-0.004821837376606884,-0.004821837376606884,1.0,0.0,-0.004821837376606884,0.0,-0.004821837376606884,0.0,-0.004821837376606884
2009-12-04,-0.005621261165193137,-0.005621261165193137,1.0,0.0,-0.005621261165193137,0.0,-0.005621261165193137,0.0,-0.005621261165193137
2009-12-07,-0.0023277397274727354,-0.0023277397274727354,1.0,0.0,-0.0023277397274727354,0.0,-0.0023277397274727354,0.0,-0.0023277397274727354
2009-12-08,-0.009963129834219283,-0.009963129834219283,1.0,0.0,-0.009963129834219283,0.0,-0.009963129834219283,0.0,-0.009963129834219283
2009-12-09,0.0022096745846788696,0.0022096745846788696,1.0,0.0,0.0022096745846788696,0.0,0.0022096745846788696,0.0,0.0022096745846788696
2009-12-10,0.0013764860096565923,0.0013764860096565923,1.0,0.0,0.0013764860096565923,0.0,0.0013764860096565923,0.0,0.0013764860096565923
2009-12-11,-0.0010015183045508462,-0.0010015183045508462,1.0,0.0,-0.0010015183045508462,0.0,-0.0010015183045508462,0.0,-0.0010015183045508462
2009-12-14,0.006227862166552753,0.006227862166552753,1.0,0.0,0.006227862166552753,0.0,0.006227862166552753,0.0,0.006227862166552753
2009-12-15,-0.004721611730047848,-0.004721611730047848,1.0,0.0,-0.004721611730047848,0.0,-0.004721611730047848,0.0,-0.004721611730047848
2009-12-16,0.00682488698656556,0.005236538557049173,1.3627145540946002,0.0,0.00682488698656556,0.0,0.00682488698656556,0.0,0.00682488698656556
2009-12-17,-0.02171561447518689,-0.01592499395804801,1.3627145540946002,0.0,-0.02171561447518689,0.0,-0.02171561447518689,0.0,-0.02171561447518689
2009-12-18,0.008342135971962558,0.006963175889943715,1.212213760303274,0.0,0.008342135971962558,0.0,0.008342135971962558,0.0,0.008342135971962558
2009-12-21,0.0014343459521974557,0.001190192011020331,1.212213760303274,0.0,0.0014343459521974557,0.0,0.0014343459521974557,0.0,0.0014343459521974557
2009-12-22,0.001988819554260586,0.001647597808760501,1.212213760303274,0.0,0.001988819554260586,0.0,0.001988819554260586,0.0,0.001988819554260586
2009-12-23,0.006511602580158332,0.004469410395878425,1.5,0.0,0.006511602580158332,0.0,0.006511602580158332,0.0,0.006511602580158332
2009-12-24,0.008276640911070172,0.005603673984418557,1.5,0.0,0.008276640911070172,0.0,0.008276640911070172,0.0,0.008276640911070172
2009-12-28,0.002448282057248866,0.0015727455338315124,1.5,0.0,0.002448282057248866,0.0,0.002448282057248866,0.0,0.002448282057248866
2009-12-29,-0.0035932201440189633,-0.0023531645487741763,1.5,0.0,-0.0035932201440189633,0.0,-0.0035932201440189633,0.0,-0.0035932201440189633
2009-12-30,-0.0008133488300690903,-0.0004561544275018623,1.5,0.0,-0.0008133488300690903,0.0,-0.0008133488300690903,0.0,-0.0008133488300690903
2009-12-31,-0.009750539645750499,-0.006414434399127033,1.5,0.0,-0.009750539645750499,0.0,-0.009750539645750499,0.0,-0.009750539645750499
2010-01-04,0.0255298801403226,0.016887646793592594,1.5,0.0,0.0255298801403226,0.0,0.0255298801403226,0.0,0.0255298801403226
2010-01-05,0.0028248422810002506,0.002260776228830866,1.2843518281675865,0.0,0.0028248422810002506,0.0,0.0028248422810002506,0.0,0.0028248422810002506
2010-01-06,0.0025663141617249395,0.002006925133674251,1.2843518281675865,0.0,0.0025663141617249395,0.0,0.0025663141617249395,0.0,0.0025663141617249395
2010-01-07,1.8557126165674498e-05,2.3234232409130584e-05,1.2843518281675865,0.0,1.8557126165674498e-05,0.0,1.8557126165674498e-05,0.0,1.8557126165674498e-05
2010-01-08,0.006689611851922782,0.005217336486520335,1.2843518281675865,0.0,0.006689611851922782,0.0,0.006689611851922782,0.0,0.006689611851922782
