candidate,CN_TARGET_VOL,CN_MAX_LEV,CN_VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,avg_weight,held_day_avg_weight,holding_day_ratio,avg_scale_raw_held,cap_hit_ratio_held,avg_turnover,turnover_sum,cost_total
tv20_lev1p0,0.2,1.0,80,full,2014-10-17,2026-05-28,2823,0.29934927621855767,0.15415571470627076,1.7748532713551686,-0.16958594617989287,20.690523455507503,0.3567224237858332,0.9692275287270521,0.36804817569961035,0.9692275287270521,0.865255052935515,0.13211210454255853,372.95247112364274,0.3729524711236427
tv20_lev1p0,0.2,1.0,80,last_10y,2016-05-30,2026-05-28,2427,0.2460033613943673,0.14782268437595503,1.5604067404377056,-0.1695859461798932,8.914623397867071,0.35548607302172436,0.9748753663544916,0.3646477132262052,0.9748753663544916,0.9209039548022598,0.1307071101187448,317.22615625819367,0.3172261562581937
tv20_lev1p0,0.2,1.0,80,last_5y,2021-05-31,2026-05-28,1210,0.33327670260323905,0.1634735677482251,1.8385014074650041,-0.10125398757896176,4.163722410459074,0.35844389329017834,0.9574329158523527,0.3743801652892562,0.9574329158523527,0.9006622516556292,0.11325523031162349,137.03882867706443,0.13703882867706443
tv20_lev1p0,0.2,1.0,80,last_3y,2023-05-29,2026-05-28,726,0.48808696190248235,0.18849468087209156,2.1992384857180967,-0.07146965939664607,3.263172078175651,0.3150373428114543,0.9222464148432088,0.3415977961432507,0.9222464148432088,0.8185483870967742,0.11024632049182428,80.03882867706443,0.08003882867706442
tv20_lev1p0,0.2,1.0,80,last_1y,2025-05-29,2026-05-28,242,0.7667155635763001,0.1635474868239609,3.564571215893591,-0.07146965939664585,1.7584931417432716,0.5123110227108404,0.991834139968187,0.5165289256198347,0.991834139968187,0.896,0.14748339684679984,35.69098203692556,0.03569098203692556
tv20_lev1p05,0.2,1.05,80,full,2014-10-17,2026-05-28,2823,0.31114681522541643,0.16101159193546366,1.76192730117294,-0.1784510560355177,22.971388616297112,0.37242629231931595,1.0118954987655717,0.36804817569961035,1.0118954987655717,0.8383060635226179,0.13799162116408586,389.55034654621437,0.38955034654621445
tv20_lev1p05,0.2,1.05,80,last_10y,2016-05-30,2026-05-28,2427,0.2564018114602453,0.15489905843480944,1.5494447048864899,-0.17845105603551759,9.682869963390155,0.3721440691634844,1.0205578032313862,0.3646477132262052,1.0205578032313862,0.9016949152542373,0.13688887424793236,332.22929779973185,0.3322292977997318
tv20_lev1p05,0.2,1.05,80,last_5y,2021-05-31,2026-05-28,1210,0.3486458814235014,0.17148722900054625,1.8267834280414916,-0.10628415432739846,4.407232546652317,0.3752800254310658,1.0024035999372842,0.3743801652892562,1.0024035999372842,0.8962472406181016,0.1185480310132498,143.44311752603227,0.14344311752603228
tv20_lev1p05,0.2,1.05,80,last_3y,2023-05-29,2026-05-28,726,0.5124230216939476,0.19769202426320612,2.187312251806015,-0.07499013705659563,3.424535266114413,0.32897910574599115,0.9630598014983454,0.3415977961432507,0.9630598014983454,0.8104838709677419,0.11514203515982407,83.59311752603227,0.08359311752603227
tv20_lev1p05,0.2,1.05,80,last_1y,2025-05-29,2026-05-28,242,0.8121904161806073,0.17161448409566837,3.553183676994438,-0.07499013705659563,1.8033806459134345,0.5353346586218892,1.0364078990919778,0.5165289256198347,1.0364078990919778,0.88,0.15390607804088183,37.245270885893405,0.03724527088589341
