window,ticker,rows,avg_weight,max_weight,active_day_rate_gt_1pct
full_subb,QQQ,3840,0.4228649147970337,1.3054859340531941,0.765625
full_subb,EMXC,3840,0.11986978886585557,0.6035527782414443,0.4981770833333333
full_subb,EFA,3840,0.062165764606771125,0.5674530366359744,0.30442708333333335
full_subb,GLD,3840,0.26160945369050764,1.0510061035718052,0.5510416666666667
full_subb,TLT,3840,0.07906517799780392,0.5944700150652247,0.28802083333333334
full_subb,DBC,3840,0.09246221618799308,0.5262908011058965,0.39609375
full_subb,BTC-USD,3840,0.08783897422014944,0.36518865491378416,0.8440104166666667
full_subb,DBMF,3840,0.052413467716475835,0.5103499628824352,0.23515625
full_subb,BIL,3840,0.09565528521041822,1.0,0.33958333333333335
since_dbmf_first_weight,QQQ,2389,0.3881781588395641,1.175186660985093,0.7559648388447049
since_dbmf_first_weight,EMXC,2389,0.10594365611316903,0.5303359704582676,0.46379238174968607
since_dbmf_first_weight,EFA,2389,0.08201066905574365,0.5674530366359744,0.40142318961908746
since_dbmf_first_weight,GLD,2389,0.32163134129653875,1.0510061035718052,0.6513185433235663
since_dbmf_first_weight,TLT,2389,0.051213313100481335,0.529103831877274,0.2138970280452072
since_dbmf_first_weight,DBC,2389,0.094790182051398,0.5262908011058965,0.3817496860611134
since_dbmf_first_weight,BTC-USD,2389,0.08321224670481557,0.24940351965649246,0.8087065717873587
since_dbmf_first_weight,DBMF,2389,0.08424768356269034,0.5103499628824352,0.37798241942235244
since_dbmf_first_weight,BIL,2389,0.07560895823933649,0.7777777777777777,0.2812892423608204
inflation_ramp_2021,QQQ,365,0.5430417505398676,1.175186660985093,0.8657534246575342
inflation_ramp_2021,EMXC,365,0.2072212059145455,0.5303359704582676,0.6109589041095891
inflation_ramp_2021,EFA,365,0.024548431631044452,0.1715786414877144,0.16986301369863013
inflation_ramp_2021,GLD,365,0.025924424242311735,0.3166293686285104,0.09315068493150686
inflation_ramp_2021,TLT,365,0.03144248455874895,0.16852714664095847,0.2547945205479452
inflation_ramp_2021,DBC,365,0.2885865928997323,0.5043926402527807,0.8876712328767123
inflation_ramp_2021,BTC-USD,365,0.08607677090534861,0.16281498515556,1.0
inflation_ramp_2021,DBMF,365,0.028114447481783475,0.1958640119971655,0.21095890410958903
inflation_ramp_2021,BIL,365,0.004199172298273281,0.12152199248228494,0.043835616438356165
inflation_shock_2022,QQQ,304,0.046747820771526956,0.35325493702564986,0.2236842105263158
inflation_shock_2022,EMXC,304,0.0,0.0,0.0
inflation_shock_2022,EFA,304,0.0,0.0,0.0
inflation_shock_2022,GLD,304,0.14113543497509884,0.8907615020767751,0.34539473684210525
inflation_shock_2022,TLT,304,0.009667270394052336,0.13828158635803758,0.08552631578947369
inflation_shock_2022,DBC,304,0.25198908428231914,0.5262908011058965,1.0
inflation_shock_2022,BTC-USD,304,0.01710466659569994,0.07866743912665856,0.3157894736842105
inflation_shock_2022,DBMF,304,0.31792411064000864,0.5103499628824352,0.8914473684210527
inflation_shock_2022,BIL,304,0.2834927844364285,0.5555555555555555,0.8388157894736842
high_inflation_2021_2022,QQQ,730,0.29098846090629565,1.175186660985093,0.5260273972602739
high_inflation_2021_2022,EMXC,730,0.10675202670064524,0.5303359704582676,0.33424657534246577
high_inflation_2021_2022,EFA,730,0.015314277498400827,0.1715786414877144,0.1136986301369863
high_inflation_2021_2022,GLD,730,0.07428973595539193,0.8907615020767751,0.2
high_inflation_2021_2022,TLT,730,0.019747064470870244,0.16852714664095847,0.16301369863013698
high_inflation_2021_2022,DBC,730,0.2602571417902954,0.5262908011058965,0.9438356164383561
high_inflation_2021_2022,BTC-USD,730,0.05016142469252743,0.16281498515556,0.6315068493150685
high_inflation_2021_2022,DBMF,730,0.16739056276994327,0.5103499628824352,0.5602739726027397
high_inflation_2021_2022,BIL,730,0.1642968857257072,0.7777777777777777,0.4547945205479452
latest_3y,QQQ,1097,0.4604698595922974,0.9553303006774566,0.8514129443938013
latest_3y,EMXC,1097,0.12579008142621692,0.5240480745760006,0.5761166818596172
latest_3y,EFA,1097,0.1337297694768184,0.5674530366359744,0.6216955332725616
latest_3y,GLD,1097,0.41154703936740583,1.0001123288608718,0.7958067456700091
latest_3y,TLT,1097,0.006828052154178318,0.15647580442617207,0.05104831358249772
latest_3y,DBC,1097,0.027167865942200487,0.41583301200114214,0.12944393801276208
latest_3y,BTC-USD,1097,0.11129232611912317,0.24940351965649246,0.8769371011850501
latest_3y,DBMF,1097,0.04759508280636142,0.31918070699282614,0.2871467639015497
latest_3y,BIL,1097,0.02332577738391606,0.3715230463204146,0.17502278942570648
