window,series,start,end,rows,total_return,annual,vol,sharpe,max_dd,calmar,positive_day_rate
full_common,Sub-B official,2015-10-13,2026-04-17,3840,9.266344289659388,0.24803880224979835,0.1299118822290853,1.2421566070152958,-0.15797305386243898,1.5701336157354249,0.5061213857775463
full_common,Sub-B + DBMF,2015-10-13,2026-04-17,3840,9.676982616174113,0.25270443104969575,0.12925793190446383,1.2677098521675558,-0.14403607735653678,1.754452326719291,0.5071633237822349
full_common,V7.2 official,2015-10-13,2026-04-17,3840,13.192857830085243,0.28709377094400934,0.07634651827440898,2.3197439947549685,-0.07205437996133479,3.9844041555567777,0.5454545454545454
full_common,V7.2 + DBMF in Sub-B,2015-10-13,2026-04-17,3840,13.439240825994219,0.28920306041457833,0.07619848564847402,2.3389351303937733,-0.07205437996133479,4.013677732981229,0.543370669445168
since_dbmf_first_weight,Sub-B official,2019-10-03,2026-04-17,2389,3.9561487500572534,0.27739113419614125,0.1385199088580501,1.2892657711371305,-0.15797305386243887,1.7559395568670229,0.5029313232830821
since_dbmf_first_weight,Sub-B + DBMF,2019-10-03,2026-04-17,2389,4.154387243844355,0.28507681802418805,0.13753066624677573,1.32765299471874,-0.12357880363706453,2.3068423518763215,0.5046063651591289
since_dbmf_first_weight,V7.2 official,2019-10-03,2026-04-17,2389,4.745663877656057,0.3066004491748453,0.0793300986489624,2.3663499365091436,-0.05833666731177811,5.255707315884721,0.5418760469011725
since_dbmf_first_weight,V7.2 + DBMF in Sub-B,2019-10-03,2026-04-17,2389,4.84540657194708,0.31004449338431894,0.0790999340544277,2.395976739669921,-0.0599600957025036,5.170847206826142,0.5385259631490787
inflation_ramp_2021,Sub-B official,2021-01-01,2021-12-31,365,0.24895268934552983,0.24990651789581153,0.15520073507520865,1.0696549607907837,-0.1040938231521259,2.400781432829021,0.5274725274725275
inflation_ramp_2021,Sub-B + DBMF,2021-01-01,2021-12-31,365,0.24277338171546559,0.24370130755773145,0.15465871208153956,1.0506316790375327,-0.10643650337788402,2.289640300306681,0.5247252747252747
inflation_ramp_2021,V7.2 official,2021-01-01,2021-12-31,365,0.3192840782772932,0.3205400308186348,0.09047518472294958,2.166237975810042,-0.04335605416841537,7.393201179551674,0.5659340659340659
inflation_ramp_2021,V7.2 + DBMF in Sub-B,2021-01-01,2021-12-31,365,0.3159107505282752,0.317151911306383,0.09017889664220036,2.1533853489518155,-0.04467514297224506,7.0990687484406525,0.5659340659340659
inflation_shock_2022,Sub-B official,2022-01-01,2022-10-31,304,-0.034132713394487535,-0.04099953943871271,0.1031727373032045,-0.22827187473376598,-0.14512158692143617,-0.28251854399103593,0.3696369636963696
inflation_shock_2022,Sub-B + DBMF,2022-01-01,2022-10-31,304,0.05238214425541243,0.06347898304050914,0.10099635477683826,0.4709332329992246,-0.09172028787056896,0.6920931509731791,0.39933993399339934
inflation_shock_2022,V7.2 official,2022-01-01,2022-10-31,304,0.17100621283601414,0.20960725024475835,0.07714517895429332,1.74081138927051,-0.049890273878698266,4.201364994595765,0.44554455445544555
