window,series,start,end,rows,total_return,annual,vol,sharpe,max_dd,calmar,positive_day_rate
inflation_shock_2022,V7.2 + DBMF in Sub-B,2022-01-01,2022-10-31,304,0.21692305942300316,0.2670100182188526,0.07445558853673462,2.2307925741723347,-0.03970600115565881,6.724676634448719,0.42244224422442245
high_inflation_2021_2022,Sub-B official,2021-01-01,2022-12-31,730,0.20482309274334587,0.09785477697929301,0.12899158548133985,0.5640833095721621,-0.14512158692143617,0.6742951138776357,0.4499314128943759
high_inflation_2021_2022,Sub-B + DBMF,2021-01-01,2022-12-31,730,0.2726665315502539,0.12840510613304934,0.12783664847283543,0.7161488948375747,-0.1064583326360361,1.2061536467234155,0.4567901234567901
high_inflation_2021_2022,V7.2 official,2021-01-01,2022-12-31,730,0.5783849024393244,0.2569279447621109,0.08188344108452787,1.9682782098471716,-0.04989027387869771,5.149860379335674,0.50480109739369
high_inflation_2021_2022,V7.2 + DBMF in Sub-B,2021-01-01,2022-12-31,730,0.6161870637093145,0.27192150639127366,0.08076761050332656,2.0956857371023707,-0.04467514297224506,6.086639869517776,0.49519890260631
post_peak_disinflation_2023,Sub-B official,2023-01-01,2023-12-31,365,0.21817067759558162,0.21899652861504415,0.11380068101515771,1.2576430503472849,-0.11021789707861596,1.986941634885656,0.5082417582417582
post_peak_disinflation_2023,Sub-B + DBMF,2023-01-01,2023-12-31,365,0.212887424850442,0.2136915783467046,0.11091151530509544,1.2603231112070927,-0.09584921452605821,2.2294557071055494,0.5027472527472527
post_peak_disinflation_2023,V7.2 official,2023-01-01,2023-12-31,365,0.2862176997464987,0.28732995434397246,0.06127612705912699,2.8753052720931196,-0.03089687462661017,9.299644634493461,0.532967032967033
post_peak_disinflation_2023,V7.2 + DBMF in Sub-B,2023-01-01,2023-12-31,365,0.282367734526221,0.2834634472972615,0.060932603348762895,2.8570871120259866,-0.02618492806887618,10.825443039279937,0.5302197802197802
latest_1y,Sub-B official,2025-04-17,2026-04-17,366,0.5427415033036564,0.543199703248989,0.15522734753672118,2.0071812962829862,-0.11699212782064128,4.643044907104858,0.5013698630136987
latest_1y,Sub-B + DBMF,2025-04-17,2026-04-17,366,0.5540833266074527,0.5545526943095125,0.1548816438292157,2.044037461051569,-0.12357880363706442,4.487441842681734,0.5095890410958904
latest_1y,V7.2 official,2025-04-17,2026-04-17,366,0.428499633326614,0.42884860624225607,0.0816375200747511,3.0581412122255283,-0.05340535555334669,8.030067430482296,0.5315068493150685
latest_1y,V7.2 + DBMF in Sub-B,2025-04-17,2026-04-17,366,0.4346135275536047,0.4349681916314496,0.08277184137729131,3.0530147592883172,-0.05640431240456267,7.711612341120642,0.536986301369863
latest_3y,Sub-B official,2023-04-17,2026-04-17,1097,1.5417549415091116,0.3646263560915053,0.1471795158729389,1.5316323155211937,-0.11699212782064172,3.1166742829954046,0.5145985401459854
latest_3y,Sub-B + DBMF,2023-04-17,2026-04-17,1097,1.5381117782590574,0.3639742083181263,0.14590483779479116,1.5414878597490622,-0.12357880363706397,2.945280239053573,0.5155109489051095
latest_3y,V7.2 official,2023-04-17,2026-04-17,1097,1.432066080549919,0.34471147108911837,0.07969331050983632,2.604966770085109,-0.05833666731177789,5.909001781792269,0.5483576642335767
latest_3y,V7.2 + DBMF in Sub-B,2023-04-17,2026-04-17,1097,1.4323750434285656,0.34476839848536645,0.08000792168319829,2.595405840141335,-0.05996009570250338,5.74996411273193,0.5501824817518248
latest_5y,Sub-B official,2021-04-17,2026-04-17,1827,1.7667747455067313,0.22576400168809174,0.13475985060551146,1.1100322470732127,-0.1579730538624381,1.4291298178275744,0.4879518072289157
latest_5y,Sub-B + DBMF,2021-04-17,2026-04-17,1827,1.880916852912922,0.23571616468154777,0.13345189318306305,1.1614188978392208,-0.12357880363706408,1.9074158168241981,0.49069003285870755
latest_5y,V7.2 official,2021-04-17,2026-04-17,1827,2.526756542758682,0.2867378748703828,0.07728296421361815,2.290091848122535,-0.058336667311777446,4.915225501963051,0.5284775465498357
latest_5y,V7.2 + DBMF in Sub-B,2021-04-17,2026-04-17,1827,2.5903758510527184,0.2913476716324592,0.07699292330824434,2.3304887516738746,-0.05996009570250338,4.8590261276099875,0.524644030668127
full_common,Sub-B + DBMF minus Sub-B official,2015-10-13,2026-04-17,3840,0.4106383265147251,0.004665628799897403,-0.0006539503246214828,0.025553245152259985,0.013936976505902199,0.1843187109838662,0.0010419380046886584
full_common,V7.2 + DBMF in Sub-B minus V7.2 official,2015-10-13,2026-04-17,3840,0.2463829959089754,0.002109289470568987,-0.00014803262593496291,0.019191135638804813,0.0,0.029273577424451247,-0.002083876009377428
since_dbmf_first_weight,Sub-B + DBMF minus Sub-B official,2019-10-03,2026-04-17,2389,0.1982384937871018,0.0076856838280467965,-0.0009892426112743657,0.03838722358160962,0.034394250225374345,0.5509027950092986,0.0016750418760468344
since_dbmf_first_weight,V7.2 + DBMF in Sub-B minus V7.2 official,2019-10-03,2026-04-17,2389,0.0997426942910229,0.00344404420947364,-0.00023016459453470417,0.02962680316077737,-0.0016234283907254898,-0.08486010905857899,-0.00335008375209378
inflation_ramp_2021,Sub-B + DBMF minus Sub-B official,2021-01-01,2021-12-31,365,-0.006179307630064246,-0.0062052103380800805,-0.0005420229936690946,-0.019023281753250965,-0.0023426802257581203,-0.1111411325223397,-0.0027472527472527375
inflation_ramp_2021,V7.2 + DBMF in Sub-B minus V7.2 official,2021-01-01,2021-12-31,365,-0.003373327749017996,-0.0033881195122518193,-0.00029628808074921853,-0.012852626858226301,-0.0013190888038296933,-0.29413243111102183,0.0
inflation_shock_2022,Sub-B + DBMF minus Sub-B official,2022-01-01,2022-10-31,304,0.08651485764989997,0.10447852247922185,-0.0021763825263662467,0.6992051077329906,0.05340129905086721,0.9746116949642151,0.02970297029702973
inflation_shock_2022,V7.2 + DBMF in Sub-B minus V7.2 official,2022-01-01,2022-10-31,304,0.045916846586989024,0.05740276797409427,-0.0026895904175587015,0.48998118490182474,0.010184272723039456,2.5233116398529543,-0.023102310231023104
high_inflation_2021_2022,Sub-B + DBMF minus Sub-B official,2021-01-01,2022-12-31,730,0.06784343880690802,0.030550329153756328,-0.0011549370085044142,0.15206558526541258,0.03866325428540007,0.5318585328457798,0.006858710562414216
high_inflation_2021_2022,V7.2 + DBMF in Sub-B minus V7.2 official,2021-01-01,2022-12-31,730,0.03780216126999014,0.014993561629162766,-0.0011158305812013075,0.1274075272551991,0.005215130906452647,0.9367794901821016,-0.009602194787379947
post_peak_disinflation_2023,Sub-B + DBMF minus Sub-B official,2023-01-01,2023-12-31,365,-0.005283252745139633,-0.005304950268339548,-0.002889165710062272,0.0026800608598078757,0.014368682552557743,0.24251407221989352,-0.005494505494505475
post_peak_disinflation_2023,V7.2 + DBMF in Sub-B minus V7.2 official,2023-01-01,2023-12-31,365,-0.0038499652202776957,-0.0038665070467109874,-0.0003435237103640923,-0.01821816006713295,0.0047119465577339925,1.5257984047864763,-0.0027472527472527375
latest_1y,Sub-B + DBMF minus Sub-B official,2025-04-17,2026-04-17,366,0.011341823303796295,0.011352991060523454,-0.00034570370750547363,0.036856164768582556,-0.006586675816423138,-0.15560306442312388,0.008219178082191747
latest_1y,V7.2 + DBMF in Sub-B minus V7.2 official,2025-04-17,2026-04-17,366,0.006113894226990713,0.006119585389193549,0.0011343213025402088,-0.0051264529372110346,-0.0029989568512159837,-0.31845508936165423,0.005479452054794498
latest_3y,Sub-B + DBMF minus Sub-B official,2023-04-17,2026-04-17,1097,-0.0036431632500542044,-0.0006521477733789638,-0.0012746780781477396,0.009855544227868496,-0.006586675816422249,-0.17139404394183178,0.0009124087591241281
latest_3y,V7.2 + DBMF in Sub-B minus V7.2 official,2023-04-17,2026-04-17,1097,0.00030896287864656813,5.69273962480743e-05,0.00031461117336197,-0.009560929943774,-0.0016234283907254898,-0.15903766906033923,0.0018248175182481452
latest_5y,Sub-B + DBMF minus Sub-B official,2021-04-17,2026-04-17,1827,0.1141421074061908,0.009952162993456026,-0.001307957422448408,0.051386650766008124,0.03439425022537401,0.4782859989966237,0.0027382256297918683
latest_5y,V7.2 + DBMF in Sub-B minus V7.2 official,2021-04-17,2026-04-17,1827,0.06361930829403661,0.004609796762076401,-0.000290040905373809,0.0403969035513394,-0.001623428390725934,-0.05619937435306355,-0.00383351588170866
