candidate,mode,recovery_wait_days,start,end,days
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2010-09-29,2010-10-08,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2010-12-06,2010-12-17,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2010-12-24,2010-12-31,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-01-10,2011-01-14,5
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-01-21,2011-01-21,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-01-28,2011-02-09,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-03-07,2011-03-08,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-03-23,2011-03-25,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-04-06,2011-04-19,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-05-05,2011-05-20,12
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-06-09,2011-06-22,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-07-29,2011-08-01,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-08-19,2011-08-22,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-09-02,2011-10-10,21
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-11-23,2011-11-30,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-12-07,2011-12-16,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2011-12-28,2012-01-04,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-02-01,2012-02-02,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-03-21,2012-04-17,17
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-05-02,2012-05-03,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-05-24,2012-05-28,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-06-28,2012-07-02,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-07-20,2012-08-02,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-08-20,2012-08-20,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-09-19,2012-10-09,10
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-10-17,2012-10-17,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-10-29,2012-10-31,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-11-12,2012-11-12,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-11-19,2012-11-20,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2012-12-03,2012-12-04,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-01-30,2013-02-08,8
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-03-18,2013-04-01,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-04-12,2013-04-17,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-06-07,2013-06-14,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-06-21,2013-06-24,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-07-11,2013-07-11,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-07-31,2013-07-31,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-08-08,2013-08-22,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-11-04,2013-11-14,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-12-11,2013-12-11,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2013-12-18,2013-12-25,6
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-01-15,2014-01-17,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-02-07,2014-02-07,1
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-03-04,2014-04-08,25
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-04-16,2014-04-21,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-04-28,2014-05-05,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-05-09,2014-05-21,9
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-06-23,2014-06-25,3
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-07-21,2014-08-04,11
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-08-29,2014-09-01,2
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-09-19,2014-09-24,4
amount_ma20_zz3_cyb4_or_recwait0_scale0,or,0,2014-10-22,2014-10-28,5
