field,ma,zz_days,cyb_days,mode,recovery_wait_days,scale,candidate,segment,ann_return,ann_vol,max_dd,sharpe_repo,total_return,years,rows,start,end
none,0,0,0,none,0,1.0,no_overlay,full,0.3533787493380638,0.25753508527132557,-0.32007873723728986,1.2983901514170535,113.31247589228335,15.66050650239562,3802,2010-09-29,2026-05-28
none,0,0,0,none,0,1.0,no_overlay,last_10y,0.2799894826002409,0.2505013845027772,-0.32007873723729086,1.1041334303447403,10.785017282690244,9.99315537303217,2427,2016-05-30,2026-05-28
none,0,0,0,none,0,1.0,no_overlay,last_5y,0.40635760338648796,0.2723789102443777,-0.1856762069789658,1.3807995029422837,4.500187079596453,4.999315537303217,1211,2021-05-28,2026-05-28
none,0,0,0,none,0,1.0,no_overlay,last_3y,0.6579051216542093,0.30534868009050703,-0.16712425847172718,1.7985225176339672,3.5522717370618677,2.9979466119096507,726,2023-05-29,2026-05-28
none,0,0,0,none,0,1.0,no_overlay,last_1y,1.1153672584882215,0.2822528574204426,-0.12654519327726677,2.7850370624319396,1.1142827362408818,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,or,0,0.0,amount_ma20_zz3_cyb4_or_recwait0_scale0,full,0.3256519571746195,0.23236734612648655,-0.2477551272494073,1.3235150694883089,81.6624460803516,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,or,0,0.0,amount_ma20_zz3_cyb4_or_recwait0_scale0,last_10y,0.3156780704974609,0.22068210818117281,-0.2477551272494083,1.3455203036339352,14.512465378048125,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,or,0,0.0,amount_ma20_zz3_cyb4_or_recwait0_scale0,last_5y,0.4148308804610461,0.24495318888577933,-0.1498922490335075,1.5307876670784404,4.667865029437725,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,or,0,0.0,amount_ma20_zz3_cyb4_or_recwait0_scale0,last_3y,0.668840862795093,0.28407805908833883,-0.10636936140127962,1.9340090685713545,3.6428865481588772,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,or,0,0.0,amount_ma20_zz3_cyb4_or_recwait0_scale0,last_1y,1.0531002299401377,0.2517736059326248,-0.10636936140127973,2.9715306441347265,1.052089596067903,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,or,1,0.0,amount_ma20_zz3_cyb4_or_recwait1_scale0,full,0.31772026145211063,0.22998041309972134,-0.2350116014803354,1.3088284505601144,74.24755184374416,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,or,1,0.0,amount_ma20_zz3_cyb4_or_recwait1_scale0,last_10y,0.3114092705277365,0.2183838836995702,-0.2248866743216117,1.342535649174652,14.016773139756786,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,or,1,0.0,amount_ma20_zz3_cyb4_or_recwait1_scale0,last_5y,0.41394017846502673,0.24317305240680667,-0.1498922490335075,1.5376239601698887,4.650048987762484,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,or,1,0.0,amount_ma20_zz3_cyb4_or_recwait1_scale0,last_3y,0.6779853285552324,0.283367449575968,-0.10636936140127984,1.9574612021187474,3.719575092209479,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,or,1,0.0,amount_ma20_zz3_cyb4_or_recwait1_scale0,last_1y,1.0445609779785392,0.2504131756659005,-0.10636936140127973,2.9697021322376798,1.043560377298384,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,or,2,0.0,amount_ma20_zz3_cyb4_or_recwait2_scale0,full,0.29753600073405173,0.22548015611612762,-0.23244972041690526,1.2621396327999528,58.08909737474643,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,or,2,0.0,amount_ma20_zz3_cyb4_or_recwait2_scale0,last_10y,0.299013770233163,0.21323326867698036,-0.18836069506373632,1.3253311344160292,12.65714450667072,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,or,2,0.0,amount_ma20_zz3_cyb4_or_recwait2_scale0,last_5y,0.3765182700995853,0.23835903110624063,-0.15698846079149142,1.4512425978225294,3.9410006273241978,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,or,2,0.0,amount_ma20_zz3_cyb4_or_recwait2_scale0,last_3y,0.6142653779169622,0.28078081359229756,-0.10636936140127984,1.8349142633085405,3.202403443432704,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,or,2,0.0,amount_ma20_zz3_cyb4_or_recwait2_scale0,last_1y,0.9608304962001193,0.25005735338125246,-0.10636936140127973,2.806660279754705,0.9599269667749366,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,or,3,0.0,amount_ma20_zz3_cyb4_or_recwait3_scale0,full,0.2864495707186261,0.21951065114189727,-0.18626503396195881,1.2516910342021055,50.65901597055171,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,or,3,0.0,amount_ma20_zz3_cyb4_or_recwait3_scale0,last_10y,0.28469734044306927,0.20515875423961505,-0.18295947844725002,1.3158512725200706,11.22541328332156,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,or,3,0.0,amount_ma20_zz3_cyb4_or_recwait3_scale0,last_5y,0.3214226401128861,0.22718003938234196,-0.1498922490335075,1.3322184856837949,3.028337676428751,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,or,3,0.0,amount_ma20_zz3_cyb4_or_recwait3_scale0,last_3y,0.5289686689503317,0.26763841885525924,-0.10636936140127973,1.70968380475805,2.571224204721457,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,or,3,0.0,amount_ma20_zz3_cyb4_or_recwait3_scale0,last_1y,0.9203618541742138,0.24992584132317844,-0.10636936140127973,2.7247276724125844,0.9195043712778459,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,and,0,0.0,amount_ma20_zz3_cyb4_and_recwait0_scale0,full,0.3147714040467493,0.24911954646314907,-0.28808896268865514,1.2177031394144013,71.65326038712023,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,and,0,0.0,amount_ma20_zz3_cyb4_and_recwait0_scale0,last_10y,0.2538279766658409,0.24047294898045882,-0.28808896268865625,1.0541948175503968,8.58753932027491,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,and,0,0.0,amount_ma20_zz3_cyb4_and_recwait0_scale0,last_5y,0.3814593485146651,0.259377173671352,-0.2025742993396955,1.367652910485883,4.030307015344984,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,and,0,0.0,amount_ma20_zz3_cyb4_and_recwait0_scale0,last_3y,0.6399820271458612,0.2900755490555175,-0.11185084463410011,1.8397371177372575,3.4063208517896912,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,and,0,0.0,amount_ma20_zz3_cyb4_and_recwait0_scale0,last_1y,0.9293718772915205,0.2633301193129536,-0.11185084463409978,2.61681785973655,0.9285041925264987,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,and,1,0.0,amount_ma20_zz3_cyb4_and_recwait1_scale0,full,0.3151776564331521,0.24819812366081478,-0.278816930021345,1.2225433448039944,72.00562357214407,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,and,1,0.0,amount_ma20_zz3_cyb4_and_recwait1_scale0,last_10y,0.26271682389813833,0.239364727896654,-0.27881693002134567,1.0873972700591246,9.288836527166584,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,and,1,0.0,amount_ma20_zz3_cyb4_and_recwait1_scale0,last_5y,0.39259151485426624,0.25804671676057106,-0.1934748865175605,1.4044777208035522,4.236248890351751,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,and,1,0.0,amount_ma20_zz3_cyb4_and_recwait1_scale0,last_3y,0.6579215123418829,0.2892144424546102,-0.10636936140127962,1.8820184090785244,3.5524066625083126,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,and,1,0.0,amount_ma20_zz3_cyb4_and_recwait1_scale0,last_1y,0.9866144295606383,0.26155943763465617,-0.10636936140127973,2.7443052445830514,0.9856812637759356,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,and,2,0.0,amount_ma20_zz3_cyb4_and_recwait2_scale0,full,0.31690260386296454,0.24702772974162912,-0.2669631080698299,1.2324539681700524,73.51965115048017,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,and,2,0.0,amount_ma20_zz3_cyb4_and_recwait2_scale0,last_10y,0.27100489589150767,0.23781398996367883,-0.2669631080698287,1.1203521927890103,9.98397120319633,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,and,2,0.0,amount_ma20_zz3_cyb4_and_recwait2_scale0,last_5y,0.3813765154481896,0.25699653475088857,-0.20525495469924737,1.3776919483043621,4.028799302627248,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,and,2,0.0,amount_ma20_zz3_cyb4_and_recwait2_scale0,last_3y,0.6459483516836946,0.2884942284779989,-0.10636936140127984,1.860834337627657,3.4545539543429573,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,and,2,0.0,amount_ma20_zz3_cyb4_and_recwait2_scale0,last_1y,0.9136943549904193,0.26084240038302337,-0.10636936140127973,2.6080514365933896,0.9128444029699012,0.999315537303217,243,2025-05-28,2026-05-28
amount,20,3,4,and,3,0.0,amount_ma20_zz3_cyb4_and_recwait3_scale0,full,0.3101009838161719,0.2454909445853597,-0.29456655689601186,1.2175917143744317,67.71509587394085,15.66050650239562,3802,2010-09-29,2026-05-28
amount,20,3,4,and,3,0.0,amount_ma20_zz3_cyb4_and_recwait3_scale0,last_10y,0.2647045012597973,0.23545456080738372,-0.2945665568960103,1.1081796716661187,9.451835496374294,9.99315537303217,2427,2016-05-30,2026-05-28
amount,20,3,4,and,3,0.0,amount_ma20_zz3_cyb4_and_recwait3_scale0,last_5y,0.3498524563460934,0.2545441344620755,-0.1905404506645757,1.2978504110035016,3.480663503058266,4.999315537303217,1211,2021-05-28,2026-05-28
amount,20,3,4,and,3,0.0,amount_ma20_zz3_cyb4_and_recwait3_scale0,last_3y,0.5965905524128916,0.28600495157581324,-0.10636936140127973,1.7680264529297225,3.065963072225454,2.9979466119096507,726,2023-05-29,2026-05-28
amount,20,3,4,and,3,0.0,amount_ma20_zz3_cyb4_and_recwait3_scale0,last_1y,0.8884094079570393,0.2606979849016613,-0.10636936140127973,2.5584374963771164,0.8875878702490809,0.999315537303217,243,2025-05-28,2026-05-28
