lookback,segment,start,end,cagr,vol,sharpe,maxdd,final_nav
10,last_3y,2023-04-24,2026-04-24,0.23370694544049964,0.19879728230836125,1.1618809941932107,-0.18164968565652995,1.8780124210167302
10,last_5y,2021-04-23,2026-04-24,0.24741039963304035,0.19294360051984055,1.2495583192945905,-0.1816496856565306,3.0216485276831695
10,last_10y,2016-04-25,2026-04-24,0.19360929430895468,0.19020996844911325,1.0285049275498857,-0.2743258884370897,5.86551652837975
10,full_common,2010-07-02,2026-04-24,0.2286853393202668,0.19804649049392548,1.1433271761517423,-0.2743258884370905,25.95101987057707
11,last_3y,2023-04-24,2026-04-24,0.19613899313321248,0.19134889967896276,1.0367518616119644,-0.14852935373632714,1.711583863525026
11,last_5y,2021-04-23,2026-04-24,0.17600020421363705,0.1886925556691344,0.9586330131245909,-0.14978312608692212,2.2499950335632475
11,last_10y,2016-04-25,2026-04-24,0.11862916892173314,0.19123814064301817,0.6837045298967498,-0.299312772482787,3.066630517225684
11,full_common,2010-07-02,2026-04-24,0.19992627039233013,0.19763513115865874,1.025047962063911,-0.35011831832426876,17.84513190077025
12,last_3y,2023-04-24,2026-04-24,0.18283443074146,0.19810674623389074,0.9515409937042787,-0.18104660011120244,1.655090656861244
12,last_5y,2021-04-23,2026-04-24,0.14843915151814246,0.19329772034988896,0.8170364872508841,-0.1810466001112031,1.9983123537340322
12,last_10y,2016-04-25,2026-04-24,0.15677355944457494,0.1913564701030211,0.8593697472056055,-0.23907138590738797,4.287694029149231
12,full_common,2010-07-02,2026-04-24,0.2261267536006175,0.1985455274513642,1.1306053652056716,-0.23907138590738808,25.10964260657871
13,last_3y,2023-04-24,2026-04-24,0.1666555704430328,0.1973253487121152,0.8836234439544908,-0.17381019327959557,1.5880851941256418
13,last_5y,2021-04-23,2026-04-24,0.16522193752542336,0.1907326094644186,0.9017214883300811,-0.17381019327959413,2.148719004562361
13,last_10y,2016-04-25,2026-04-24,0.1764780321956798,0.19090317780408392,0.9497838126870084,-0.3084296902771785,5.076312507139024
13,full_common,2010-07-02,2026-04-24,0.25430797655695225,0.19786196437293985,1.249253671442506,-0.30842969027717737,35.96476637337658
14,last_3y,2023-04-24,2026-04-24,0.15667138694575056,0.20030222008945586,0.8306969434420082,-0.19714518460918784,1.5476517462230144
14,last_5y,2021-04-23,2026-04-24,0.15947189762153702,0.19338503947906116,0.8665402774387936,-0.19714518460918784,2.0962017838672704
14,last_10y,2016-04-25,2026-04-24,0.17549766009603673,0.19164380222957286,0.9426349191212663,-0.2737818577369775,5.034186545555412
14,full_common,2010-07-02,2026-04-24,0.22949879620916014,0.1989018066652335,1.1429376930242177,-0.27378185773697683,26.22400602458579
15,last_3y,2023-04-24,2026-04-24,0.1470815420794127,0.20268361046789365,0.7819206976275863,-0.21438937265048197,1.509467144790926
15,last_5y,2021-04-23,2026-04-24,0.13067008635610677,0.19447451420748973,0.7324537830639317,-0.2143893726504814,1.848370511307816
15,last_10y,2016-04-25,2026-04-24,0.15856267894885612,0.19306410741066685,0.86165650481413,-0.29296486711401226,4.354445309972824
15,full_common,2010-07-02,2026-04-24,0.2159785923864843,0.19892346251507814,1.0869727117885744,-0.29296486711401193,22.01767030216344
16,last_3y,2023-04-24,2026-04-24,0.15349630324609498,0.20250349422547395,0.8103425939180661,-0.1974595196798694,1.5349388161533482
16,last_5y,2021-04-23,2026-04-24,0.1481035317932009,0.19288234779492522,0.816898487926129,-0.19745951967986985,1.9953929294457176
16,last_10y,2016-04-25,2026-04-24,0.16935862113473288,0.191459398338744,0.9158781176640898,-0.23331365440473595,4.777472242181656
16,full_common,2010-07-02,2026-04-24,0.23808712683535682,0.19910772024438755,1.1770764807335468,-0.23331365440473606,29.275042825339348
17,last_3y,2023-04-24,2026-04-24,0.17161491050315858,0.20378407558357095,0.8836331000441217,-0.1719917357509182,1.6084284669634024
17,last_5y,2021-04-23,2026-04-24,0.16455284773711853,0.19374048388173698,0.8881228455498887,-0.1719917357509182,2.14255440767265
17,last_10y,2016-04-25,2026-04-24,0.1844286322158728,0.1938749857186703,0.9732255954740318,-0.250423580824655,5.429840713872227
17,full_common,2010-07-02,2026-04-24,0.25352132384609183,0.20139664443185698,1.227782453671661,-0.2504235808246549,35.60978796215037
18,last_3y,2023-04-24,2026-04-24,0.16288017323564374,0.19905354445252524,0.8614956646294711,-0.1960966100780337,1.5727140050571904
18,last_5y,2021-04-23,2026-04-24,0.1500530360633321,0.1916451524300214,0.8295936825088454,-0.19609661007803325,2.012398669216342
18,last_10y,2016-04-25,2026-04-24,0.18329183100892865,0.19065164588523012,0.9811542781263217,-0.22188476286737635,5.377971436993275
18,full_common,2010-07-02,2026-04-24,0.22377252551129412,0.19759516858130324,1.1253479531641357,-0.23291357069003393,24.358104647037347
19,last_3y,2023-04-24,2026-04-24,0.1694058726358283,0.19857861225852658,0.8919269472910841,-0.17432420897805256,1.5993456415426002
19,last_5y,2021-04-23,2026-04-24,0.13417575754579047,0.19403580109816587,0.749928363727454,-0.2050895501774085,1.877215282130428
19,last_10y,2016-04-25,2026-04-24,0.1686553204308021,0.19206208316002737,0.9104806734090226,-0.23296148179784826,4.7488279213312605
19,full_common,2010-07-02,2026-04-24,0.23487703282031402,0.19963112582577153,1.1613942095413274,-0.23296148179784804,28.097690344433644
20,last_3y,2023-04-24,2026-04-24,0.1858894348547322,0.20425411524566986,0.9417927099869424,-0.17649993659193342,1.6679509701159514
20,last_5y,2021-04-23,2026-04-24,0.18613929950612573,0.19581626501024632,0.9752802745749206,-0.17649993659193464,2.3487170795249774
20,last_10y,2016-04-25,2026-04-24,0.1875644443649136,0.19216471073475355,0.9939252826223862,-0.2564529578581981,5.575261770112598
20,full_common,2010-07-02,2026-04-24,0.25741501177968895,0.1999684359022852,1.2506193452577379,-0.2564529578581992,37.39948096456502
21,last_3y,2023-04-24,2026-04-24,0.23299572069218555,0.2036990626267138,1.1363589259015707,-0.163727298465698,1.8747655640099927
21,last_5y,2021-04-23,2026-04-24,0.2193429692163844,0.19639735321115048,1.1144662503437137,-0.1637272984656969,2.6965361206756913
21,last_10y,2016-04-25,2026-04-24,0.20234823508884725,0.1933221868137179,1.05335352575665,-0.29404335183528485,6.309196240122643
21,full_common,2010-07-05,2026-04-24,0.245355018039624,0.20088153522769497,1.1974539364129224,-0.29404335183528496,32.05576230400128
22,last_3y,2023-04-24,2026-04-24,0.22682624903662996,0.20025813877883344,1.1271870445069667,-0.1812008659441049,1.8467578224470313
22,last_5y,2021-04-23,2026-04-24,0.19770609877552836,0.19403736975202163,1.0326513784397846,-0.18120086594410412,2.46554077084557
22,last_10y,2016-04-25,2026-04-24,0.20186468666156476,0.18820110281669375,1.0746641662749736,-0.22252592569068597,6.283878795523804
22,full_common,2010-07-06,2026-04-24,0.24993677773094958,0.1983733737551277,1.2287329846579438,-0.24480125582727796,33.95036146189427
23,last_3y,2023-04-24,2026-04-24,0.12939789892789277,0.19877199780180047,0.7146927074619835,-0.1902393027386381,1.440711750047755
23,last_5y,2021-04-23,2026-04-24,0.10402859109634432,0.19404676593785763,0.6099685854872038,-0.19023930273863798,1.6405514602207025
23,last_10y,2016-04-25,2026-04-24,0.15083606397193705,0.189189308773801,0.8397839906131307,-0.28351018335683154,4.072715386749326
23,full_common,2010-07-07,2026-04-24,0.212223362186017,0.19868815836949705,1.072281935509857,-0.2835101833568324,20.91165801830411
24,last_3y,2023-04-24,2026-04-24,0.2401573596881761,0.199996972761274,1.1829181901553614,-0.16096135146255697,1.9076309772857682
24,last_5y,2021-04-23,2026-04-24,0.16570471200065318,0.19246011912161687,0.8979168644719261,-0.16680802562538288,2.1531758097819513
