segment,base_cagr,base_sharpe,base_maxdd,strict_band,loose_band
last_3y,0.1858894348547322,0.9417927099869424,-0.17649993659193342,"10,11,12,13,17,18,19,20,21,22,24,25,26","10,11,12,13,14,16,17,18,19,20,21,22,24,25,26"
last_5y,0.18613929950612573,0.9752802745749206,-0.17649993659193464,"10,11,13,17,20,21,22,24,25,26","10,11,13,14,17,18,20,21,22,24,25,26"
last_10y,0.1875644443649136,0.9939252826223862,-0.2564529578581981,"10,14,16,17,18,19,20,22,24","10,12,14,15,16,17,18,19,20,21,22,24,25"
full_common,0.25741501177968895,1.2506193452577379,-0.2564529578581992,"10,12,14,16,17,19,20,22,24","10,12,14,15,16,17,18,19,20,21,22,23,24,25"
