variant,annual,vol,sharpe,max_dd,calmar,win_rate,years,total_return,yearly,start,end,days
baseline,26.587660944242476,11.48961050597166,1.8944307314922308,-13.076955910047722,2.0331689673904734,72.28915662650603,6.916666666666667,408.3432737509423,"{2019: np.float64(14.350563692822238), 2020: np.float64(35.871903878255054), 2021: np.float64(28.1663684871039), 2022: np.float64(-1.7688294854511288), 2023: np.float64(21.516756849166853), 2024: np.float64(26.17586768735265), 2025: np.float64(33.55732676512528), 2026: np.float64(6.293095545406291)}",2019-05-09,2026-04-01,2519
adk_gate_15_0p5_8,25.309651306458058,11.352884540940861,1.8864707211113074,-12.013769402297376,2.106720252314659,72.28915662650603,6.916666666666667,373.98497083690205,"{2019: np.float64(14.350563692822238), 2020: np.float64(35.871903878255054), 2021: np.float64(28.1663684871039), 2022: np.float64(-1.7688294854511288), 2023: np.float64(21.516756849166853), 2024: np.float64(23.746821888864456), 2025: np.float64(33.42936766264246), 2026: np.float64(6.047122823077111)}",2019-05-09,2026-04-01,2519
delta_gated_minus_base,-1.2780096377844181,-0.1367259650307986,-0.007960010380923421,1.0631865077503466,0.07355128492418572,0.0,,-34.35830291404022,,,,0
