variant,gate_kind,enter,exit,scale_defense,cooldown_days,vol_window,annual,max_dd,sharpe,calmar,vol,total_return,monthly_win_rate,rebalanced_days,signal_days,gate_days,gate_ratio,avg_scale,condition_days,gate_entries
dd_15_x0p5_e7_cd0,dd,0.15,0.07,0.45,0.0,30.0,26.414047376838965,-25.321602334804876,1.1785924382302342,1.04314280856281,18.82657935610563,3525.1749518072115,62.70270270270271,834,616,696,0.18699623858140785,0.8971520687802257,480,6
dd_15_x0p5_e6_cd0,dd,0.15,0.06,0.5,0.0,30.0,26.38201600569545,-26.188455188293645,1.1755232141783518,1.0073910742733816,18.85955717620826,3511.1296399983116,62.70270270270271,834,616,714,0.19183234819989253,0.9040838259000538,480,6
dd_15_x0p5_e8_cd0,dd,0.15,0.08,0.5,0.0,30.0,26.80959786316286,-26.188455188293762,1.189018486308558,1.02371818690347,18.941622356882775,3702.8801484631094,62.70270270270271,834,616,690,0.18538420204191294,0.9073078989790435,480,6
dd_15_x0p6_e7_cd0,dd,0.15,0.07,0.55,0.0,30.0,26.92791539870001,-27.052442020165724,1.189139656697772,0.9953968436057311,19.032259496942114,3757.5972118260424,62.70270270270271,834,616,696,0.18699623858140785,0.9158516926383665,480,6
baseline,,,,,,,29.1419228413236,-34.67882857969543,1.2062855813174533,0.8403375787147059,20.41489684466887,4927.576330396678,63.24324324324324,834,616,0,0.0,1.0,0,0
