variant,enter,exit,scale_defense,cooldown_days,annual,max_dd,sharpe,calmar,vol,total_return,monthly_win_rate,rebalanced_days,signal_days,gate_days,gate_ratio,avg_scale,volreg_days,condition_days,gate_entries
dd_10_x0p50_e5_cd0,0.1,0.05,0.5,0.0,14.268148635799506,-16.196815649831535,0.747362252940768,0.8809230742802157,13.542867198458941,339.3062859115574,59.25925925925925,315,580,1339,0.3302910705476073,0.8348544647261964,142,854,12
dd_12_x0p50_e6_cd0,0.12,0.06,0.5,0.0,15.738322524190451,-17.079192058283105,0.7938964640196016,0.9214910442181978,13.92634491866973,406.2617939361176,60.0,315,580,984,0.24272323630981746,0.8786383818450912,142,610,7
dd_12_x0p00_e6_cd0,0.12,0.06,0.0,0.0,12.835646526074784,-17.974760216977206,0.685881775490421,0.7140927818303514,13.473691357409065,281.9188491668589,47.40740740740741,315,580,984,0.24272323630981746,0.7572767636901825,142,610,7
dd_15_x0p50_e8_cd0,0.15,0.08,0.5,0.0,16.933631590577058,-19.729621229815965,0.8153336970281552,0.8582846773047256,14.536428731896045,467.4016551572879,60.74074074074074,315,580,649,0.16008880118401578,0.9199555994079921,142,405,3
dd_10_x0p00_e5_cd0,0.1,0.05,0.0,0.0,9.930671755021736,-19.878584229168403,0.5693997700038352,0.4995663494209101,12.947698504540547,185.94075012199332,43.7037037037037,315,580,1339,0.3302910705476073,0.6697089294523927,142,854,12
baseline,,,,,18.498606931706263,-20.69410440925272,0.8458332544968272,0.8939071034857247,15.216677905914835,557.5968167275556,60.74074074074074,315,580,0,0.0,1.0,142,0,0
dd_15_x0p00_e8_cd0,0.15,0.08,0.0,0.0,15.27548218668857,-22.388891784449793,0.7573342867412869,0.6822795131511672,14.304080840386144,384.24440160112283,51.11111111111111,315,580,649,0.16008880118401578,0.8399111988159842,142,405,3
