variant,annual,vol,sharpe,max_dd,calmar,win_rate,years,total_return,yearly,start,end,days
baseline,26.587660944242476,11.48961050597166,1.8944307314922308,-13.076955910047722,2.0331689673904734,72.28915662650603,6.916666666666667,408.3432737509423,"{2019: np.float64(14.350563692822238), 2020: np.float64(35.871903878255054), 2021: np.float64(28.1663684871039), 2022: np.float64(-1.7688294854511288), 2023: np.float64(21.516756849166853), 2024: np.float64(26.17586768735265), 2025: np.float64(33.55732676512528), 2026: np.float64(6.293095545406291)}",2019-05-09,2026-04-01,2519
suba_gate_15_0p5_8,26.167452763648804,11.400044076518322,1.8770607003847375,-12.964341642666488,2.0184174009677456,71.08433734939759,6.916666666666667,396.81883004161466,"{2019: np.float64(14.350563692822238), 2020: np.float64(35.83464041313511), 2021: np.float64(27.48584730385051), 2022: np.float64(-2.5914494192518345), 2023: np.float64(21.864600845197835), 2024: np.float64(24.858038991790153), 2025: np.float64(33.31414011411222), 2026: np.float64(6.199536105446413)}",2019-05-09,2026-04-01,2519
delta_gated_minus_base,-0.42020818059367215,-0.08956642945333826,-0.017370031107493356,0.11261426738123426,-0.014751566422727791,-1.2048192771084416,,-11.524443709327613,,,,0
