variant,signal_enter,signal_exit,start,end,days,total_return,annual,vol,sharpe,max_dd,calmar,monthly_win_rate,signal_days,rebalanced_days,pair_changes,direction_changes,cash_days,cash_ratio,avg_weight,avg_realized_vol,end_nav
baseline_two_state,,,2010-11-22,2026-03-18,3722,4927.576330396678,29.1419228413236,20.41489684466887,1.2062855813174533,-34.67882857969543,0.8403375787147059,63.24324324324324,616,834,610,172,1,0.00026867275658248256,1.0838476881259935,0.20181233701370244,50.27576330396678
three_state_20_8,20.0,8.0,2010-11-22,2026-03-18,3722,2380.075550460107,23.31978615309751,21.76236111201102,0.933277161041456,-40.037940149071375,0.5824422052251452,61.62162162162163,684,783,610,260,460,0.12358946802794196,1.1907522227452125,0.16758205503760684,24.80075550460107
three_state_15_5,15.0,5.0,2010-11-22,2026-03-18,3722,3303.6196502060884,25.894689167405094,21.70656132890889,1.030017676215514,-44.741687390360056,0.5787597803694884,63.24324324324324,664,822,610,243,214,0.05749596990865126,1.1636194956672634,0.17850692674093027,34.03619650206088
three_state_25_10,25.0,10.0,2010-11-22,2026-03-18,3722,1410.535491540455,19.39205780869986,21.428096501297638,0.7939264102313964,-47.83057504599162,0.4054322531153634,56.21621621621622,714,714,610,255,754,0.20257925846319183,1.2142786943371857,0.1567586334993464,15.10535491540455
three_state_30_12,30.0,12.0,2010-11-22,2026-03-18,3722,1176.707630752384,18.08841969497945,21.046989476127482,0.7524081129343232,-50.789380769947925,0.356145702522177,50.810810810810814,724,638,610,237,1044,0.28049435787211174,1.24223139273756,0.14476759870734096,12.767076307523839
