variant,gate_kind,enter,exit,scale_defense,cooldown_days,vol_window,annual,max_dd,sharpe,calmar,vol,total_return,monthly_win_rate,rebalanced_days,signal_days,gate_days,gate_ratio,avg_scale,condition_days,gate_entries
dd_10_x0p5_e5_cd5,dd,0.1,0.05,0.5,5.0,30.0,22.158880349974687,-23.073846811471967,1.050736087118176,0.9603461672874428,17.66880334346169,2045.5652891758998,62.16216216216216,834,616,1286,0.34551316496507256,0.8272434175174638,909,24
dd_10_x0p5_e5_cd0,dd,0.1,0.05,0.5,0.0,30.0,22.211973717576015,-23.07384681147208,1.0496812401194675,0.962647186620501,17.739815492439753,2059.894380844075,61.62162162162163,834,616,1247,0.3350349274583557,0.8324825362708221,909,24
dd_8_x0p5_e4_cd0,dd,0.08,0.04,0.5,0.0,30.0,21.783190615858807,-24.165912041282457,1.0637892422953779,0.901401551849015,17.06508169399506,1946.6828317093434,61.08108108108108,834,616,1521,0.40865126276195596,0.7956743686190221,1203,31
dd_12_x0p5_e6_cd0,dd,0.12,0.06,0.5,0.0,30.0,24.388825881598564,-24.298269198864617,1.1157103683184242,1.0037268779102249,18.36858306439456,2730.6559202844405,62.70270270270271,834,616,972,0.261149919398173,0.8694250403009135,717,14
dd_12_x0p0_e6_cd0,dd,0.12,0.06,0.0,0.0,30.0,19.49313774235659,-31.560017520508932,0.9272601526790176,0.6176529442573722,17.644994019997608,1430.2444883798512,51.891891891891895,834,616,972,0.261149919398173,0.738850080601827,717,14
dd_8_x0p0_e4_cd0,dd,0.08,0.04,0.0,0.0,30.0,14.361701675852444,-32.89093047912968,0.739100528816887,0.4366462567839299,15.802991106770989,681.1931092862372,43.24324324324324,834,616,1521,0.40865126276195596,0.591348737238044,1203,31
vol_40_x0p5_e32_cd0w30,vol,0.4,0.32,0.5,0.0,30.0,29.32295914720775,-34.67882857969543,1.2151898309715288,0.8455579484128378,20.373250650612075,5036.627613263261,63.24324324324324,834,616,29,0.007791509940891994,0.996104245029554,28,1
vol_35_x0p5_e28_cd0w30,vol,0.35,0.28,0.5,0.0,30.0,29.020768032645794,-34.67882857969543,1.2087753354779465,0.8368439541131892,20.27215046570244,4855.808895610973,62.70270270270271,834,616,54,0.014508328855454057,0.9927458355722729,47,2
baseline,,,,,,,29.1419228413236,-34.67882857969543,1.2062855813174533,0.8403375787147059,20.41489684466887,4927.576330396678,63.24324324324324,834,616,0,0.0,1.0,0,0
vol_30_x0p5_e24_cd0w30,vol,0.3,0.24,0.5,0.0,30.0,27.598678774416353,-34.67882857969543,1.1697216554099967,0.795836534991135,19.949392625725967,4081.9695932623717,63.24324324324324,834,616,180,0.04836109618484686,0.9758194519075766,98,7
dd_10_x0p0_e5_cd0,dd,0.1,0.05,0.0,0.0,30.0,15.25921275137816,-35.71916967594462,0.7522914649611967,0.42719953710611047,16.770435114575086,780.5713685427498,46.48648648648649,834,616,1247,0.3350349274583557,0.6649650725416443,909,24
dd_10_x0p0_e5_cd5,dd,0.1,0.05,0.0,5.0,30.0,15.149421249271677,-36.37077993796604,0.7501236535645728,0.41652725828564885,16.66985258778209,767.8096767003534,46.48648648648649,834,616,1286,0.34551316496507256,0.6544868350349274,909,24
