signal,year,return
original_bias_momentum_naked,2010,0.09988921009620699
original_bias_momentum_naked,2011,0.026983696450127548
original_bias_momentum_naked,2012,0.019180258247720294
original_bias_momentum_naked,2013,0.050750048619180976
original_bias_momentum_naked,2014,1.350375595014608
original_bias_momentum_naked,2015,0.6097801918068027
original_bias_momentum_naked,2016,-0.06473447679834365
original_bias_momentum_naked,2017,0.023521900335904622
original_bias_momentum_naked,2018,-0.2922420684880206
original_bias_momentum_naked,2019,0.3360414976691859
original_bias_momentum_naked,2020,0.2640700131246363
original_bias_momentum_naked,2021,0.3587211067364495
original_bias_momentum_naked,2022,-0.048287579995105245
original_bias_momentum_naked,2023,-0.11221033768991273
original_bias_momentum_naked,2024,0.23059808605345045
original_bias_momentum_naked,2025,0.5991186205839807
original_bias_momentum_naked,2026,0.17153831725080027
weighted_log_slope_naked,2010,0.263342305391155
weighted_log_slope_naked,2011,0.03976121199876914
weighted_log_slope_naked,2012,0.02623072287263417
weighted_log_slope_naked,2013,-0.06829462185386892
weighted_log_slope_naked,2014,1.1885858516409589
weighted_log_slope_naked,2015,0.6314281628941609
weighted_log_slope_naked,2016,-0.16941672330164415
weighted_log_slope_naked,2017,0.1632193122611092
weighted_log_slope_naked,2018,-0.23648225413018187
weighted_log_slope_naked,2019,0.3326852292482765
weighted_log_slope_naked,2020,0.4081747022750688
weighted_log_slope_naked,2021,0.45205002456058274
weighted_log_slope_naked,2022,0.005721592933459307
weighted_log_slope_naked,2023,-0.02079050097807167
weighted_log_slope_naked,2024,0.11479462619300063
weighted_log_slope_naked,2025,0.27197173872255087
weighted_log_slope_naked,2026,0.07448012850162478
weighted_log_slope_r2_naked,2010,0.22547455490540558
weighted_log_slope_r2_naked,2011,0.0253987820802819
weighted_log_slope_r2_naked,2012,0.011460983356628818
weighted_log_slope_r2_naked,2013,-0.006882132868047175
weighted_log_slope_r2_naked,2014,1.253286502795678
weighted_log_slope_r2_naked,2015,0.5199694564112052
weighted_log_slope_r2_naked,2016,-0.16166404500771636
weighted_log_slope_r2_naked,2017,0.18724008827529182
weighted_log_slope_r2_naked,2018,-0.20849549773889664
weighted_log_slope_r2_naked,2019,0.34769691143158266
weighted_log_slope_r2_naked,2020,0.3879854964622744
weighted_log_slope_r2_naked,2021,0.49320694323174963
weighted_log_slope_r2_naked,2022,0.028483030460256797
weighted_log_slope_r2_naked,2023,0.027785020327379728
weighted_log_slope_r2_naked,2024,0.20520797404576152
weighted_log_slope_r2_naked,2025,0.3783738998533892
weighted_log_slope_r2_naked,2026,0.14232374305501416
