signal,window,start,end,rows,total_return,annual_return,annual_vol,sharpe,max_drawdown,max_drawdown_date,turnover,trade_count,cash_days,cash_ratio
original_bias_momentum_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,12.860350171043327,0.1834525657386208,0.22644204626955644,0.8606051807249324,-0.492343384665761,2019-01-14,585.0,370,922,0.24333597255212458
original_bias_momentum_naked,10Y,2016-05-09,2026-05-08,2428,2.4139733583849012,0.13070137830341055,0.2060336906574049,0.7008483279732506,-0.35122931288509285,2019-01-14,381.0,241,549,0.22611202635914332
original_bias_momentum_naked,5Y,2021-05-10,2026-05-08,1211,1.4293050499013926,0.19451473964814747,0.2236709090803483,0.9091864030286714,-0.29840042031663205,2024-09-23,176.0,112,261,0.21552436003303055
original_bias_momentum_naked,3Y,2023-05-08,2026-05-08,727,0.9799188691780005,0.25562487125815236,0.25131860192812144,1.0345143217342407,-0.27183571856884803,2024-09-23,116.0,74,160,0.2200825309491059
original_bias_momentum_naked,1Y,2025-05-08,2026-05-08,243,0.8136258755034833,0.8143655485056489,0.20851963340677804,2.973425413453705,-0.06555385386369927,2026-02-02,26.0,18,29,0.11934156378600823
weighted_log_slope_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,10.447961490478352,0.16904246220061347,0.23472525521789764,0.7861191211355913,-0.4079573650950128,2018-11-09,522.0,322,847,0.2235418316178411
weighted_log_slope_naked,10Y,2016-05-09,2026-05-08,2428,2.7846997256219588,0.14242287652888463,0.21360041818816758,0.7321256526102208,-0.30415268829781106,2018-11-09,333.0,204,500,0.20593080724876442
weighted_log_slope_naked,5Y,2021-05-10,2026-05-08,1211,0.9344147966981797,0.14124954109602506,0.22723253961358614,0.6965062057794573,-0.23020047001497945,2024-09-03,178.0,107,241,0.19900908340214699
weighted_log_slope_naked,3Y,2023-05-08,2026-05-08,727,0.36963258896279894,0.11051468821381039,0.25269047264191147,0.5406801282880264,-0.23020047001498078,2024-09-03,116.0,71,180,0.24759284731774414
weighted_log_slope_naked,1Y,2025-05-08,2026-05-08,243,0.3378406291886735,0.3381073596585835,0.23488829299390834,1.3616154105686549,-0.21225387821412312,2025-12-16,38.0,21,18,0.07407407407407407
weighted_log_slope_r2_naked,FULL_COMMON,2010-09-28,2026-05-08,3789,15.194210548452446,0.19531097927567087,0.23235052655160357,0.8879843655394041,-0.4266812704141545,2016-06-13,510.0,316,847,0.2235418316178411
weighted_log_slope_r2_naked,10Y,2016-05-09,2026-05-08,2428,4.502478191807156,0.18600428620328247,0.2104279742330255,0.9187876814038027,-0.27864639286003545,2018-11-09,321.0,198,500,0.20593080724876442
weighted_log_slope_r2_naked,5Y,2021-05-10,2026-05-08,1211,1.7699786523729184,0.22632179811821174,0.22310646284215485,1.0296672018634396,-0.20533602682421193,2024-09-03,160.0,98,241,0.19900908340214699
weighted_log_slope_r2_naked,3Y,2023-05-08,2026-05-08,727,0.7454750477189804,0.20398059672252922,0.24682853388834597,0.8774652829935005,-0.2053360268242137,2024-09-03,104.0,65,180,0.24759284731774414
weighted_log_slope_r2_naked,1Y,2025-05-08,2026-05-08,243,0.517812654562497,0.5182465097591591,0.22450365908021147,1.9792088740618994,-0.16122822605278742,2025-12-16,32.0,18,18,0.07407407407407407
