version,window,start_date,end_date,image_path,text_path,label,final_nav,return_pct,max_dd_pct
V6.6,1Y,2025-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v66_official_nav_1Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v66_official_nav_1Y.txt,组合 (15/25/40/20),1.5101,51.01,-9.11
V6.6,3Y,2023-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v66_official_nav_3Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v66_official_nav_3Y.txt,组合 (15/25/40/20),2.2933,129.33,-9.55
V6.7,1Y,2025-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v67_official_nav_1Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v67_official_nav_1Y.txt,组合 (15/25/40/20),1.5229,52.29,-8.23
V6.7,3Y,2023-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v67_official_nav_3Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v67_official_nav_3Y.txt,组合 (15/25/40/20),2.3659,136.59,-10.74
V6.8,1Y,2025-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v68_official_nav_1Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v68_official_nav_1Y.txt,组合 (15/25/40/20),1.5209,52.09,-7.9
V6.8,3Y,2023-04-20,2026-04-20,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v68_official_nav_3Y.png,C:\Users\Administrator.DESKTOP-95I7VVU\Desktop\动量策略\A股美股动量组合策略\归档\版本净值曲线对比_2026-04-20\v68_official_nav_3Y.txt,组合 (15/25/40/20),2.398,139.8,-10.66
