window,version,annual,max_dd,sharpe,calmar,window_start,window_end,obs_days
1Y,V6.6,27.68787977177063,-13.286716779216889,1.184566742147542,2.0838767192719927,2025-04-20,2026-04-20,364
1Y,V6.7,29.843361447912997,-12.65412460713632,1.2452214219717925,2.3583900407526235,2025-04-20,2026-04-20,364
1Y,V6.8,32.652207745370696,-12.014609270408815,1.3780133952795808,2.717708667046786,2025-04-20,2026-04-20,364
3Y,V6.6,18.90425927463062,-13.286716779216935,0.873074608474088,1.422793876678446,2023-04-20,2026-04-20,1095
3Y,V6.7,22.455899205848674,-13.180751609242627,0.9702117283464866,1.7036888237922725,2023-04-20,2026-04-20,1095
3Y,V6.8,23.542293151903415,-12.014609270408812,1.0390923203130191,1.959472224359932,2023-04-20,2026-04-20,1095
